Ego_Position(m),Ego_Velocity(m/s),Time(s)
0.0,0.0,8.106e-06
0.0,0.0,0.10472536
0.0,0.0,0.21436429
0.0,0.0,0.324906349
0.0,0.0,0.43451786
0.0,0.0,0.544850349
0.0,0.0,0.655607461
0.0,0.0,0.764752864
0.0,0.0,0.875121831
0.0,0.0,0.984940767
0.0,0.0,1.095607519
0.0,0.0,1.204760313
0.0,0.0,1.314984321
0.0,0.0,1.424487829
0.0,0.0,1.53557229
0.0,0.0,1.646321773
0.0,0.0,1.75486803
0.0,0.0,1.864259243
0.0,0.0,1.974418878
0.0,0.0,2.085105896
0.0,0.0,2.196004152
0.0,0.0,2.303693056
0.0,0.0,2.415066719
0.0,0.0,2.524044275
0.0,0.0,2.634853363
0.0,0.0,2.744196176
0.0,0.0,2.855114936
0.0,0.0,2.966347694
0.0,0.0,3.075196504
0.0,0.0,3.184622526
0.0,0.0,3.295807123
0.0,0.0,3.405429363
0.0,0.0,3.515195131
0.0,0.0,3.624391078
0.0,0.0,3.73497343
0.0,0.0,3.845216512
0.0,0.0,3.95499444
0.0,0.0,4.064530849
0.0,0.0,4.174791812
0.0,0.0,4.285429716
0.0,0.0,4.395669937
0.0,0.0,4.505192518
0.0,0.0,4.615711212
0.0,0.0,4.724564075
0.0,0.0,4.83534193
0.0,0.0,4.944587945
0.0,0.0,5.055564642
0.0,0.0,5.164611339
0.0,0.0,5.275934696
0.0,0.0,5.384840726
0.0,0.0,5.496939182
