Ego_Position(m),Ego_Velocity(m/s),Time(s)
0.0,0.0,9.298e-06
0.0,0.0,0.047903299
0.0,0.0,0.192701816
0.0,0.0,0.283720255
0.0,0.0,0.375082016
0.0,0.0,0.488198518
0.0,0.0,0.594457149
0.0,0.0,0.705485105
0.0,0.0,0.815465211
0.0,0.0,0.928068637
0.0,0.0,1.0348742
0.0,0.0,1.145395994
0.0,0.0,1.25564003
0.0,0.0,1.365407228
0.0,0.0,1.475190639
0.0,0.0,1.585201978
0.0,0.0,1.695118904
0.0,0.0,1.805988073
0.0,0.0,1.915325164
0.0,0.0,2.024767875
0.0,0.0,2.134994745
0.0,0.0,2.244997739
0.0,0.0,2.354252815
0.0,0.0,2.464723348
0.0,0.0,2.575438737
0.0,0.0,2.6846981039999998
0.0,0.0,2.794288158
0.0,0.0,2.904888391
0.0,0.0,3.017919063
0.0,0.0,3.125193119
0.0,0.0,3.235536575
0.0,0.0,3.345660448
0.0,0.0,3.456124067
0.0,0.0,3.56538558
0.0,0.0,3.67538476
0.0,0.0,3.785678148
0.0,0.0,3.8950212
0.0,0.0,4.008214235
0.0,0.0,4.114879608
0.0,0.0,4.225852728
0.0,0.0,4.3517522809999996
0.0,0.0,4.444635152
0.0,0.0,4.566566467
0.0,0.0,4.664875269
0.0,0.0,4.775046587
0.0,0.0,4.885466337
0.0,0.0,4.995088577
0.0,0.0,5.105307102
0.0,0.0,5.214876413
0.0,0.0,5.327626943
0.0,0.0,5.435350895
0.0,0.0,5.544352054
0.0,0.0,5.655403614
0.0,0.0,5.764805793
0.0,0.0,5.875061512
0.0,0.0,5.984794139
0.0,0.0,6.094764948
0.0,0.0,6.205302
0.0,0.0,6.314305544
0.0,0.0,6.42420125
0.0,0.0,6.534447908
0.0,0.0,6.644891262
0.0,0.0,6.755944013
0.0,0.0,6.864541769
0.0,0.0,6.9751775259999995
0.0,0.0,7.085032701
0.0,0.0,7.194383382
0.0,0.0,7.305526971
0.0,0.0,7.414321422
0.0,0.0,7.529101848
0.0,0.0,7.647608041
0.0,0.0,7.74480462
0.0,0.0,7.855438947
0.0,0.0,7.965443134
0.0,0.0,8.101504802000001
0.0,0.0,8.214770078
0.0,0.0,8.309527158
0.0,0.0,8.424017191
0.0,0.0,8.515635252
0.0,0.0,8.625007391
0.0,0.0,8.734830856
0.0,0.0,8.845285654
0.0,0.0,8.954453468
0.0,0.0,9.065722942
0.0,0.0,9.182226419
0.0,0.0,9.28485918
0.0,0.0,9.39982748
0.0,0.0,9.504578352
0.0,0.0,9.615426063
0.0,0.0,9.723964214
0.0,0.0,9.835422515
0.0,0.0,9.946161031
0.0,0.0,10.053952217
0.0,0.0,10.165094375
0.0,0.0,10.275317907
0.0,0.0,10.407936811
0.0,0.0,10.49964714
0.0,0.0,10.615327596
0.0,0.0,10.737152576
0.0,0.0,10.857794046
0.0,0.0,10.971415043
0.0,0.0,11.059743404
0.0,0.0,11.155321359
0.0,0.0,11.264670848
0.0,0.0,11.37444067
0.0,0.0,11.484958887
0.0,0.0,11.594061374
0.0,0.0,11.704375028
0.0,0.0,11.815379619
0.0,0.0,11.927964925
0.0,0.0,12.041118383
0.0,0.0,12.163169145
0.0,0.0,12.299205541
0.0,0.0,12.395872116
0.0,0.0,12.50899148
0.0,0.0,12.605807066
0.0,0.0,12.726151466
0.0,0.0,12.820220232
0.0,0.0,12.914585352
0.0,0.0,13.025295496
0.0,0.0,13.135116815
0.0,0.0,13.244221687
0.0,0.0,13.356104612
0.0,0.0,13.463898658
0.0,0.0,13.577480316
0.0,0.0,13.684679746
0.0,0.0,13.796152353
0.0,0.0,13.907050609
0.0,0.0,14.019445896
0.0,0.0,14.128918647
0.0,0.0,14.234339475
0.0,0.0,14.34458661
0.0,0.0,14.455573797
0.0,0.0,14.588986873
0.0,0.0,14.675328731
0.0,0.0,14.788929462
0.0,0.0,14.894002676
0.0,0.0,15.014306306
0.0,0.0,15.114551544
0.0,0.0,15.224698543
0.0,0.0,15.336742162
0.0,0.0,15.444960832
0.0,0.0,15.570348739
0.0,0.0,15.664951801
0.0,0.0,15.77534008
0.0,0.0,15.888376474
0.0,0.0,15.996159315
0.0,0.0,16.105214834
0.0,0.0,16.214612722
0.0,0.0,16.327174902
0.0,0.0,16.435025453
0.0,0.0,16.547132492
0.0,0.0,16.655218601
0.0,0.0,16.764216899
0.0,0.0,16.882336139
0.0,0.0,16.989033699
0.0,0.0,17.094866514
0.0,0.0,17.203957796
0.0,0.0,17.314681053
0.0,0.0,17.424395799
0.0,0.0,17.533908367
0.0,0.0,17.645412683
0.0,0.0,17.75428462
0.0,0.0,17.878751039
0.0,0.0,17.975186824
0.0,0.0,18.084870338
0.0,0.0,18.195143938
0.0,0.0,18.305679798
0.0,0.0,18.414892196
0.0,0.0,18.525003194
