Ego_Position(m),Ego_Velocity(m/s),Time(s)
0.0,0.0,9.06e-06
0.0,0.0,5.172281981
0.0,0.0,5.478613377
0.0,0.0,5.785338879
0.0,0.0,6.091550589
0.0,0.0,6.398417235
0.0,0.0,6.704997302
0.0,0.0,7.011151314
0.0,0.0,7.318430901
0.0,0.0,7.62481308
0.0,0.0,7.931650401
0.0,0.0,8.238640786
0.0,0.0,8.545197249
0.0,0.0,8.852828742
0.0,0.0,9.159563542
0.0,0.0,9.465735436
0.0,0.0,9.771717549
0.0,0.0,10.080241681
0.0,0.0,10.386049271
0.0,0.0,10.692209721
0.0,0.0,10.999439478
0.0,0.0,11.306617976
0.0,0.0,11.613209725
0.0,0.0,11.919744015
0.0,0.0,12.225040436
0.0,0.0,12.53328991
0.0,0.0,12.83959961
0.0,0.0,13.147169352
0.0,0.0,13.453319788
0.0,0.0,13.759942532
0.0,0.0,14.065490723
0.0,0.0,14.373184443
0.0,0.0,14.680043936
0.0,0.0,14.986321688
0.0,0.0,15.294675589
0.0,0.0,15.600013733
0.0,0.0,15.907172204
0.0,0.0,16.214576483
0.0,0.0,16.52135253
0.0,0.0,16.82787776
0.0,0.0,17.134451628
0.0,0.0,17.441316605
0.0,0.0,17.74729538
0.0,0.0,18.05469966
0.0,0.0,18.361320258
0.0,0.0,18.667784214
0.0,0.0,18.974611044
0.0,0.0,19.283150197
0.0,0.0,19.588041306
0.0,0.0,19.894727231
0.0,0.0,20.202654839
0.0,0.0,20.510211468
0.0,0.0,20.815958977
0.0,0.0,21.122582674
0.0,0.0,21.42933631
0.0,0.0,21.736035347
0.0,0.0,22.042833567
0.0,0.0,22.349379778
0.0,0.0,22.65539217
0.0,0.0,22.963941575
0.0,0.0,23.270540715
0.0,0.0,23.577267647
0.0,0.0,23.884096146
0.0,0.0,24.191013575
0.0,0.0,24.497539282
0.0,0.0,24.805063486999998
0.0,0.0,25.111552239
0.0,0.0,25.417497635
0.0,0.0,25.724505902
0.0,0.0,26.030627251
0.0,0.0,26.337872029
0.0,0.0,26.645136834
0.0,0.0,26.951150656
0.0,0.0,27.258691788
0.0,0.0,27.563667775
0.0,0.0,27.871049881
0.0,0.0,28.178111554
0.0,0.0,28.484896899
0.0,0.0,28.792022706
0.0,0.0,29.098264933
0.0,0.0,29.406610251
0.0,0.0,29.712972641
0.0,0.0,30.02012992
0.0,0.0,30.326346636
0.0,0.0,30.633798838
0.0,0.0,30.939790249
0.0,0.0,31.246668101
0.0,0.0,31.553246737
0.0,0.0,31.860099316
0.0,0.0,32.167938948
0.0,0.0,32.474638701
0.0,0.0,32.781446696
0.0,0.0,33.087192774
0.0,0.0,33.394916296
0.0,0.0,33.700738907
0.0,0.0,34.007944346
0.0,0.0,34.314786673
0.0,0.0,34.622246981
0.0,0.0,34.9293499
0.0,0.0,35.236005784
0.0,0.0,35.542672635
0.0,0.0,35.849416018
0.0,0.0,36.156659842
0.0,0.0,36.462577343
0.0,0.0,36.769104958
0.0,0.0,37.075933457
0.0,0.0,37.382769824
0.0,0.0,37.690573931
0.0,0.0,37.996840477
0.0,0.0,38.302432538
0.0,0.0,38.610502482
0.0,0.0,38.918093682
0.0,0.0,39.224512101
0.0,0.0,39.530663014
0.0,0.0,39.838216305
0.0,0.0,40.145190716
0.0,0.0,40.452091933
0.0,0.0,40.757388592
0.0,0.0,41.065393448
0.0,0.0,41.372710228
0.0,0.0,41.678563834
0.0,0.0,41.985616923
0.0,0.0,42.29329896
0.0,0.0,42.599893332
0.0,0.0,42.906622887
0.0,0.0,43.213426352
0.0,0.0,43.519218684
0.0,0.0,43.826798678
0.0,0.0,44.133647204
0.0,0.0,44.439986706
0.0,0.0,44.746931077
0.0,0.0,45.054620982
0.0,0.0,45.361184359
0.0,0.0,45.668042422
0.0,0.0,45.97506857
0.0,0.0,46.281376124
0.0,0.0,46.588776589
0.0,0.0,46.894519568
0.0,0.0,47.202841759
0.0,0.0,47.509730816
0.0,0.0,47.816122056
0.0,0.0,48.123021603
0.0,0.0,48.429442883
0.0,0.0,48.735204936
0.0,0.0,49.042809725
0.0,0.0,49.350661755
0.0,0.0,49.657439232
0.0,0.0,49.96445942
