Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
19:30.8,0,0,0.28,0.05,0,0,0,0
19:31.7,0,0,0.28,0.05,0,0,0,0
19:31.9,0,0,0.28,0.05,0,0,0,0
19:32.4,0,0,0.28,0.05,0,0,0,0
19:32.7,0,0,0.28,0.05,0,0,0,0
19:32.8,0,0,0.28,0.04,0,0,0,0
19:32.9,0,0,0.28,0.05,0,0,0,0
19:33.0,0,0,0.28,0.04,0,0,0,0
19:33.1,0,0,0.28,0.05,0,0,0,0
19:33.2,0,0,0.28,0.04,0,0,0,0
19:33.4,0,0,0.28,0.04,0,0,0,0
19:33.5,0,0,0.28,0.04,0,0,0,0
19:33.8,0,0,0.28,0.05,0,0,0,0
19:33.8,0,0,0.28,0.04,0,0,0,0
19:34.0,0,0,0.28,0.05,0,0,0,0
19:34.1,0,0,0.28,0.05,0,0,0,0
19:34.2,0,0,0.28,0.04,0,0,0,0
19:34.3,0,0,0.28,0.05,0,0,0,0
19:34.4,0,0,0.28,0.04,0,0,0,0
19:34.9,0,0,0.28,0.05,0,0,0,0
19:34.9,0,0,0.28,0.05,0,0,0,0
19:35.1,0,0,0.28,0.05,0,0,0,0
19:35.2,0,0,0.28,0.05,0,0,0,0
19:35.5,0,0,0.28,0.04,0,0,0,0
19:35.6,0,0,0.28,0.04,0,0,0,0
19:35.8,0,0,0.28,0.05,0,0,0,0
19:35.9,0,0,0.28,0.04,0,0,0,0
19:36.0,0,0,0.28,0.05,0,0,0,0
19:36.2,0,0,0.28,0.05,0,0,0,0
19:36.3,0,0,0.28,0.05,0,0,0,0
19:36.4,0,0,0.28,0.05,0,0,0,0
19:36.6,0,0,0.28,0.04,0,0,0,0
19:37.0,0,0,0.28,0.05,0,0,0,0
19:37.1,0,0,0.28,0.05,0,0,0,0
19:37.1,0,0,0.28,0.04,0,0,0,0
19:37.3,0,0,0.28,0.05,0,0,0,0
19:37.4,0,0,0.28,0.05,0,0,0,0
19:37.9,0,0,0.28,0.05,0,0,0,0
19:38.0,0,0,0.28,0.05,0,0,0,0
19:38.4,0,0,0.28,0.05,0,0,0,0
19:38.4,0,0,0.28,0.04,0,0,0,0
19:38.5,0,0,0.28,0.05,0,0,0,0
19:38.7,0,0,0.28,0.05,0,0,0,0
19:38.8,0,0,0.28,0.05,0,0,0,0
19:38.9,0,0,0.28,0.04,0,0,0,0
19:39.3,0,0,0.28,0.05,0,0,0,0
19:39.4,0,0,0.28,0.05,0,0,0,0
19:40.0,0,0,0.28,0.04,0,0,0,0
19:40.1,0,0,0.28,0.05,0,0,0,0
19:40.2,0,0,0.28,0.04,0,0,0,0
19:40.3,0,0,0.28,0.05,0,0,0,0
19:40.4,0,0,0.28,0.04,0,0,0,0
19:40.6,0,0,0.28,0.05,0,0,0,0
19:40.7,0,0,0.28,0.05,0,0,0,0
19:40.8,0,0,0.83,0.04,0,0,0,0
19:40.9,15.3,15.9,0.83,0.05,0,0,0,0
19:41.5,15.9,15.9,0.83,0.05,27,0.4,0,0
19:41.5,15.9,15.9,0.83,0.05,29,0.5,0.03,0
19:41.7,15.9,15.9,0.83,0.05,38,0.7,0.044,0
19:41.8,15.9,15.9,0.83,0.04,46,0.8,0.048,0
19:41.9,15.9,15.9,0.83,0.05,59,1,0.048,0
19:42.0,15.9,15.9,0.83,0.05,69,1.1,0.035,0
19:42.1,15.9,15.9,0.83,0.05,81,1.4,0.053,0
19:42.2,15.9,15.9,0.83,0.05,95,1.6,0.03,0
19:42.4,15.9,15.9,0.83,0.05,124,1.9,0.044,0
19:43.1,15.9,15.9,0.83,0.04,256,3.1,0.022,0
19:43.2,15.9,15.9,0.83,0.04,274,3.3,0.07,0
19:43.3,15.9,15.9,0.83,0.05,291,3.5,0.044,0
19:43.4,15.9,15.9,0.83,0.05,316,3.6,0.022,0
19:43.5,15.9,15.9,0.83,0.05,327,3.7,0.03,0
19:43.6,15.9,15.9,0.83,0.05,343,3.7,0.035,0
19:43.7,15.9,15.9,0.83,0.05,358,3.9,0.017,0
19:43.8,15.9,15.9,0.83,0.05,379,4.1,0.061,0
19:43.9,15.9,15.9,0.83,0.05,396,4.2,0.057,0
19:44.0,15.9,15.9,0.83,0.05,412,4.3,0.035,0
19:44.2,15.9,15.9,0.83,0.05,439,4.5,0.022,0
19:44.3,15.9,15.9,0.83,0.04,453,4.6,0.066,0
19:44.8,15.9,15.9,0.83,0.04,521,5,0.084,0
19:45.2,15.9,15.9,0.83,0.05,556,5.3,0.084,0
19:45.7,15.9,15.9,0.83,0.05,604,5.5,0,0
19:45.9,15.9,15.9,0.83,0.05,617,5.5,0.022,0
19:46.0,15.9,15.9,0.83,0.04,629,5.5,0,0
19:46.1,15.9,15.9,0.83,0.05,633,5.3,0,0
19:46.6,15.9,15.9,0.83,0.05,649,5.5,0.061,0
19:47.0,15.9,15.9,0.83,0.04,655,5.4,0.008,0
19:47.1,15.9,15.9,0.83,0.04,655,5.4,0,0
19:47.2,15.9,15.9,0.83,0.05,655,5.4,0,0
19:47.3,15.9,15.9,0.83,0.04,654,5.3,0,0
19:47.4,15.9,15.9,0.83,0.05,652,5.3,0.026,0
19:47.9,15.9,15.9,0.83,0.04,646,5.3,0.013,0
19:48.0,15.9,15.9,0.83,0.05,642,5.1,0,0
19:48.1,15.9,15.9,0.83,0.04,638,5.1,0,0
19:48.4,15.9,15.9,0.83,0.05,630,4.8,0,0
19:48.5,15.9,15.9,0.83,0.04,624,4.8,0.017,0
19:49.1,15.9,15.9,0.83,0.05,597,4.8,0,0
19:50.5,15.9,15.9,0.83,0.05,521,4.1,0.039,0
19:50.9,15.9,15.9,0.83,0.04,504,4.1,0,0
19:51.3,15.9,15.9,0.83,0.04,495,4,0.035,0
19:52.0,15.9,15.9,0.83,0.04,491,4.1,0.039,0
19:52.0,15.9,15.9,0.83,0.04,491,4.1,0.013,0
19:52.1,15.9,15.9,0.83,0.04,490,4,0,0
19:52.2,15.9,15.9,0.83,0.04,489,4,0.013,0
19:52.5,15.9,15.9,0.83,0.05,492,4.1,0.017,0
19:52.7,15.9,15.9,0.83,0.04,493,4.2,0.044,0
19:53.1,15.9,15.9,0.83,0.05,501,4.2,0,0
19:53.5,15.9,15.9,0.83,0.05,510,4.3,0,0
19:53.7,15.9,15.9,0.83,0.05,512,4.3,0,0
19:53.9,15.9,15.9,0.83,0.05,518,4.5,0.022,0
19:54.0,15.9,15.9,0.83,0.05,521,4.4,0,0
19:54.0,15.9,15.9,0.83,0.05,523,4.4,0,0
19:54.1,15.9,15.9,0.83,0.05,523,4.4,0,0
19:54.2,15.9,15.9,0.83,0.04,525,4.5,0.057,0
19:54.8,15.9,15.9,0.83,0.04,541,4.7,0.017,0
19:55.0,15.9,15.9,0.83,0.05,544,4.5,0,0
19:55.1,15.9,15.9,0.83,0.05,545,4.6,0.022,0
19:55.2,15.9,15.9,0.83,0.04,549,4.7,0,0
