Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
44:24.0,0,0,0.28,0.04,0,0,0,22.51
44:24.0,0,0,0.28,0.05,0,0,0,22.51
44:24.1,0,0,0.28,0.05,0,0,0,22.51
44:24.6,0,0,0.28,0.04,0,0,0,22.51
44:24.7,0,0,0.28,0.05,0,0,0,22.51
44:24.8,0,0,0.28,0.05,0,0,0,22.51
44:25.1,0,0,0.28,0.05,0,0,0,22.51
44:25.3,0,0,0.28,0.04,0,0,0,22.51
44:25.4,0,0,0.28,0.05,0,0,0,22.51
44:25.5,0,0,0.28,0.04,0,0,0,22.51
44:25.8,0,0,0.28,0.05,0,0,0,22.51
44:25.9,0,0,0.28,0.05,0,0,0,22.51
44:26.0,0,0,0.28,0.05,0,0,0,22.51
44:26.2,0,0,0.28,0.05,0,0,0,22.51
44:26.5,0,15.6,1.41,0.04,0,0,0,0
44:26.6,22.6,26.4,1.41,0.05,0,0,0,0
44:26.7,26.4,26.4,1.41,0.05,3,0.3,0.053,0
44:26.8,26.4,26.4,1.41,0.04,7,0.3,0,0
44:27.0,26.4,26.4,1.41,0.05,18,0.4,0.008,0
44:27.1,26.3,26.3,1.41,0.05,20,0.3,0,0
44:27.2,26.3,26.4,1.41,0.04,24,0.4,0.013,0
44:27.3,26.3,26.3,1.41,0.05,30,0.5,0.03,0
44:27.9,26.4,26.3,1.4,0.05,88,1.6,0.013,0
44:28.0,26.3,26.3,1.41,0.04,108,1.8,0.07,0
44:28.1,26.3,26.3,1.4,0.05,126,2.1,0.044,0
44:28.8,26.3,26.3,1.41,0.05,278,3.7,0.066,0
44:28.9,26.4,26.4,1.41,0.04,300,3.7,0.004,0
44:29.0,26.4,26.3,1.41,0.05,322,3.9,0.053,0
44:29.3,26.4,26.4,1.41,0.05,402,4.7,0.048,0
44:30.0,26.3,26.3,1.41,0.04,573,6.1,0.008,0
44:30.3,26.3,26.4,1.41,0.05,629,6.7,0.106,0
44:30.4,26.3,26.3,1.41,0.05,672,6.6,0,0
44:30.5,26.3,26.3,1.41,0.04,693,7.2,0.163,0.1
44:30.7,26.3,26.3,1.41,0.05,722,7,0,0.22
44:30.7,26.3,26.3,1.41,0.05,739,7.2,0.061,0.32
44:30.8,26.3,26.3,1.41,0.05,753,7.6,0.137,0.4
44:30.9,26.3,26.3,1.41,0.05,779,7.5,0,0.52
44:31.0,26.3,26.3,1.4,0.05,797,7.8,0.044,0.61
44:32.1,26.3,26.3,1.41,0.04,956,8.7,0.115,1.63
44:32.2,26.3,26.3,1.41,0.05,964,8.5,0,1.71
44:32.2,26.3,26.3,1.41,0.05,971,8.6,0.022,1.8
44:32.4,26.3,26.3,1.41,0.05,984,8.7,0.022,1.92
44:32.5,26.4,26.4,1.41,0.05,990,8.6,0,2.02
44:32.5,26.3,26.3,1.41,0.05,997,8.8,0.075,2.1
44:32.7,26.3,26.3,1.41,0.05,1002,8.4,0,2.22
44:33.1,26.4,26.3,1.41,0.05,1019,8.5,0,2.68
44:33.7,26.4,26.4,1.41,0.05,1035,8.8,0.079,3.27
44:33.8,26.4,26.4,1.41,0.05,1037,8.6,0,3.36
44:33.9,26.4,26.4,1.41,0.05,1037,8.7,0.044,3.45
44:34.0,26.4,26.4,1.41,0.04,1038,8.7,0.039,3.54
44:34.1,26.4,26.4,1.41,0.05,1037,8.6,0,3.65
44:34.2,26.4,26.4,1.41,0.05,1039,8.8,0.022,3.76
44:34.3,26.4,26.3,1.41,0.05,1039,8.5,0,3.85
44:34.7,26.4,26.4,1.41,0.05,1035,8.5,0,4.23
44:35.0,26.4,26.3,1.41,0.05,1025,8.2,0,4.53
44:35.4,26.4,26.4,1.41,0.05,1004,8.1,0,4.99
44:35.5,26.4,26.4,1.41,0.05,1001,8,0,5.07
44:35.6,26.4,26.4,1.41,0.05,994,8.1,0.044,5.18
44:35.8,26.4,26.4,1.41,0.05,992,8.1,0,5.3
44:36.2,26.4,26.4,1.41,0.05,972,7.9,0.048,5.78
44:36.3,26.4,26.4,1.41,0.04,967,7.7,0,5.9
44:36.5,26.4,26.4,1.41,0.05,963,7.8,0.013,6
44:36.6,26.4,26.4,1.41,0.05,954,7.6,0,6.18
44:36.8,26.4,26.4,1.41,0.05,950,7.7,0.057,6.3
44:36.8,26.4,26.4,1.41,0.04,948,7.6,0,6.39
44:37.0,26.4,26.4,1.41,0.04,942,7.6,0.008,6.54
44:37.3,26.4,26.4,1.41,0.05,930,7.5,0,6.88
44:37.9,26.4,26.4,1.41,0.05,902,7.1,0,7.42
44:38.0,26.4,26.4,1.41,0.05,899,7.2,0.035,7.51
44:38.1,26.4,26.4,1.41,0.05,894,7.2,0,7.62
44:38.2,26.4,26.4,1.41,0.05,888,7,0.004,7.72
44:38.3,26.4,26.4,1.41,0.05,885,7.3,0.075,7.82
44:38.4,26.4,26.3,1.41,0.04,883,7.1,0,7.9
44:38.5,26.4,26.4,1.41,0.05,878,7,0,8.01
44:38.9,26.4,26.4,1.41,0.04,868,7.2,0,8.46
44:39.0,26.4,26.4,1.41,0.04,865,7,0,8.57
44:39.7,26.4,26.3,1.41,0.05,863,7.3,0.066,9.25
44:39.8,26.4,26.3,1.41,0.05,864,7.1,0,9.35
44:39.9,26.3,26.4,1.41,0.05,863,7.2,0,9.45
44:40.1,26.3,26.3,1.41,0.05,867,7.1,0,9.66
44:40.6,26.3,26.3,1.41,0.05,877,7.4,0.03,10.13
44:41.3,26.3,26.4,1.41,0.04,897,7.7,0.066,10.86
44:41.4,26.4,26.4,1.41,0.04,901,7.6,0,10.96
44:42.2,26.4,26.4,1.41,0.05,924,7.8,0,11.7
44:42.3,26.3,26.3,1.41,0.05,925,7.7,0,11.81
44:42.7,26.4,26.4,1.41,0.05,934,8,0.097,12.2
44:43.0,26.4,26.4,1.41,0.04,939,7.7,0,12.52
44:43.8,26.4,26.4,1.41,0.05,946,7.9,0.022,13.38
44:44.0,26.4,26.4,1.41,0.05,948,8,0,13.49
44:44.1,26.4,26.4,1.41,0.05,948,7.8,0,13.59
44:44.2,26.4,26.4,1.41,0.05,948,8.1,0.092,13.71
44:44.3,26.4,26.4,1.41,0.04,949,7.8,0.004,13.8
44:44.4,26.4,26.3,1.41,0.05,948,7.9,0.026,13.91
44:44.5,26.4,26.4,1.41,0.05,950,7.9,0,14.01
44:44.9,26.4,26.4,1.41,0.05,946,7.8,0.03,14.43
44:45.0,26.4,26.4,1.41,0.05,947,7.9,0,14.52
44:45.1,26.4,26.4,1.41,0.05,945,7.6,0,14.61
44:45.2,26.4,26.4,1.41,0.05,943,7.9,0.088,14.72
44:45.3,26.4,26.4,1.41,0.05,943,7.7,0,14.83
44:45.4,26.4,26.4,1.41,0.05,940,7.7,0.008,14.92
44:45.5,26.4,26.4,1.41,0.05,940,7.8,0.07,15
44:45.6,26.4,26.4,1.41,0.05,939,7.6,0,15.09
44:45.7,26.3,26.4,1.41,0.05,934,7.7,0,15.2
44:46.1,26.4,26.4,1.41,0.05,932,7.8,0.017,15.56
44:46.8,26.4,26.4,1.41,0.05,924,7.8,0.075,16.27
44:46.9,26.4,26.4,1.41,0.04,925,7.6,0,16.46
44:47.1,26.4,26.4,1.41,0.05,925,7.8,0.053,16.57
44:47.2,26.4,26.4,1.41,0.05,925,7.6,0,16.66
44:47.3,26.4,26.4,1.41,0.05,923,7.7,0.048,16.78
44:47.4,26.4,26.4,1.41,0.05,925,7.8,0.088,16.87
44:47.4,26.4,26.3,1.41,0.05,925,7.5,0,16.95
44:47.9,26.4,26.4,1.41,0.05,926,7.7,0.008,17.44
44:48.0,26.4,26.4,1.41,0.05,925,7.6,0.013,17.53
44:48.1,26.4,26.4,1.41,0.05,927,7.9,0.088,17.62
44:48.2,26.4,26.4,1.41,0.05,927,7.6,0,17.71
44:48.7,26.4,26.4,1.41,0.04,930,7.7,0.017,18.2
44:48.8,26.4,26.4,1.41,0.05,928,7.6,0,18.29
44:48.9,26.4,26.4,1.41,0.05,929,7.9,0.092,18.4
44:49.0,26.4,26.4,1.41,0.05,930,7.7,0,18.48
44:49.1,26.4,26.4,1.41,0.04,929,7.7,0,18.58
44:49.6,26.4,26.4,1.41,0.05,927,7.5,0,19.08
44:49.7,26.4,26.4,1.41,0.05,926,7.8,0.053,19.18
44:49.8,26.4,26.4,1.41,0.05,926,7.5,0,19.27
44:49.9,26.4,26.4,1.41,0.05,922,7.6,0,19.37
44:50.0,26.4,26.4,1.41,0.05,923,7.8,0.079,19.46
44:50.5,26.4,26.4,1.41,0.04,918,7.8,0.097,19.96
44:50.6,26.4,26.4,1.41,0.05,920,7.6,0.004,20.06
44:50.7,26.4,26.4,1.41,0.05,919,7.6,0,20.18
44:50.8,26.4,26.4,1.41,0.05,920,7.7,0,20.28
44:50.9,26.4,26.4,1.41,0.05,920,7.5,0,20.36
44:51.0,26.4,26.3,1.41,0.04,918,7.6,0,20.46
44:51.1,26.4,26.4,1.41,0.05,920,7.8,0.044,20.56
44:51.4,26.4,26.4,1.41,0.05,921,7.5,0,20.86
44:52.0,26.4,26.4,1.41,0.04,922,7.8,0.075,21.53
44:52.2,26.4,26.4,1.41,0.05,924,7.6,0,21.7
44:52.3,26.4,26.4,1.41,0.05,924,7.7,0.044,21.76
44:52.9,26.4,26.4,1.41,0.05,930,7.9,0.092,22.33
44:52.9,26.4,26.4,1.41,0.04,932,7.7,0,22.42
44:53.1,26.4,26.4,1.41,0.05,930,7.9,0.092,22.61
44:53.2,26.4,26.3,1.41,0.04,932,7.8,0.03,22.68
44:53.7,26.4,26.4,1.41,0.05,932,7.8,0.035,23.18
44:53.8,26.4,26.4,1.41,0.05,931,7.6,0,23.27
44:53.9,26.4,26.4,1.41,0.04,930,7.8,0.088,23.36
44:54.0,26.4,26.4,1.41,0.04,932,7.7,0.03,23.46
