Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
21:37.2,0,0,0.28,0.05,0,0,0,0
21:37.3,0,0,0.28,0.05,0,0,0,0
21:38.0,0,0,0.28,0.04,0,0,0,0
21:38.6,0,0,0.28,0.05,0,0,0,0
21:38.9,0,0,0.28,0.05,0,0,0,0
21:38.9,0,0,0.28,0.04,0,0,0,0
21:39.0,0,0,0.28,0.05,0,0,0,0
21:39.1,0,0,0.28,0.05,0,0,0,0
21:39.2,0,0,0.28,0.05,0,0,0,0
21:39.8,0,0,0.28,0.05,0,0,0,0
21:40.4,0,0,0.28,0.05,0,0,0,0
21:40.4,0,0,0.28,0.05,0,0,0,0
21:40.5,0,0,0.28,0.05,0,0,0,0
21:41.0,0,0,0.28,0.05,0,0,0,0
21:41.1,0,0,0.28,0.05,0,0,0,0
21:41.1,0,0,0.28,0.04,0,0,0,0
21:41.2,0,0,0.28,0.04,0,0,0,0
21:41.6,0,0,0.28,0.04,0,0,0,0
21:41.6,0,0,0.28,0.04,0,0,0,0
21:41.7,0,0,0.28,0.04,0,0,0,0
21:41.8,0,0,0.28,0.05,0,0,0,0
21:41.9,0,0,0.28,0.04,0,0,0,0
21:42.1,0,0,0.28,0.05,0,0,0,0
21:42.2,0,0,0.28,0.05,0,0,0,0
21:42.4,0,0,0.28,0.04,0,0,0,0
21:42.6,0,0,0.28,0.05,0,0,0,0
21:42.7,0,0,0.28,0.04,0,0,0,0
21:42.8,0,0,0.28,0.05,0,0,0,0
21:42.9,0,0,0.28,0.04,0,0,0,0
21:43.0,0,0,0.28,0.04,0,0,0,0
21:43.0,0,0,0.28,0.05,0,0,0,0
21:43.7,0,0,0.28,0.04,0,0,0,0
21:44.0,0,0,0.28,0.05,0,0,0,0
21:44.9,0,0,0.28,0.04,0,0,0,0
21:45.0,0,0,0.28,0.05,0,0,0,0
21:45.1,0,0,0.28,0.04,0,0,0,0
21:45.3,0,0,0.28,0.04,0,0,0,0
21:45.4,0,0,0.28,0.04,0,0,0,0
21:45.5,0,0,0.28,0.05,0,0,0,0
21:45.6,0,0,0.28,0.04,0,0,0,0
21:45.7,0,0,0.28,0.04,0,0,0,0
21:45.8,0,0,0.28,0.04,0,0,0,0
21:45.9,0,0,0.28,0.05,0,0,0,0
21:46.5,0,0,0.28,0.05,0,0,0,0
21:46.6,0,0,0.28,0.05,0,0,0,0
21:47.0,0,0,0.28,0.04,0,0,0,0
21:47.1,0,0,0.28,0.04,0,0,0,0
21:47.2,0,0,0.28,0.05,0,0,0,0
21:48.0,36.6,36.6,1.98,0.05,14,0.7,0.208,0
21:48.1,36.6,36.6,1.98,0.05,20,0.3,0,0
21:48.2,36.6,36.6,1.98,0.04,24,0.5,0.053,0
21:48.4,36.6,36.6,1.98,0.05,31,0.5,0.017,0
21:48.5,36.6,36.6,1.98,0.05,36,0.6,0.039,0
21:48.6,36.6,36.6,1.98,0.05,43,0.8,0.048,0
21:49.0,36.6,36.6,1.98,0.04,105,1.9,0.115,0
21:49.4,36.6,36.6,1.98,0.05,200,3,0.075,0
21:49.6,36.6,36.6,1.98,0.05,254,3.7,0.057,0
21:49.7,36.6,36.6,1.98,0.05,281,3.9,0.097,0
21:49.9,36.6,36.6,1.98,0.05,324,4.2,0.022,0
21:50.0,36.6,36.6,1.98,0.05,342,4.4,0.132,0
21:50.1,36.6,36.6,1.98,0.05,381,4.8,0.066,0
21:50.2,36.6,36.6,1.98,0.05,411,5.1,0.141,0
21:50.6,36.6,36.6,1.98,0.05,543,6,0,0
21:50.9,36.6,36.6,1.98,0.05,612,6.8,0.141,0.08
21:50.9,36.6,36.6,1.98,0.04,629,6.7,0,0.15
21:51.1,36.6,36.6,1.98,0.05,673,7.3,0.172,0.29
21:51.2,36.6,36.6,1.98,0.05,694,7.5,0.101,0.37
21:51.9,36.6,36.6,1.98,0.05,886,9.1,0.097,1.08
21:51.9,36.6,36.6,1.98,0.05,912,8.7,0,1.16
21:52.0,36.6,36.6,1.98,0.05,934,9.5,0.013,1.26
21:52.6,36.6,36.6,1.98,0.04,1075,10.1,0,1.81
21:52.7,36.6,36.6,1.98,0.04,1098,10.8,0.106,1.9
21:53.5,36.6,36.6,1.98,0.04,1272,11.7,0.208,2.67
21:54.0,36.7,36.6,1.98,0.04,1355,12.1,0,3.19
21:54.5,36.7,36.7,1.98,0.04,1404,12.3,0.123,3.67
21:55.0,36.7,36.7,1.98,0.04,1434,12,0,4.24
21:55.1,36.7,36.7,1.98,0.04,1435,12.1,0,4.33
21:55.2,36.7,36.7,1.98,0.05,1437,11.9,0,4.44
21:55.3,36.7,36.7,1.98,0.05,1436,11.9,0,4.53
21:56.0,36.7,36.7,1.98,0.05,1425,11.8,0.03,5.2
21:56.1,36.7,36.7,1.98,0.05,1423,11.6,0,5.3
21:56.2,36.7,36.7,1.98,0.05,1421,11.6,0.039,5.4
21:56.5,36.7,36.7,1.98,0.04,1407,11.4,0,5.75
21:56.8,36.7,36.7,1.98,0.05,1397,11.2,0,5.95
21:57.1,36.7,36.7,1.98,0.05,1372,10.9,0,6.34
21:57.4,36.7,36.7,1.98,0.05,1359,10.9,0,6.55
21:57.8,36.7,36.6,1.98,0.05,1327,10.6,0,7.04
21:57.9,36.7,36.7,1.98,0.05,1318,10.7,0,7.15
21:58.1,36.7,36.7,1.98,0.05,1310,10.4,0,7.28
21:58.2,36.7,36.6,1.98,0.05,1303,10.6,0.097,7.37
21:58.3,36.7,36.7,1.98,0.05,1297,10.3,0,7.46
21:58.4,36.7,36.7,1.98,0.04,1291,10.5,0.106,7.58
21:58.6,36.7,36.7,1.98,0.04,1277,10.3,0,7.78
21:58.9,36.7,36.7,1.98,0.05,1258,10.1,0,8.12
21:59.6,36.6,36.7,1.98,0.04,1230,10.1,0.035,8.74
21:59.7,36.6,36.7,1.98,0.05,1225,9.8,0,8.84
21:59.8,36.6,36.6,1.98,0.05,1220,10,0,8.94
21:59.8,36.6,36.6,1.98,0.05,1215,9.7,0,9.02
21:59.9,36.6,36.7,1.98,0.05,1210,9.9,0.004,9.13
22:00.0,36.6,36.6,1.98,0.04,1208,9.7,0,9.23
22:00.1,36.6,36.6,1.98,0.05,1203,9.8,0,9.32
22:00.2,36.6,36.6,1.98,0.05,1201,9.8,0,9.42
22:00.5,36.6,36.6,1.98,0.05,1195,9.7,0,9.68
22:00.7,36.6,36.6,1.98,0.04,1194,9.8,0,9.88
22:00.9,36.6,36.6,1.98,0.04,1194,10,0.053,10.12
22:01.1,36.6,36.6,1.98,0.05,1197,9.9,0,10.24
22:01.2,36.6,36.6,1.98,0.05,1197,10.2,0.106,10.36
22:01.6,36.6,36.6,1.98,0.05,1212,10.5,0.154,10.77
22:01.7,36.6,36.6,1.98,0.04,1216,10.2,0,10.86
22:01.8,36.6,36.6,1.98,0.05,1221,10.6,0.15,10.96
22:01.9,36.6,36.6,1.98,0.05,1225,10.3,0,11.05
22:02.4,36.6,36.6,1.98,0.04,1254,10.6,0,11.59
22:02.5,36.6,36.6,1.98,0.05,1257,10.8,0.119,11.71
22:02.7,36.6,36.6,1.98,0.04,1264,10.7,0,11.85
22:02.8,36.6,36.6,1.98,0.04,1270,10.9,0.115,11.94
22:03.0,36.6,36.6,1.98,0.05,1279,10.7,0,12.18
22:03.2,36.6,36.6,1.98,0.04,1286,10.7,0,12.37
22:03.9,36.6,36.6,1.98,0.04,1305,10.8,0,13.12
22:04.0,36.6,36.6,1.98,0.04,1306,11.1,0.101,13.2
22:04.1,36.6,36.6,1.98,0.05,1309,10.8,0.013,13.28
22:04.2,36.6,36.6,1.98,0.04,1309,11.1,0.123,13.37
22:04.3,36.6,36.6,1.98,0.04,1312,10.8,0,13.49
22:04.5,36.6,36.6,1.98,0.05,1314,10.9,0,13.64
22:04.6,36.6,36.6,1.98,0.04,1314,11,0,13.72
22:04.8,36.6,36.6,1.98,0.05,1317,11.1,0,13.94
22:05.1,36.7,36.7,1.98,0.05,1318,10.9,0.022,14.27
22:05.2,36.6,36.7,1.98,0.04,1319,10.8,0,14.39
22:05.3,36.6,36.6,1.98,0.05,1318,11.1,0.075,14.49
22:05.4,36.6,36.6,1.98,0.05,1319,10.8,0.035,14.57
22:05.5,36.6,36.6,1.98,0.05,1317,11,0.075,14.67
22:05.6,36.6,36.6,1.98,0.04,1316,10.8,0.013,14.75
22:05.7,36.6,36.6,1.98,0.05,1314,11,0.106,14.89
22:05.9,36.6,36.6,1.98,0.05,1310,10.9,0.097,15.07
22:06.3,36.6,36.6,1.98,0.05,1302,10.8,0.101,15.42
22:06.4,36.6,36.6,1.98,0.05,1299,10.6,0,15.53
22:06.5,36.6,36.6,1.98,0.05,1299,10.8,0.123,15.65
22:06.9,36.6,36.6,1.98,0.04,1294,10.8,0.123,16.02
22:06.9,36.7,36.6,1.98,0.04,1291,10.5,0,16.09
22:07.1,36.6,36.6,1.98,0.04,1289,10.5,0,16.25
22:07.2,36.6,36.6,1.98,0.04,1286,10.6,0,16.33
22:07.3,36.6,36.7,1.98,0.05,1286,10.5,0.11,16.43
22:07.4,36.7,36.7,1.98,0.04,1282,10.6,0.097,16.59
22:07.6,36.7,36.6,1.98,0.05,1278,10.6,0.008,16.72
22:07.7,36.6,36.6,1.98,0.04,1276,10.4,0.008,16.89
22:08.1,36.6,36.6,1.98,0.04,1272,10.4,0.088,17.2
22:08.2,36.6,36.6,1.98,0.05,1269,10.6,0.026,17.32
22:08.3,36.6,36.6,1.98,0.05,1270,10.4,0,17.4
22:08.4,36.6,36.6,1.98,0.04,1268,10.6,0.088,17.54
22:08.5,36.6,36.6,1.98,0.04,1267,10.4,0,17.62
22:08.6,36.6,36.6,1.98,0.04,1266,10.6,0.088,17.75
22:08.7,36.6,36.6,1.98,0.05,1264,10.6,0.039,17.89
22:08.9,36.6,36.6,1.98,0.05,1264,10.4,0,17.99
22:09.2,36.6,36.6,1.98,0.04,1263,10.4,0,18.37
22:09.3,36.6,36.6,1.98,0.04,1263,10.7,0.026,18.48
22:09.5,36.6,36.6,1.98,0.04,1263,10.5,0.017,18.64
22:09.6,36.6,36.6,1.98,0.05,1264,10.7,0.084,18.71
22:09.7,36.6,36.6,1.98,0.05,1264,10.5,0,18.82
22:10.0,36.6,36.6,1.98,0.05,1268,10.5,0,19.18
22:10.1,36.6,36.6,1.98,0.04,1269,10.8,0.097,19.26
22:10.3,36.6,36.6,1.98,0.05,1271,10.8,0.026,19.43
22:10.4,36.6,36.6,1.98,0.04,1273,10.6,0,19.51
22:10.5,36.6,36.6,1.98,0.05,1273,10.8,0.013,19.61
22:10.6,36.6,36.6,1.98,0.05,1275,10.6,0,19.72
22:10.7,36.6,36.6,1.98,0.04,1278,10.7,0.088,19.86
22:10.9,36.6,36.6,1.98,0.04,1280,10.8,0.048,20
22:11.4,36.6,36.6,1.98,0.04,1284,10.8,0.097,20.54
22:11.5,36.7,36.6,1.98,0.05,1287,10.7,0.004,20.62
22:11.6,36.6,36.6,1.98,0.04,1286,10.7,0,20.71
22:11.8,36.6,36.6,1.98,0.04,1287,10.8,0.092,20.92
22:12.1,36.6,36.6,1.98,0.05,1287,10.6,0,21.26
22:12.6,36.6,36.7,1.98,0.04,1286,10.8,0.132,21.7
22:13.1,36.6,36.6,1.98,0.05,1283,10.7,0,22.25
22:13.4,36.6,36.6,1.98,0.05,1284,10.7,0.092,22.5
22:13.5,36.7,36.6,1.98,0.04,1282,10.5,0,22.58
22:13.9,36.6,36.6,1.98,0.05,1279,10.7,0,23.01
22:14.0,36.6,36.6,1.98,0.04,1279,10.5,0,23.11
22:14.1,36.6,36.6,1.98,0.05,1278,10.8,0.106,23.22
22:14.3,36.6,36.6,1.98,0.05,1280,10.7,0.115,23.44
22:14.4,36.6,36.6,1.98,0.05,1279,10.8,0.008,23.56
22:14.8,36.6,36.6,1.98,0.05,1282,10.6,0,23.89
22:14.9,36.6,36.6,1.98,0.04,1283,10.9,0.057,23.98
22:15.0,36.6,36.6,1.98,0.05,1283,10.8,0.066,24.13
22:15.1,36.6,36.6,1.98,0.05,1285,10.7,0.044,24.22
22:15.2,36.6,36.6,1.98,0.05,1284,10.8,0.092,24.32
22:15.5,36.6,36.6,1.98,0.05,1286,10.6,0.017,24.61
22:16.4,36.6,36.6,1.98,0.05,1287,10.8,0,25.53
22:16.5,36.6,36.6,1.98,0.05,1286,10.6,0,25.62
22:17.3,36.6,36.6,1.98,0.05,1284,10.5,0,26.36
22:17.3,36.6,36.7,1.98,0.05,1284,10.8,0.106,26.46
22:17.4,36.6,36.6,1.98,0.05,1283,10.6,0,26.56
22:17.5,36.6,36.6,1.98,0.05,1283,10.8,0.097,26.65
22:17.6,36.6,36.6,1.98,0.05,1283,10.5,0,26.73
22:18.0,36.6,36.6,1.98,0.05,1281,10.5,0,27.08
22:18.1,36.6,36.6,1.98,0.05,1280,10.7,0.088,27.22
22:18.2,36.6,36.6,1.98,0.05,1278,10.4,0,27.31
22:18.3,36.6,36.6,1.98,0.04,1278,10.7,0.097,27.41
22:18.4,36.6,36.6,1.98,0.04,1276,10.4,0,27.5
22:18.6,36.6,36.6,1.98,0.05,1272,10.6,0,27.76
22:18.8,36.6,36.6,1.98,0.04,1270,10.5,0,27.92
22:19.0,36.6,36.6,1.98,0.05,1268,10.6,0,28.14
22:19.2,36.6,36.6,1.98,0.05,1266,10.6,0,28.33
22:19.4,36.6,36.6,1.98,0.05,1265,10.6,0.097,28.54
22:19.9,36.6,36.6,1.98,0.05,1264,10.4,0,28.99
22:20.6,36.6,36.6,1.98,0.05,1267,10.7,0.026,29.66
22:20.7,36.6,36.6,1.98,0.04,1269,10.7,0.039,29.84
22:20.8,36.6,36.6,1.98,0.05,1271,10.7,0.075,29.92
22:20.9,36.6,36.6,1.98,0.04,1272,10.7,0.035,30.02
22:21.1,36.6,36.6,1.98,0.05,1275,10.7,0.035,30.22
22:21.2,36.6,36.6,1.98,0.05,1278,10.7,0.07,30.31
22:21.3,36.6,36.6,1.98,0.04,1280,10.9,0.044,30.44
22:21.4,36.6,36.6,1.98,0.05,1282,10.6,0,30.53
22:21.6,36.6,36.6,1.98,0.05,1286,10.7,0.084,30.7
22:21.7,36.6,36.6,1.98,0.05,1286,10.8,0,30.77
22:21.9,36.6,36.6,1.98,0.05,1293,11,0.026,31.04
22:22.5,36.6,36.7,1.98,0.05,1304,11.1,0.097,31.56
22:22.6,36.7,36.6,1.98,0.05,1306,10.8,0,31.64
22:22.6,36.6,36.6,1.98,0.04,1306,11,0,31.7
22:22.8,36.6,36.6,1.98,0.04,1308,10.9,0,31.87
22:22.9,36.7,36.6,1.98,0.05,1310,11.1,0.11,31.95
22:23.6,36.7,36.7,1.98,0.04,1311,10.9,0.022,32.71
22:23.7,36.7,36.7,1.98,0.05,1308,10.9,0.088,32.82
22:24.3,36.6,36.6,1.98,0.04,1297,10.7,0,33.39
22:24.5,36.6,36.6,1.98,0.05,1292,10.7,0.106,33.62
22:24.7,36.6,36.6,1.98,0.05,1286,10.6,0,33.76
22:24.7,36.6,36.6,1.98,0.04,1285,10.6,0.115,33.83
22:24.9,36.6,36.6,1.98,0.04,1279,10.6,0.092,33.99
22:25.0,36.6,36.7,1.98,0.05,1277,10.3,0,34.08
22:25.1,36.6,36.6,1.98,0.05,1273,10.6,0.11,34.18
22:25.3,36.6,36.7,1.98,0.05,1268,10.4,0,34.35
22:25.4,36.7,36.6,1.98,0.05,1263,10.3,0,34.52
22:25.7,36.6,36.6,1.98,0.04,1259,10.4,0.101,34.8
22:26.2,36.6,36.6,1.98,0.05,1254,10.3,0,35.24
22:26.3,36.6,36.6,1.98,0.05,1255,10.5,0,35.4
22:26.4,36.6,36.6,1.98,0.04,1255,10.6,0.101,35.52
22:26.5,36.6,36.6,1.98,0.04,1257,10.4,0,35.62
22:26.6,36.6,36.6,1.98,0.05,1256,10.6,0.119,35.7
22:26.7,36.6,36.7,1.98,0.04,1259,10.5,0,35.8
22:26.8,36.6,36.6,1.98,0.05,1259,10.6,0.092,35.91
22:26.9,36.6,36.6,1.98,0.05,1262,10.4,0,36.01
22:27.0,36.6,36.6,1.98,0.05,1263,10.7,0.11,36.1
22:27.1,36.6,36.6,1.98,0.05,1265,10.5,0,36.2
22:27.3,36.6,36.6,1.98,0.05,1267,10.5,0,36.41
