Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
47:38.5,0,0,0.28,0.05,0,0,0,0
47:38.5,0,0,0.28,0.05,0,0,0,0
47:39.0,0,0,0.28,0.05,0,0,0,0
47:39.3,0,0,0.28,0.05,0,0,0,0
47:39.4,0,0,0.28,0.05,0,0,0,0
47:39.4,0,0,0.28,0.04,0,0,0,0
47:39.6,0,0,0.28,0.05,0,0,0,0
47:39.9,0,0,0.28,0.05,0,0,0,0
47:40.0,0,0,0.28,0.04,0,0,0,0
47:40.1,0,0,0.28,0.05,0,0,0,0
47:40.2,0,0,0.28,0.05,0,0,0,0
47:40.6,0,0,0.28,0.05,0,0,0,0
47:40.7,0,0,0.28,0.04,0,0,0,0
47:41.1,0,0,0.28,0.04,0,0,0,0
47:41.2,0,0,0.28,0.05,0,0,0,0
47:41.4,0,0,0.28,0.04,0,0,0,0
47:41.5,0,0,0.28,0.05,0,0,0,0
47:41.6,0,0,0.28,0.05,0,0,0,0
47:41.7,0,0,0.28,0.05,0,0,0,0
47:41.8,0,0,0.28,0.05,0,0,0,0
47:41.9,0,0,0.28,0.05,0,0,0,0
47:42.0,0,0,0.28,0.05,0,0,0,0
47:42.6,0,0,0.28,0.05,0,0,0,0
47:42.7,0,0,0.28,0.04,0,0,0,0
47:42.8,0,0,0.28,0.05,0,0,0,0
47:42.9,0,0,0.28,0.05,0,0,0,0
47:43.4,0,0,0.28,0.04,0,0,0,0
47:43.5,0,0,0.28,0.05,0,0,0,0
47:43.6,0,0,0.28,0.05,0,0,0,0
47:44.1,0,0,0.28,0.05,0,0,0,0
47:44.2,0,0,0.28,0.05,0,0,0,0
47:44.2,0,0,0.28,0.05,0,0,0,0
47:44.4,0,0,0.28,0.05,0,0,0,0
47:44.5,0,0,0.28,0.05,0,0,0,0
47:44.8,0,0,0.28,0.05,0,0,0,0
47:44.9,0,0,0.28,0.05,0,0,0,0
47:45.4,0,0,0.28,0.05,0,0,0,0
47:45.4,0,0,0.28,0.05,0,0,0,0
47:45.5,0,0,0.28,0.05,0,0,0,0
47:46.0,0,0,0.28,0.04,0,0,0,0
47:46.1,0,0,0.28,0.05,0,0,0,0
47:46.2,0,0,0.28,0.05,0,0,0,0
47:46.4,0,0,0.28,0.04,0,0,0,0
47:46.8,0,0,0.28,0.05,0,0,0,0
47:46.9,0,0,0.28,0.05,0,0,0,0
47:47.3,0,0,0.28,0.05,0,0,0,0
47:47.4,0,0,0.28,0.04,0,0,0,0
47:47.5,0,0,0.28,0.05,0,0,0,0
47:47.7,0,0,0.28,0.05,0,0,0,0
47:47.8,0,0,0.28,0.05,0,0,0,0
47:48.4,0,0,0.28,0.05,0,0,0,0
47:48.7,17.1,47.7,2.56,0.05,0,0,0,0
47:48.9,47.5,47.7,2.56,0.05,0,0,0,0
47:49.4,47.6,47.6,2.56,0.05,31,0.6,0.039,0
47:49.5,47.6,47.6,2.56,0.05,40,0.9,0.088,0
47:49.7,47.6,47.6,2.56,0.05,70,1.4,0,0
47:49.8,47.6,47.6,2.56,0.05,86,1.6,0.11,0
47:49.9,47.6,47.6,2.56,0.04,104,1.9,0.079,0
47:50.0,47.6,47.5,2.56,0.05,117,2.1,0.039,0
47:50.5,47.6,47.6,2.56,0.04,241,3.6,0.075,0
47:50.9,47.6,47.6,2.56,0.05,367,4.6,0.053,0
47:51.4,47.6,47.4,2.56,0.05,520,6,0,0
47:51.9,47.6,47.6,2.56,0.05,662,7.2,0.026,0.26
47:52.5,47.6,47.6,2.56,0.05,832,8.8,0.163,0.85
47:53.0,47.5,47.6,2.56,0.04,985,9.5,0,1.38
47:53.2,47.6,47.5,2.56,0.05,1018,10.3,0.194,1.53
47:53.2,47.6,47.6,2.56,0.05,1044,9.8,0.039,1.6
47:53.3,47.5,47.4,2.56,0.05,1059,10.6,0.349,1.69
47:53.4,47.5,47.4,2.56,0.05,1089,10.5,0.066,1.78
47:53.9,47.6,47.6,2.56,0.05,1203,11.6,0,2.23
47:54.4,47.6,47.6,2.56,0.05,1355,13.3,0.508,2.8
47:54.6,47.6,47.6,2.56,0.05,1377,13.1,0.323,2.9
47:54.6,47.5,47.6,2.56,0.04,1398,13.4,0.044,2.96
47:54.7,47.5,47.5,2.56,0.04,1424,13.8,0,3.08
47:55.1,47.6,47.6,2.56,0.04,1520,13.8,0,3.49
47:56.2,47.6,47.6,2.56,0.05,1731,15.5,0.274,4.52
47:56.3,47.6,47.5,2.56,0.05,1749,15.4,0.19,4.65
47:56.4,47.6,47.6,2.56,0.05,1758,15.3,0,4.74
47:56.5,47.6,47.6,2.56,0.05,1770,15.2,0,4.85
47:56.6,47.6,47.7,2.56,0.04,1780,15.1,0,4.95
47:56.7,47.7,47.6,2.56,0.04,1787,15.6,0.146,5.05
47:56.8,47.7,47.6,2.56,0.05,1794,15.4,0.044,5.14
47:57.0,47.6,47.6,2.56,0.04,1805,15.3,0.008,5.34
47:57.2,47.6,47.6,2.56,0.04,1810,15,0,5.51
47:57.8,47.7,47.7,2.55,0.05,1802,14.7,0,6.14
47:58.0,47.7,47.6,2.56,0.05,1792,14.6,0,6.3
47:58.1,47.7,47.6,2.56,0.05,1786,14.6,0,6.4
47:58.1,47.7,47.6,2.56,0.04,1783,14.6,0.004,6.49
47:58.2,47.7,47.6,2.56,0.05,1779,14.6,0.039,6.59
47:58.3,47.7,47.7,2.56,0.05,1773,14.5,0,6.69
47:58.4,47.7,47.6,2.56,0.05,1768,14.5,0,6.78
47:58.9,47.7,47.7,2.56,0.05,1748,14.2,0,7.24
47:59.0,47.7,47.6,2.56,0.05,1743,14.3,0,7.34
47:59.1,47.7,47.7,2.56,0.05,1740,14.2,0.044,7.44
47:59.2,47.7,47.7,2.56,0.05,1731,14.1,0,7.56
47:59.8,47.7,47.6,2.56,0.04,1704,13.8,0,8.09
48:00.3,47.6,47.6,2.56,0.05,1673,13.7,0.044,8.59
48:00.3,47.6,47.6,2.56,0.05,1670,13.7,0,8.65
48:00.4,47.6,47.6,2.56,0.04,1666,13.7,0.004,8.74
48:00.5,47.6,47.6,2.56,0.05,1662,13.5,0,8.85
48:01.7,47.6,47.6,2.56,0.05,1614,13.4,0,9.98
48:01.8,47.6,47.5,2.56,0.05,1613,13.2,0,10.1
48:02.0,47.6,47.6,2.56,0.05,1612,13.5,0,10.29
48:02.1,47.6,47.6,2.56,0.05,1613,13.3,0.11,10.38
48:02.6,47.5,47.5,2.56,0.05,1628,14.1,0.084,10.93
48:02.8,47.5,47.6,2.56,0.05,1639,14.3,0.026,11.09
48:02.9,47.6,47.6,2.56,0.04,1646,14.1,0,11.18
48:02.9,47.6,47.5,2.56,0.04,1652,14,0.044,11.27
48:03.0,47.6,47.6,2.56,0.05,1654,14.2,0.119,11.36
48:03.3,47.6,47.6,2.56,0.04,1665,14,0,11.64
48:04.0,47.6,47.5,2.56,0.05,1643,13.3,0.097,12.28
48:04.1,47.6,47.6,2.56,0.05,1638,13.5,0.115,12.38
48:04.1,47.6,47.5,2.56,0.05,1634,13.1,0,12.46
48:04.2,47.6,47.6,2.56,0.05,1631,13.6,0.092,12.55
48:04.6,47.6,47.6,2.56,0.04,1628,13.7,0.044,12.96
48:05.3,47.6,47.6,2.56,0.05,1633,13.5,0.079,13.64
48:05.5,47.6,47.6,2.56,0.05,1634,13.6,0,13.78
48:05.5,47.6,47.6,2.56,0.04,1636,13.8,0.079,13.86
48:05.7,47.6,47.6,2.56,0.05,1637,13.9,0,14.03
48:05.8,47.6,47.6,2.56,0.04,1638,13.6,0,14.11
48:05.9,47.6,47.6,2.56,0.04,1639,13.7,0.115,14.2
48:06.3,47.6,47.6,2.56,0.05,1642,14,0.19,14.62
48:06.4,47.6,47.6,2.56,0.05,1645,13.9,0,14.73
48:06.5,47.6,47.5,2.56,0.05,1646,13.7,0,14.86
48:06.6,47.5,47.6,2.56,0.05,1649,13.9,0.013,14.93
48:06.7,47.5,47.5,2.56,0.05,1651,14,0,15.06
48:06.8,47.6,47.6,2.56,0.05,1651,13.8,0,15.16
48:07.0,47.6,47.5,2.56,0.05,1654,13.9,0,15.3
48:07.1,47.6,47.6,2.56,0.05,1655,13.7,0,15.44
48:07.4,47.6,47.6,2.56,0.05,1661,13.7,0,15.72
48:07.5,47.6,47.5,2.56,0.05,1663,14.2,0.199,15.77
48:07.5,47.6,47.6,2.56,0.05,1665,13.9,0,15.84
48:07.7,47.6,47.6,2.56,0.05,1667,13.9,0,15.96
48:08.0,47.5,47.6,2.56,0.05,1670,14.1,0.177,16.34
48:08.2,47.6,47.6,2.56,0.04,1673,14.1,0.026,16.48
