Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
28:04.1,0,0,0.29,0.05,0,0,0,0
28:04.1,0,0,0.28,0.04,0,0,0,0
28:04.2,0,0,0.29,0.04,0,0,0,0
28:04.5,0,0,0.28,0.05,0,0,0,0
28:04.7,0,0,0.28,0.05,0,0,0,0
28:04.7,0,0,0.28,0.05,0,0,0,0
28:05.3,0,0,0.28,0.05,0,0,0,0
28:05.4,0,0,0.28,0.05,0,0,0,0
28:05.6,0,0,0.28,0.05,0,0,0,0
28:05.7,0,0,0.28,0.05,0,0,0,0
28:05.8,0,0,0.28,0.05,0,0,0,0
28:06.1,0,0,0.28,0.05,0,0,0,0
28:06.7,0,0,0.28,0.05,0,0,0,0
28:06.7,0,0,0.28,0.05,0,0,0,0
28:06.9,0,0,0.28,0.05,0,0,0,0
28:06.9,0,0,0.28,0.05,0,0,0,0
28:07.1,0,0,0.28,0.05,0,0,0,0
28:07.2,0,0,0.28,0.05,0,0,0,0
28:07.3,0,0,0.28,0.05,0,0,0,0
28:07.4,0,0,0.28,0.05,0,0,0,0
28:07.5,0,0,0.28,0.04,0,0,0,0
28:07.6,0,0,0.28,0.05,0,0,0,0
28:07.7,0,0,0.28,0.05,0,0,0,0
28:07.8,0,0,0.28,0.05,0,0,0,0
28:07.9,0,0,0.28,0.05,0,0,0,0
28:08.2,0,0,0.28,0.05,0,0,0,0
28:08.3,0,0,0.28,0.05,0,0,0,0
28:08.4,0,0,0.28,0.05,0,0,0,0
28:08.5,0,0,0.28,0.05,0,0,0,0
28:08.6,0,0,0.28,0.05,0,0,0,0
28:08.7,0,0,0.28,0.05,0,0,0,0
28:08.8,0,0,0.28,0.05,0,0,0,0
28:08.9,0,0,0.28,0.05,0,0,0,0
28:09.0,0,0,0.28,0.05,0,0,0,0
28:09.1,0,0,0.28,0.04,0,0,0,0
28:09.3,0,0,0.28,0.04,0,0,0,0
28:09.4,0,0,0.28,0.05,0,0,0,0
28:09.5,0,0,0.28,0.05,0,0,0,0
28:09.6,0,0,0.28,0.05,0,0,0,0
28:09.7,0,0,0.28,0.05,0,0,0,0
28:09.8,0,0,0.28,0.04,0,0,0,0
28:09.9,0,0,0.28,0.04,0,0,0,0
28:10.4,0,0,0.28,0.05,0,0,0,0
28:10.5,0,0,0.28,0.05,0,0,0,0
28:10.6,0,0,0.28,0.04,0,0,0,0
28:10.7,0,0,0.28,0.04,0,0,0,0
28:10.8,0,0,0.28,0.05,0,0,0,0
28:10.9,0,0,0.28,0.05,0,0,0,0
28:11.0,0,0,0.28,0.05,0,0,0,0
28:11.2,0,0,0.28,0.05,0,0,0,0
28:11.2,0,0,0.28,0.05,0,0,0,0
28:11.3,0,0,0.28,0.04,0,0,0,0
28:11.5,0,0,0.28,0.05,0,0,0,0
28:11.6,0,0,0.28,0.04,0,0,0,0
28:11.7,0,0,0.28,0.05,0,0,0,0
28:11.8,0,0,0.28,0.05,0,0,0,0
28:11.9,0,0,0.28,0.04,0,0,0,0
28:12.0,0,0,0.28,0.05,0,0,0,0
28:12.4,0,0,0.28,0.05,0,0,0,0
