Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
00:53.4,0,0,0.28,0,0,0,19.07
00:53.5,0,0,0.28,0,0,0,19.07
00:53.5,0,0,0.28,0,0,0,19.07
00:53.7,0,0,0.28,0,0,0,19.07
00:53.7,0,0,0.28,0,0,0,19.07
00:54.1,0,0,0.28,0,0,0,19.07
00:54.2,0,0,0.28,0,0,0,19.07
00:54.5,0,0,0.28,0,0,0,19.07
00:54.5,0,0,0.28,0,0,0,19.07
00:54.8,0,0,0.28,0,0,0,19.07
00:54.8,0,0,0.28,0,0,0,19.07
00:55.1,0,0,0.28,0,0,0,19.07
00:55.2,0,0,0.28,0,0,0,19.07
00:55.4,0,0,0.28,0,0,0,19.07
00:55.5,0,0,0.28,0,0,0,19.07
00:55.9,0,0,0.28,0,0,0,19.07
00:55.9,0,0,0.28,0,0,0,19.07
00:56.1,0,0,0.28,0,0,0,19.07
00:56.3,0,0,0.28,0,0,0,19.07
00:56.4,0,0,0.28,0,0,0,19.07
00:56.5,0,0,0.28,0,0,0,19.07
00:56.8,0,0,0.28,0,0,0,19.07
00:56.9,0,0,0.28,0,0,0,19.07
00:57.0,0,0,0.28,0,0,0,19.07
00:57.5,0,0,0.28,0,0,0,19.07
00:57.5,0,0,0.28,0,0,0,19.07
00:57.6,0,0,0.28,0,0,0,19.07
00:58.0,0,0,0.28,0,0,0,19.07
00:58.0,0,0,0.28,0,0,0,19.07
00:58.2,0,0,0.28,0,0,0,19.07
00:58.5,0,0,0.28,0,0,0,19.07
00:58.8,0,0,0.28,0,0,0,19.07
00:58.9,0,0,0.28,0,0,0,19.07
00:59.1,0,0,0.28,0,0,0,19.07
00:59.3,0,0,0.28,0,0,0,19.07
00:59.8,0,0,0.28,0,0,0,19.07
01:00.1,0,0,0.28,0,0,0,19.07
01:00.1,0,0,0.28,0,0,0,19.07
01:00.2,0,0,0.28,0,0,0,19.07
01:00.3,0,0,0.28,0,0,0,19.07
01:00.8,0,0,0.28,0,0,0,19.07
01:00.9,0,0,0.28,0,0,0,19.07
01:01.0,0,0,0.28,0,0,0,19.07
01:01.1,0,0,0.28,0,0,0,19.07
01:01.3,0,0,0.28,0,0,0,19.07
01:01.7,0,0,0.28,0,0,0,19.07
01:01.8,0,0,0.28,0,0,0,19.07
01:01.9,0,0,0.28,0,0,0,19.07
01:02.2,0,0,0.28,0,0,0,19.07
01:02.3,0,0,0.28,0,0,0,19.07
01:02.4,0,0,0.28,0,0,0,19.07
01:02.5,0,0,0.28,0,0,0,19.07
01:02.7,0,0,0.28,0,0,0,19.07
01:02.8,0,0,0.28,0,0,0,19.07
01:02.9,0,0,0.28,0,0,0,19.07
01:03.0,0,0,0.28,0,0,0,19.07
01:03.1,0,0,0.28,0,0,0,19.07
01:03.3,0,0,0.28,0,0,0,19.07
01:03.4,0,0,0.28,0,0,0,19.07
01:03.5,0,0,0.28,0,0,0,19.07
01:03.6,0,0,0.28,0,0,0,19.07
01:04.0,0,0,0.28,0,0,0,19.07
01:04.2,0,0,0.28,0,0,0,19.07
01:04.3,0,0,0.28,0,0,0,19.07
01:04.4,0,0,0.28,0,0,0,19.07
01:04.5,0,0,0.28,0,0,0,19.07
01:04.6,0,0,0.28,0,0,0,19.07
01:04.8,0,0,0.28,0,0,0,19.07
01:04.9,0,0,0.28,0,0,0,19.07
01:05.0,0,0,0.28,0,0,0,19.07
01:05.1,0,0,0.28,0,0,0,19.07
01:05.2,0,0,0.28,0,0,0,19.07
01:05.3,0,0,0.28,0,0,0,19.07
01:05.4,0,0,0.28,0,0,0,19.07
01:05.5,0,0,0.28,0,0,0,19.07
01:05.6,0,0,0.28,0,0,0,19.07
01:05.7,0,0,0.28,0,0,0,19.07
01:05.8,0,0,0.28,0,0,0,19.07
01:06.0,0,0,0.28,0,0,0,19.07
01:06.1,0,0,0.28,0,0,0,19.07
01:06.1,0,0,0.28,0,0,0,19.07
