Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
00:17.9,0,0,0.29,0,0,0,0,0
00:18.0,0,0,0.29,0,0,0,0,0
00:18.1,0,0,0.29,0,0,0,0,0
00:18.4,0,0,0.31,0,0,0,0,0
00:18.5,0,0,0.29,0,0,0,0,0
00:18.6,0,0,0.29,0,0,0,0,0
00:18.9,0,0,0.3,0,0,0,0,0
00:19.1,0,0,0.31,0,0,0,0,0
00:19.2,0,0,0.3,0,0,0,0,0
00:19.3,0,0,0.31,0,0,0,0,0
00:19.6,0,0,0.29,0,0,0,0,0
00:19.7,0,0,0.29,0,0,0,0,0
00:19.8,0,0,0.3,0,0,0,0,0
00:19.9,0,0,0.29,0,0,0,0,0
00:20.0,0,0,0.3,0,0,0,0,0
00:20.3,0,0,0.3,0,0,0,0,0
00:20.4,0,0,0.29,0,0,0,0,0
00:20.5,0,0,0.31,0,0,0,0,0
00:20.7,0,0,0.3,0,0,0,0,0
00:20.7,0,0,0.3,0,0,0,0,0
00:20.9,0,0,0.29,0,0,0,0,0
00:21.1,0,0,0.3,0,0,0,0,0
00:21.2,0,0,0.3,0,0,0,0,0
00:21.2,0,0,0.29,0,0,0,0,0
00:21.3,0,0,0.29,0,0,0,0,0
00:21.4,0,0,0.3,0,0,0,0,0
00:21.6,0,0,0.29,0,0,0,0,0
00:21.7,0,0,0.31,0,0,0,0,0
00:21.9,0,0,0.3,0,0,0,0,0
00:22.0,0,0,0.3,0,0,0,0,0
00:22.1,0,0,0.29,0,0,0,0,0
00:22.2,0,0,0.3,0,0,0,0,0
00:22.3,0,0,0.29,0,0,0,0,0
00:22.4,0,0,0.3,0,0,0,0,0
00:22.5,0,0,0.3,0,0,0,0,0
00:22.6,0,0,0.29,0,0,0,0,0
00:22.9,0,0,0.8,0,0,0,0,0
00:23.1,15.2,14.8,0.76,0,0,0,0,0
00:23.3,15,14.8,0.76,11,0.5,0.053,0,0
00:23.7,14.8,14.9,0.79,28,0.5,0.004,0,0
00:23.8,15,15.3,0.76,31,0.5,0.022,0,0
00:24.1,15,15.2,0.78,57,1,0.044,0,0
00:24.2,15,15.4,0.77,67,1.1,0.026,0,0
00:24.6,15.2,14.7,0.77,116,1.7,0.084,0,0
00:24.7,15,14.6,0.77,134,1.9,0.097,0,0
00:25.5,14.7,14.7,0.78,261,2.9,0.066,0,0
00:25.6,15,14.9,0.77,276,3.2,0.066,0,0
00:25.8,14.8,14.6,0.77,307,3.4,0.026,0,0
00:25.9,14.9,14.4,0.78,317,3.4,0.013,0,0
00:26.0,14.9,14.9,0.76,337,3.4,0,0,0
00:26.3,14.8,14.7,0.76,376,3.9,0.03,0,0
00:26.7,14.8,14.5,0.76,421,4.2,0.061,0,0
00:26.9,14.9,15,0.76,445,4.2,0,0,0
00:27.2,14.8,14.6,0.79,472,4.5,0.057,0,0
00:27.7,14.8,15.1,0.76,513,4.7,0.061,0,0
00:27.8,14.8,14.5,0.77,520,4.6,0,0,0
00:27.9,14.9,14.6,0.79,523,4.5,0,0,0
00:28.0,14.8,15.1,0.76,525,4.5,0.013,0,0
00:28.1,14.9,14.9,0.8,531,4.8,0.057,0,0
00:28.2,14.9,14.6,0.76,537,4.7,0,0,0
00:28.3,14.9,15.1,0.76,540,4.6,0,0,0
00:28.7,14.7,14.9,0.76,550,4.7,0,0,0
00:29.0,14.8,14.6,0.76,554,4.8,0.057,0,0
00:29.2,15,15,0.76,556,4.6,0,0,0
00:29.3,14.8,14.6,0.76,555,4.6,0.026,0,0
00:29.8,14.9,15.1,0.77,555,4.6,0,0,0
00:30.1,14.9,14.9,0.77,556,4.5,0.026,0,0
00:30.2,14.9,15.2,0.76,556,4.6,0.053,0,0
00:30.4,14.7,15.1,0.76,559,4.6,0,0,0
00:30.5,14.8,14.6,0.79,557,4.5,0,0,0
00:30.6,14.8,14.8,0.76,556,4.5,0.004,0,0
00:31.0,14.8,15.1,0.76,557,4.5,0,0,0
00:31.4,14.9,14.9,0.77,559,4.5,0,0,0
00:31.9,14.8,14.9,0.76,554,4.5,0.03,0,0
00:32.2,14.8,15.3,0.76,555,4.4,0,0,0
00:32.3,14.9,14.8,0.77,553,4.4,0,0,0
00:32.4,14.8,15.3,0.78,550,4.5,0.035,0,0
00:32.5,14.7,15,0.77,550,4.6,0.048,0,0
00:32.7,14.9,14.7,0.77,549,4.4,0,0,0
00:33.2,14.9,14.8,0.77,543,4.3,0,0,0
00:33.5,14.9,14.8,0.79,541,4.5,0,0,0
00:33.6,14.9,15.1,0.76,540,4.4,0,0,0
00:34.2,15,14.6,0.8,532,4.3,0.026,0,0
00:34.3,14.9,14.6,0.76,531,4.5,0.03,0,0
00:34.5,14.9,15.1,0.77,533,4.4,0,0,0
00:34.6,14.9,15,0.76,532,4.2,0,0,0
00:34.7,14.9,14.6,0.77,530,4.3,0.035,0,0
00:34.8,15,14.8,0.76,530,4.5,0.066,0,0
00:35.1,14.9,14.8,0.77,529,4.2,0.022,0,0
00:35.3,14.8,14.8,0.77,529,4.4,0,0,0
00:35.8,14.8,14.8,0.76,529,4.5,0,0,0
00:35.9,14.9,14.8,0.76,529,4.3,0,0,0
00:36.0,14.9,14.6,0.78,527,4.3,0,0,0
00:36.2,14.9,15.4,0.78,529,4.5,0.039,0,0
00:36.5,14.8,14.9,0.75,526,4.3,0.017,0,0
00:36.6,14.9,14.7,0.78,527,4.5,0.039,0,0
00:37.3,15,15.1,0.77,526,4.2,0,0,0
00:37.5,15,15.3,0.77,524,4.4,0.017,0,0
00:38.4,15,14.9,0.77,519,4.4,0.053,0,0
00:38.5,14.9,15.3,0.76,520,4.4,0,0,0
00:38.7,14.9,15,0.77,520,4.1,0,0,0
00:38.8,14.7,14.7,0.77,517,4.1,0,0,0
00:38.9,14.8,15,0.75,515,4.3,0.039,0,0
00:39.0,15,14.7,0.76,515,4.3,0.022,0,0
00:39.1,14.9,14.8,0.76,516,4.2,0,0,0
00:39.5,14.8,14.7,0.78,514,4.3,0,0,0
00:39.7,14.8,14.6,0.76,512,4,0,0,0
00:39.8,14.9,14.6,0.77,509,4.1,0.004,0,0
00:40.1,14.9,15.1,0.77,510,4.2,0,0,0
00:40.3,14.8,15.3,0.78,507,4.2,0.048,0,0
00:40.4,14.9,14.8,0.76,509,4.3,0.026,0,0
00:40.5,14.9,14.8,0.77,510,4.3,0,0,0
00:40.7,14.8,15.1,0.76,509,4.1,0,0,0
00:40.8,14.8,14.9,0.77,507,4.2,0.07,0,0
00:40.9,14.9,14.7,0.77,508,4.3,0.044,0,0
00:41.3,14.8,14.8,0.75,509,4.3,0.053,0,0
00:41.4,14.8,14.7,0.79,513,4.4,0,0,0
00:42.1,14.9,14.8,0.76,515,4.2,0,0,0
00:42.5,14.8,14.8,0.79,520,4.3,0,0,0
00:42.6,14.8,14.8,0.76,519,4.2,0.004,0,0
00:42.7,14.9,14.8,0.76,519,4.3,0.048,0,0
00:42.8,14.9,14.9,0.76,520,4.4,0.03,0,0
00:42.9,14.9,14.5,0.76,523,4.5,0.013,0,0
00:43.2,15,14.7,0.78,523,4.4,0.008,0,0
00:43.5,14.9,14.8,0.77,527,4.2,0,0,0
00:43.7,14.8,14.9,0.78,527,4.5,0.044,0,0
00:44.2,14.9,14.9,0.78,530,4.5,0,0,0
00:44.5,14.9,15.2,0.76,529,4.4,0.022,0,0
00:44.6,14.9,14.9,0.79,530,4.5,0.053,0,0
00:44.7,14.8,14.8,0.77,532,4.4,0.008,0,0
00:44.8,15.1,14.6,0.78,532,4.4,0,0,0
00:45.0,15.1,14.9,0.79,530,4.3,0.004,0,0
00:45.0,14.8,14.8,0.76,530,4.5,0.057,0,0
00:45.4,14.8,14.7,0.77,532,4.3,0,0,0
00:45.5,15.1,14.8,0.76,531,4.4,0,0,0
00:45.6,14.9,15.1,0.78,532,4.5,0,0,0
00:45.9,14.9,14.8,0.76,531,4.3,0,0,0
00:46.2,14.9,15.1,0.76,533,4.3,0,0,0
00:46.3,14.9,14.8,0.77,530,4.3,0,0,0
00:46.5,14.9,15,0.76,529,4.4,0.022,0,0
00:46.8,15.1,14.9,0.78,526,4.3,0.013,0,0
00:46.9,14.8,15.4,0.77,526,4.4,0.039,0,0
00:47.1,14.9,14.6,0.78,527,4.3,0,0,0
00:47.4,14.9,15.4,0.77,521,4.3,0.039,0,0
00:47.8,15,14.9,0.77,516,4.2,0,0,0
00:48.0,14.8,15.1,0.77,516,4.2,0.004,0,0
00:48.1,15,15.1,0.8,516,4.1,0,0,0
00:48.2,15,14.7,0.78,510,4.1,0,0,0
00:48.3,14.8,14.6,0.77,509,4.2,0.004,0,0
00:49.1,14.8,14.8,0.76,503,4,0,0,0
00:49.3,14.8,15.4,0.79,499,4.1,0.026,0,0
00:49.4,14.9,15.2,0.79,499,4.2,0.026,0,0
00:49.6,14.9,14.9,0.77,496,4,0,0,0
00:50.3,15,14.7,0.77,494,4.1,0.053,0,0
00:50.4,14.8,14.7,0.77,496,4.2,0.026,0,0
00:50.6,14.8,14.7,0.78,496,4,0,0,0
00:50.8,14.8,14.9,0.77,497,4.2,0.013,0,0
00:50.9,14.7,15.3,0.79,500,4.3,0,0,0
00:51.1,14.8,15.3,0.76,501,4.1,0,0,0
00:51.5,14.8,14.6,0.78,506,4.1,0,0,0
00:51.6,14.7,14.7,0.76,507,4.3,0,0,0
00:51.7,14.9,14.7,0.78,508,4.4,0.048,0,0
00:52.1,14.9,15,0.79,515,4.4,0.048,0,0
00:52.4,14.8,14.6,0.8,522,4.3,0,0,0
00:52.5,14.7,14.8,0.78,522,4.3,0,0,0
00:52.6,14.9,15,0.76,523,4.4,0.039,0,0
00:52.9,15,14.8,0.75,530,4.4,0,0,0
00:53.1,14.8,14.7,0.77,530,4.5,0.008,0,0
00:53.2,15,15.1,0.77,532,4.5,0.03,0,0
00:53.3,14.9,15.3,0.79,533,4.4,0,0,0
00:53.6,14.9,14.8,0.76,532,4.5,0.035,0,0
00:53.8,14.8,15.4,0.78,535,4.3,0,0,0
00:54.0,14.8,15,0.8,532,4.4,0.035,0,0
00:54.1,14.8,14.8,0.78,534,4.5,0,0,0
00:54.2,15,14.6,0.77,534,4.4,0,0,0
00:54.5,14.9,14.8,0.77,532,4.5,0.035,0,0
00:54.7,14.9,14.8,0.78,532,4.3,0,0,0
00:54.8,14.8,15.1,0.76,531,4.2,0,0,0
00:55.1,14.9,14.8,0.78,529,4.3,0,0,0
00:55.6,14.8,14.6,0.78,526,4.3,0,0,0
00:55.7,14.7,14.7,0.77,524,4.1,0,0,0
00:55.8,14.8,14.7,0.77,520,4.2,0,0,0
00:56.2,15,15.1,0.77,519,4.2,0,0,0
00:56.3,14.8,14.7,0.77,517,4.3,0.039,0,0
00:56.5,14.8,14.8,0.76,518,4.2,0,0,0
00:56.8,15,14.7,0.76,515,4.3,0.066,0,0
00:56.9,14.8,14.8,0.78,517,4.4,0.013,0,0
00:57.0,15,15.3,0.76,518,4.3,0,0,0
00:57.1,14.8,15,0.78,517,4.2,0,0,0
00:57.2,15,14.8,0.77,516,4.3,0,0,0
00:57.5,14.9,14.9,0.78,520,4.3,0,0,0
00:57.6,14.8,14.8,0.76,519,4.2,0,0,0
00:57.7,15,14.8,0.79,519,4.4,0.061,0,0
00:57.8,14.8,15.3,0.76,522,4.5,0.026,0,0
00:58.1,14.9,14.8,0.75,522,4.3,0.008,0,0
00:58.4,14.8,14.8,0.77,528,4.4,0,0,0
00:58.5,14.9,15.1,0.78,527,4.3,0,0,0
00:58.6,14.9,14.9,0.75,527,4.4,0.035,0,0
00:58.7,14.9,14.8,0.78,528,4.5,0.053,0,0
00:59.1,14.8,14.6,0.76,529,4.4,0.022,0,0
00:59.2,14.9,14.8,0.76,530,4.5,0.035,0,0
00:59.4,15.1,14.9,0.76,531,4.3,0,0,0
00:59.7,14.8,14.7,0.75,530,4.5,0.044,0,0
00:59.9,14.7,14.7,0.78,529,4.3,0,0,0
01:00.1,14.8,14.9,0.76,531,4.5,0.044,0,0
01:00.7,15,14.5,0.79,531,4.3,0.008,0,0
01:00.8,14.8,14.8,0.76,530,4.3,0,0,0
01:01.4,14.7,15.1,0.77,526,4.3,0.026,0,0
01:01.5,14.8,14.7,0.76,526,4.4,0.035,0,0
01:01.6,15.1,14.7,0.77,527,4.4,0.008,0,0
01:02.0,14.8,14.7,0.78,523,4.4,0.048,0,0
01:02.1,14.9,14.8,0.77,523,4.3,0,0,0
01:02.7,14.9,14.7,0.77,512,4,0,0,0
01:02.9,15,15.1,0.78,511,4.2,0,0,0
01:03.0,0,0,0.31,510,3.9,0,0,0
01:03.1,0,0,0.31,504,3.8,0,0,0
01:03.2,0,0,0.31,495,3.4,0,0,0
01:03.3,0,0,0.31,476,3,0,0,0
01:03.4,0,0,0.31,465,3.5,0.243,0,0
01:03.7,0,0,0.31,444,3,0.013,0,0
01:04.1,0,0,0.31,401,2.4,0.004,0,0
01:04.3,0,0,0.31,359,1.9,0,0,0
01:04.6,0,0,0.31,297,1.2,0,0,0
01:05.1,0,0,0.31,225,0.8,0,0,0
01:05.2,0,0,0.31,202,0.7,0,0,0
01:05.3,0,0,0.32,186,0.5,0,0,0
01:05.5,0,0,0.32,145,0.3,0,0,0
01:05.6,0,0,0.31,130,0.1,0,0,0
01:05.7,0,0,0.31,111,0,0,0,0
01:05.8,0,0,0.31,97,0,0,0,0
01:06.5,0,0,0.31,35,0,0,0,0
01:06.7,0,0,0.31,30,0,0,0,0
01:06.9,0,0,0.3,22,0,0,0,0
01:07.0,0,0,0.32,18,0,0,0,0
01:07.1,0,0,0.32,15,0,0,0,0
01:07.4,0,0,0.32,10,0,0,0,0
01:07.5,0,0,0.32,9,0,0,0,0
01:07.6,0,0,0.32,7,0,0,0,0
01:07.7,0,0,0.32,7,0,0,0,0
01:08.0,0,0,0.32,4,0,0,0,0
01:08.4,0,0,0.32,-3,-0.2,0,0,0
01:08.6,0,0,0.32,-8,-0.2,0,0,0
01:08.7,0,0,0.32,-11,-0.2,0,0,0
01:08.8,0,0,0.32,-14,-0.2,0,0,0
01:08.9,0,0,0.32,-17,-0.2,0,0,0
01:09.1,0,0,0.32,-23,-0.3,0,0,0
01:09.2,0,0,0.32,-25,-0.3,0,0,0
01:09.3,0,0,0.32,-27,-0.3,0,0,0
01:09.5,0,0,0.32,-30,-0.3,0.008,0,0
01:09.6,0,0,0.31,-31,-0.3,0,0,0
01:09.9,0,0,0.32,-33,-0.3,0,0,0
