Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
07:42.2,0,0,0.29,0,0,0,4.78,0
07:42.2,0,0,0.29,0,0,0,4.78,0
07:42.8,0,0,0.29,0,0,0,4.78,0
07:42.8,0,0,0.29,0,0,0,4.78,0
07:43.0,0,0,0.29,0,0,0,4.78,0
07:43.3,0,0,0.29,0,0,0,4.78,0
07:43.4,0,0,0.29,0,0,0,4.78,0
07:43.5,0,0,0.29,0,0,0,4.78,0
07:43.7,0,0,0.29,0,0,0,4.78,0
07:44.0,0,0,0.3,0,0,0,4.78,0
07:44.1,0,0,0.29,0,0,0,4.78,0
07:44.2,0,0,0.29,0,0,0,4.78,0
07:44.3,0,0,0.29,0,0,0,4.78,0
07:44.4,0,0,0.31,0,0,0,4.78,0
07:44.5,0,0,0.3,0,0,0,4.78,0
07:44.7,0,0,0.3,0,0,0,4.78,0
07:44.7,0,0,0.29,0,0,0,4.78,0
07:44.9,0,0,0.29,0,0,0,4.78,0
07:45.1,0,0,0.29,0,0,0,4.78,0
07:45.1,0,0,0.29,0,0,0,4.78,0
07:45.3,0,0,0.29,0,0,0,4.78,0
07:45.4,0,0,0.29,0,0,0,4.78,0
07:45.6,0,0,0.29,0,0,0,4.78,0
07:45.8,0,0,0.29,0,0,0,4.78,0
07:45.9,0,0,0.31,0,0,0,4.78,0
07:46.2,0,0,0.3,0,0,0,4.78,0
07:46.3,0,0,0.3,0,0,0,4.78,0
07:46.4,0,0,0.29,0,0,0,4.78,0
07:46.5,0,0,0.29,0,0,0,4.78,0
07:46.6,0,0,0.3,0,0,0,4.78,0
07:46.7,0,0,0.29,0,0,0,4.78,0
07:47.1,0,0,0.31,0,0,0,4.78,0
07:47.2,0,0,0.3,0,0,0,4.78,0
07:47.3,0,0,0.3,0,0,0,4.78,0
07:47.5,0,0,0.29,0,0,0,4.78,0
07:47.6,0,0,0.3,0,0,0,4.78,0
07:47.8,0,0,0.3,0,0,0,4.78,0
07:47.8,0,0,0.29,0,0,0,4.78,0
07:48.2,0,0,0.29,0,0,0,4.78,0
07:48.3,0,0,0.29,0,0,0,4.78,0
07:48.4,0,0,0.29,0,0,0,4.78,0
07:48.5,0,0,0.29,0,0,0,4.78,0
07:48.6,0,0,0.29,0,0,0,4.78,0
07:48.9,0,0,0.3,0,0,0,4.78,0
07:49.0,0,0,0.29,0,0,0,4.78,0
07:49.1,0,0,0.31,0,0,0,4.78,0
07:49.3,0,0,0.29,0,0,0,4.78,0
07:49.5,0,0,0.29,0,0,0,4.78,0
07:49.5,0,0,0.31,0,0,0,4.78,0
07:49.6,0,0,0.29,0,0,0,4.78,0
07:49.7,0,0,0.29,0,0,0,4.78,0
07:50.2,0,0,0.29,0,0,0,4.78,0
07:50.3,0,0,0.31,0,0,0,4.78,0
07:50.4,0,0,0.31,0,0,0,4.78,0
07:50.5,0,0,0.29,0,0,0,4.78,0
07:50.6,0,0,0.29,0,0,0,4.78,0
07:50.7,0,0,0.29,0,0,0,4.78,0
07:50.8,0,0,0.3,0,0,0,4.78,0
07:51.0,14.6,14.7,0.76,0,0,0,0,0
07:51.4,14.8,15.4,0.76,19,0.3,0.048,0,0
07:51.6,14.8,15.2,0.8,26,0.4,0.013,0,0
07:51.7,14.7,15.1,0.78,30,0.5,0.03,0,0
07:52.5,14.7,14.9,0.75,108,1.6,0.03,0,0
07:52.7,14.9,14.9,0.78,140,2,0.03,0,0
07:52.8,14.8,14.6,0.78,155,2.2,0.026,0,0
07:52.9,14.7,14.7,0.76,170,2.2,0,0,0
07:53.0,14.9,14.6,0.75,180,2.3,0.084,0,0
07:53.1,14.7,14.5,0.76,198,2.4,0,0,0
07:53.3,33.5,33.8,1.82,222,2.7,0.11,0,0
07:53.5,33.9,35,1.84,263,3.4,0.092,0,0
07:53.6,33.8,33.6,1.83,285,3.7,0.092,0,0
07:53.7,34.1,33.7,1.81,308,3.8,0.057,0,0
07:54.4,34,34,1.84,470,5.5,0.137,0,0
07:54.7,34.3,33.6,1.84,575,6.4,0.15,0,0
07:54.8,34.1,33.9,1.82,584,6.6,0.123,0,0
07:54.9,34.1,33.4,1.81,624,6.6,0,0.12,0
07:55.0,33.6,33.7,1.86,648,6.9,0.11,0.2,0
07:55.3,33.7,33.6,1.84,746,7.9,0.141,0.52,0
07:56.0,33.7,34.9,1.81,939,9.2,0,1.19,0
07:56.3,33.7,33.6,1.81,1027,9.7,0,1.53,0
07:56.4,33.7,33.5,1.82,1045,10,0.057,1.62,0
07:56.6,33.7,34.1,1.88,1097,10.3,0,1.82,0
07:56.9,33.8,33.8,1.89,1156,10.7,0,2.12,0
07:57.0,33.7,34.6,1.81,1176,10.8,0.172,2.24,0
07:57.2,33.8,33.6,1.8,1198,11,0,2.42,0
07:57.3,33.7,33.7,1.82,1216,10.8,0,2.52,0
07:57.5,33.6,34,1.85,1247,11.2,0.022,2.77,0
07:57.6,34.1,33.6,1.82,1264,11.4,0.269,2.86,0
07:57.7,33.7,33.7,1.82,1272,11.1,0,2.94,0
07:57.8,33.7,33.7,1.82,1283,11.2,0.092,3.03,0
