Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
04:13.3,0,0,0.31,0,0,0,0,0
04:13.8,0,0,0.3,0,0,0,0,0
04:14.1,0,0,0.31,0,0,0,0,0
04:14.3,0,0,0.3,0,0,0,0,0
04:14.4,0,0,0.3,0,0,0,0,0
04:14.5,0,0,0.3,0,0,0,0,0
04:14.5,0,0,0.31,0,0,0,0,0
04:15.0,0,0,0.31,0,0,0,0,0
04:15.0,0,0,0.31,0,0,0,0,0
04:15.2,0,0,0.31,0,0,0,0,0
04:15.2,0,0,0.31,0,0,0,0,0
04:15.3,0,0,0.3,0,0,0,0,0
04:15.4,0,0,0.3,0,0,0,0,0
04:15.6,0,0,0.3,0,0,0,0,0
04:15.6,0,0,0.3,0,0,0,0,0
04:15.8,0,0,0.3,0,0,0,0,0
04:16.0,0,0,0.31,0,0,0,0,0
04:16.1,0,0,0.3,0,0,0,0,0
04:16.3,0,0,0.31,0,0,0,0,0
04:16.4,0,0,0.31,0,0,0,0,0
04:16.7,0,0,0.31,0,0,0,0,0
04:16.8,0,0,0.31,0,0,0,0,0
04:17.0,0,0,0.3,0,0,0,0,0
04:17.1,0,0,0.31,0,0,0,0,0
04:17.2,0,0,0.31,0,0,0,0,0
04:17.4,0,0,0.31,0,0,0,0,0
04:17.4,0,0,0.31,0,0,0,0,0
04:17.5,0,0,0.3,0,0,0,0,0
04:17.6,0,0,0.31,0,0,0,0,0
04:17.8,0,0,0.3,0,0,0,0,0
04:17.8,0,0,0.3,0,0,0,0,0
04:17.9,0,0,0.3,0,0,0,0,0
04:18.1,0,0,0.3,0,0,0,0,0
04:18.3,0,0,0.3,0,0,0,0,0
04:18.3,0,0,0.3,0,0,0,0,0
04:18.5,0,0,0.3,0,0,0,0,0
04:18.5,0,0,0.31,0,0,0,0,0
04:18.6,0,0,0.32,0,0,0,0,0
04:18.7,0,0,0.3,0,0,0,0,0
04:18.8,0,0,0.31,0,0,0,0,0
04:19.1,0,0,0.31,0,0,0,0,0
04:19.2,0,0,0.3,0,0,0,0,0
04:19.4,0,0,0.31,0,0,0,0,0
04:19.5,0,0,0.31,0,0,0,0,0
04:19.6,0,0,0.3,0,0,0,0,0
04:19.7,0,0,0.32,0,0,0,0,0
04:19.8,0,0,0.31,0,0,0,0,0
04:20.1,0,0,0.31,0,0,0,0,0
04:20.2,0,0,0.3,0,0,0,0,0
04:20.3,0,0,0.3,0,0,0,0,0
04:20.5,0,0,0.3,0,0,0,0,0
04:20.6,0,0,0.31,0,0,0,0,0
04:20.8,0,0,0.3,0,0,0,0,0
04:20.8,0,0,0.3,0,0,0,0,0
04:20.9,0,0,0.32,0,0,0,0,0
04:21.0,0,0,0.3,0,0,0,0,0
04:21.2,0,0,0.31,0,0,0,0,0
04:21.2,0,0,0.3,0,0,0,0,0
04:21.3,0,0,0.3,0,0,0,0,0
04:21.6,0,0,0.3,0,0,0,0,0
04:21.7,0,0,0.31,0,0,0,0,0
04:21.8,0,0,0.3,0,0,0,0,0
04:21.9,0,0,0.3,0,0,0,0,0
04:22.0,0,0,0.31,0,0,0,0,0
04:22.1,0,0,0.31,0,0,0,0,0
04:22.2,8.9,15.3,0.78,0,0,0,0,0
04:22.3,14.8,15.1,0.81,0,0,0,0,0
04:22.5,15.1,15.3,0.79,5,0.3,0.141,0,0
04:22.6,14.9,14.9,0.77,11,0.3,0.013,0,0
04:22.7,14.8,15.2,0.79,14,0.3,0.008,0,0
04:22.8,14.9,15.3,0.77,18,0.3,0,0,0
04:23.0,14.8,14.8,0.76,26,0.5,0.039,0,0
04:23.1,15.1,14.8,0.77,35,0.7,0.061,0,0
04:23.2,15,14.8,0.78,41,0.8,0.066,0,0
04:23.3,15,15,0.78,50,0.9,0.026,0,0
04:23.5,14.8,14.8,0.78,73,1.2,0.035,0,0
04:23.7,15.1,15.1,0.79,99,1.4,0.079,0,0
04:23.8,15.1,15,0.78,109,1.5,0.008,0,0
04:24.0,14.9,14.9,0.76,129,1.6,0,0,0
04:24.2,15,14.8,0.78,143,1.7,0.026,0,0
04:24.2,14.8,15,0.78,150,1.9,0.057,0,0
04:24.3,14.9,14.9,0.77,160,1.9,0,0,0
04:24.4,15,14.8,0.77,167,1.9,0.008,0,0
04:24.6,14.9,14.5,0.76,192,2.1,0,0,0
04:24.9,14.8,14.7,0.78,224,2.5,0.022,0,0
04:25.0,14.8,14.8,0.75,231,2.5,0,0,0
04:25.5,34.2,33.6,1.83,303,3.3,0.03,0,0
04:25.8,34,33.8,1.84,362,4.4,0.066,0,0
04:25.9,34.2,33.9,1.83,384,4.4,0.008,0,0
04:26.0,33.7,33.7,1.81,404,4.4,0.004,0,0
04:26.7,33.8,33.7,1.82,568,6.3,0.075,0,0
04:26.9,34.3,34,1.82,626,6.9,0.128,0.03,0
04:27.0,33.8,35.1,1.84,656,7,0,0.13,0
04:27.1,34.3,34.4,1.86,672,6.9,0,0.22,0
04:27.9,33.8,33.9,1.83,905,9,0.079,1.02,0
04:28.0,33.7,33.9,1.9,925,9.5,0.261,1.1,0
04:28.1,34,33.7,1.81,951,9.1,0,1.2,0
04:28.1,34,33.9,1.82,975,9.9,0.261,1.29,0
04:28.2,33.8,33.7,1.81,1002,9.6,0.075,1.38,0
04:28.9,33.8,33.8,1.85,1150,10.9,0.088,2.07,0
04:29.0,34.1,33.6,1.86,1170,10.8,0.181,2.14,0
04:29.7,34,33.7,1.81,1257,11.2,0.181,2.83,0
04:29.9,33.8,33.6,1.81,1271,11.2,0.168,3,0
04:30.0,34.1,33.5,1.85,1282,10.8,0,3.12,0
04:30.7,33.9,34,1.85,1309,10.9,0.035,3.8,0
04:30.9,33.8,34.8,1.82,1310,10.7,0.017,4.01,0
04:31.0,34,33.8,1.85,1308,10.9,0.039,4.11,0
04:31.6,34,33.9,1.82,1288,10.6,0.022,4.72,0
04:31.7,34.4,34.5,1.81,1284,10.4,0,4.83,0
04:31.8,34.4,33.7,1.86,1280,10.5,0.008,4.92,0
04:31.9,34,33.9,1.84,1272,10.1,0,5.02,0
04:32.0,34,34.3,1.88,1269,10.4,0.079,5.11,0
04:32.1,34.2,34.7,1.82,1265,10.2,0,5.2,0
04:32.2,34.5,33.7,1.84,1261,10.3,0,5.3,0
04:32.7,33.9,33.8,1.82,1231,9.9,0,5.84,0
04:33.1,33.8,34,1.86,1212,9.6,0,6.2,0
04:33.3,33.7,34.3,1.89,1198,9.5,0,6.41,0
04:33.4,33.8,33.7,1.9,1194,9.7,0.097,6.5,0
04:33.5,34.1,34.2,1.82,1188,9.4,0,6.61,0
04:34.1,34.3,33.9,1.82,1165,9.4,0,7.23,0
04:34.3,34.2,34,1.81,1160,9.5,0,7.42,0
04:34.4,34.3,33.6,1.82,1157,9.7,0,7.52,0
04:35.4,34.1,33.8,1.82,1165,9.7,0,8.54,0
04:35.5,34.1,33.7,1.82,1169,9.9,0.026,8.64,0
04:35.6,33.8,33.8,1.82,1169,9.6,0,8.73,0
04:35.8,33.7,34.3,1.81,1173,9.6,0,8.92,0
04:35.9,34,33.7,1.85,1173,10.1,0.15,9.02,0
04:36.0,34.2,33.7,1.82,1176,9.6,0,9.12,0
04:36.1,34.2,34.1,1.82,1177,10.1,0.203,9.21,0
04:36.3,33.8,33.7,1.82,1180,10.1,0.177,9.42,0
04:36.8,33.9,34.2,1.86,1187,9.8,0,9.96,0
04:37.0,34,34.1,1.82,1191,9.8,0,10.16,0
04:37.1,34,33.6,1.88,1193,10.2,0.137,10.25,0
04:37.7,33.8,33.7,1.82,1201,9.9,0,10.78,0
