Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
17:14.6,0,0,0.29,0,0,0,0,0
17:15.0,0,0,0.3,0,0,0,0,0
17:15.1,0,0,0.3,0,0,0,0,0
17:15.2,0,0,0.29,0,0,0,0,0
17:15.3,0,0,0.29,0,0,0,0,0
17:15.4,0,0,0.29,0,0,0,0,0
17:15.5,0,0,0.3,0,0,0,0,0
17:15.6,0,0,0.29,0,0,0,0,0
17:15.8,0,0,0.29,0,0,0,0,0
17:15.8,0,0,0.29,0,0,0,0,0
17:15.9,0,0,0.29,0,0,0,0,0
17:16.3,0,0,0.29,0,0,0,0,0
17:16.4,0,0,0.29,0,0,0,0,0
17:16.5,0,0,0.29,0,0,0,0,0
17:16.6,0,0,0.29,0,0,0,0,0
17:16.7,0,0,0.29,0,0,0,0,0
17:16.8,0,0,0.29,0,0,0,0,0
17:17.1,0,0,0.3,0,0,0,0,0
17:17.2,0,0,0.29,0,0,0,0,0
17:17.3,0,0,0.29,0,0,0,0,0
17:17.5,0,0,0.29,0,0,0,0,0
17:17.6,0,0,0.29,0,0,0,0,0
17:17.7,0,0,0.29,0,0,0,0,0
17:17.8,0,0,0.29,0,0,0,0,0
17:17.9,0,0,0.29,0,0,0,0,0
17:18.0,0,0,0.29,0,0,0,0,0
17:18.1,0,0,0.29,0,0,0,0,0
17:18.2,0,0,0.29,0,0,0,0,0
17:18.5,0,0,0.29,0,0,0,0,0
17:18.6,0,0,0.29,0,0,0,0,0
17:18.7,0,0,0.29,0,0,0,0,0
17:18.8,0,0,0.29,0,0,0,0,0
17:18.9,0,0,0.29,0,0,0,0,0
17:19.0,0,0,0.29,0,0,0,0,0
17:19.5,0,0,0.29,0,0,0,0,0
17:19.6,0,0,0.3,0,0,0,0,0
17:19.7,0,0,0.29,0,0,0,0,0
17:20.0,0,0,0.29,0,0,0,0,0
17:20.1,0,0,0.29,0,0,0,0,0
17:20.4,0,0,0.3,0,0,0,0,0
17:20.5,0,0,0.29,0,0,0,0,0
17:20.6,0,0,0.29,0,0,0,0,0
17:20.8,0,14.9,0.77,0,0,0,0,0
17:20.9,14.5,15.7,0.77,0,0,0,0,0
17:21.0,15.1,14.8,0.8,0,0,0,0,0
17:21.4,15,15.1,0.76,24,0.3,0,0,0
17:22.0,15.1,15.1,0.76,59,1,0.048,0,0
17:22.3,14.7,14.6,0.76,104,1.6,0.035,0,0
17:23.0,14.8,14.8,0.76,213,2.6,0.013,0,0
17:23.1,14.6,14.3,0.77,228,2.8,0.097,0,0
17:23.4,34.1,34.5,1.84,283,3.5,0.035,0,0
17:23.6,33.8,33.8,1.9,325,3.7,0.039,0,0
17:24.2,34.1,33.8,1.82,488,5.8,0.088,0,0
17:24.5,33.9,33.8,1.83,560,6.5,0.185,0,0
17:24.6,33.8,34,1.82,593,6.8,0,0.08,0
17:24.7,33.9,33.7,1.83,621,6.6,0,0.18,0
17:24.8,34.2,33.6,1.85,662,7.7,0.208,0.29,0
17:24.9,33.9,33.8,1.88,695,7.4,0,0.4,0
17:25.9,33.7,33.6,1.82,977,9.6,0,1.32,0
17:26.1,34.1,34,1.81,1035,9.8,0,1.54,0
17:26.6,34.2,34.3,1.89,1148,11,0.092,2.05,0
17:26.7,34,35.1,1.81,1166,10.4,0,2.14,0
17:26.9,33.8,33.5,1.85,1198,10.6,0,2.34,0
17:27.0,34.2,33.7,1.83,1215,11.3,0.216,2.44,0
17:27.1,33.8,33.7,1.81,1227,10.8,0,2.54,0
17:27.2,34,33.9,1.81,1240,11.2,0.066,2.64,0
17:27.5,58.5,60.3,2.94,1280,11.5,0.243,2.99,0
17:27.9,59.2,59.4,3,1327,12.1,0.221,3.32,0
17:28.0,58.2,59.2,3.09,1340,12.3,0,3.45,0
17:30.2,58.5,60.5,3.02,1741,15.7,0,5.63,0
17:30.3,59.4,60.1,3.07,1760,15.2,0,5.73,0
17:30.5,59.9,59.9,3.08,1790,16.2,0.314,5.93,0
17:30.6,60,59.5,3.01,1809,16.4,0.199,6.05,0
17:30.7,59.5,60.8,3.01,1822,16.1,0.247,6.15,0
17:30.8,59.6,58.3,2.97,1836,15.5,0,6.26,0
17:31.2,59.3,59.7,3,1890,16.7,0.34,6.66,0
17:31.7,59,61.5,3.02,1944,16.7,0.11,7.1,0
17:31.9,59.7,59,3.02,1968,17,0.128,7.3,0
17:32.0,59.6,59.7,3,1977,17.2,0.115,7.4,0
17:32.5,59.5,58.8,3,2030,17.5,0,7.94,0
17:32.7,59.7,59.7,3.08,2047,17.7,0,8.16,0
17:32.8,59.4,58.8,2.98,2056,17.3,0.15,8.25,0
17:32.9,59.7,60.5,2.99,2061,17.5,0,8.34,0
17:33.2,59.2,61,2.98,2078,17.3,0,8.58,0
17:33.2,59.7,59,3.07,2085,17.8,0.216,8.66,0
17:33.3,59.4,58.8,2.95,2088,17.6,0,8.77,0
17:33.8,59.1,60.6,2.94,2096,17.8,0.287,9.24,0
17:34.1,58.3,59,2.97,2093,17.6,0,9.58,0
17:34.4,58.5,58.4,3.04,2092,17.5,0.057,9.8,0
17:34.8,58.3,59.1,3.03,2086,17.1,0.088,10.24,0
17:35.0,58.6,58.7,2.98,2084,17.3,0.017,10.44,0
17:35.1,58.4,59.8,3.03,2082,17.3,0.004,10.52,0
17:35.2,59.4,58.3,3.03,2082,17.4,0.035,10.62,0
17:35.3,58.5,60,2.95,2080,17,0,10.72,0
17:35.4,58.7,60,2.94,2079,17.2,0.168,10.82,0
17:35.5,58.9,58.1,2.95,2078,17.1,0.053,10.92,0
17:36.2,58.5,58.2,2.94,2066,16.9,0.044,11.64,0
17:36.4,58.6,59.7,2.95,2062,17.1,0,11.83,0
17:36.5,58.1,58.1,2.94,2056,17,0,11.92,0
17:37.2,58.6,59.2,2.94,2046,16.8,0.168,12.57,0
17:37.5,58.5,57.9,2.95,2038,17.2,0.349,12.89,0
17:37.6,59.3,57.9,2.95,2034,17.2,0,12.99,0
17:37.7,58.4,57.9,2.94,2030,17,0,13.1,0
17:37.8,58.4,58.2,2.95,2028,16.8,0,13.2,0
17:37.9,58.6,58.1,3.02,2027,16.5,0.106,13.3,0
17:38.2,59.4,59.4,3.01,2026,17,0.309,13.64,0
17:38.5,60.9,60.2,3.09,2032,16.7,0,13.95,0
