Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
10:22.8,0,0,0.3,0,0,0,0,0
10:23.4,0,0,0.29,0,0,0,0,0
10:23.6,0,0,0.29,0,0,0,0,0
10:23.7,0,0,0.29,0,0,0,0,0
10:23.8,0,0,0.29,0,0,0,0,0
10:24.0,0,0,0.29,0,0,0,0,0
10:24.2,0,0,0.3,0,0,0,0,0
10:24.3,0,0,0.3,0,0,0,0,0
10:24.3,0,0,0.3,0,0,0,0,0
10:24.7,0,0,0.3,0,0,0,0,0
10:24.8,0,0,0.29,0,0,0,0,0
10:25.0,0,0,0.3,0,0,0,0,0
10:25.2,0,0,0.3,0,0,0,0,0
10:25.2,0,0,0.29,0,0,0,0,0
10:25.3,0,0,0.31,0,0,0,0,0
10:25.4,0,0,0.29,0,0,0,0,0
10:25.5,0,0,0.3,0,0,0,0,0
10:25.7,0,0,0.29,0,0,0,0,0
10:25.8,0,0,0.29,0,0,0,0,0
10:26.1,0,0,0.3,0,0,0,0,0
10:26.2,0,0,0.31,0,0,0,0,0
10:26.3,0,0,0.3,0,0,0,0,0
10:26.4,0,0,0.29,0,0,0,0,0
10:26.9,0,0,0.3,0,0,0,0,0
10:27.0,0,0,0.31,0,0,0,0,0
10:27.1,0,0,0.3,0,0,0,0,0
10:27.2,0,0,0.3,0,0,0,0,0
10:27.3,0,0,0.29,0,0,0,0,0
10:27.4,0,0,0.29,0,0,0,0,0
10:27.5,0,0,0.29,0,0,0,0,0
10:27.6,0,0,0.3,0,0,0,0,0
10:27.8,0,0,0.3,0,0,0,0,0
10:27.9,0,0,0.29,0,0,0,0,0
10:28.2,0,0,0.29,0,0,0,0,0
10:28.3,0,0,0.3,0,0,0,0,0
10:28.4,0,0,0.3,0,0,0,0,0
10:28.5,0,0,0.3,0,0,0,0,0
10:28.7,0,0,0.31,0,0,0,0,0
10:28.9,0,0,0.29,0,0,0,0,0
10:29.0,0,0,0.29,0,0,0,0,0
10:29.1,0,0,0.3,0,0,0,0,0
10:29.2,0,0,0.29,0,0,0,0,0
10:29.3,0,0,0.3,0,0,0,0,0
10:29.4,11.4,14.9,0.8,0,0,0,0,0
10:29.5,14.9,14.9,0.77,0,0,0,0,0
10:30.0,15,14.9,0.76,18,0.2,0,0,0
10:30.3,14.8,15.1,0.76,21,0.2,0.004,0,0
10:30.4,15,14.7,0.77,22,0.2,0.013,0,0
10:30.9,14.8,14.9,0.79,46,0.8,0.106,0,0
10:31.1,14.8,15.1,0.78,62,1,0.017,0,0
10:31.1,14.9,14.5,0.77,69,1.2,0.075,0,0
10:31.2,14.8,14.7,0.76,79,1.3,0.03,0,0
10:31.3,14.7,14.6,0.77,92,1.5,0.039,0,0
10:31.6,14.8,14.5,0.77,142,2.2,0.017,0,0
10:31.8,15,14.6,0.76,177,2.5,0.008,0,0
10:31.9,14.8,15.1,0.79,193,2.6,0.03,0,0
10:32.5,14.6,14.5,0.75,288,3.3,0.044,0,0
10:32.6,26.1,33.9,1.86,304,3.5,0.026,0,0
10:32.8,34.4,34.9,1.82,340,3.7,0.07,0,0
10:32.9,34.1,33.7,1.82,357,4.1,0.092,0,0
10:33.0,34.2,33.5,1.82,371,4.4,0.079,0,0
10:33.1,33.8,34,1.82,399,4.5,0.057,0,0
10:33.2,33.8,33.7,1.83,417,4.4,0,0,0
10:33.3,33.8,33.7,1.82,436,4.8,0.07,0,0
10:33.4,33.9,33.7,1.88,459,5.4,0.172,0,0
10:33.8,34.1,34.4,1.81,551,6.4,0.208,0,0
10:34.7,33.8,34,1.81,814,8.6,0.239,0.64,0
10:34.7,33.9,33.7,1.83,832,8.3,0,0.72,0
10:34.9,49.8,57.8,2.95,868,9.2,0.199,0.82,0
10:35.4,58.5,58.6,2.96,1023,9.4,0,1.37,0
10:35.6,58.3,58.1,2.93,1076,9.8,0,1.58,0
10:36.4,58.1,58.3,3.03,1272,12.1,0.234,2.34,0
10:36.6,60.3,60,3.05,1332,12.8,0.624,2.56,0
10:37.1,59.7,57.9,2.94,1446,12.8,0.389,3.07,0
10:37.7,59.6,58.9,2.94,1564,13.8,0.473,3.66,0
10:38.2,60.6,59.5,2.98,1649,15.2,0.442,4.18,0
10:38.5,59.7,59.2,2.95,1704,15.2,0.491,4.48,0
10:38.6,58.8,59.8,3,1708,15.5,0.451,4.57,0
10:38.8,60.4,59.4,2.98,1741,15.8,0.269,4.74,0
10:38.9,59.8,59.7,3.01,1748,15.7,0.154,4.84,0
10:39.6,59.8,59,3,1836,15.6,0,5.61,0
10:39.8,59.7,60.7,3,1848,16.3,0,5.74,0
10:39.9,59.5,58.3,2.97,1860,15.6,0.252,5.82,0
10:40.2,59.1,60.1,3.03,1885,16.3,0,6.13,0
10:40.9,59.8,59.1,2.99,1944,16.5,0,6.84,0
10:41.1,59.8,58.5,3.06,1960,16.7,0.309,7.04,0
10:41.2,59.6,59.7,3,1965,16.9,0.23,7.14,0
10:41.3,59.7,59.5,3.03,1971,17.1,0,7.24,0
10:41.7,59.6,60,3.01,1998,17,0.004,7.62,0
10:41.8,60,59.5,3.01,2006,17.5,0.137,7.73,0
10:42.2,60.3,59.3,3.02,2029,17.5,0,8.18,0
10:42.4,59.8,59.4,2.98,2037,17.2,0,8.33,0
10:42.5,59,61.1,3,2044,17,0,8.47,0
10:42.6,60.6,59.1,3,2049,17.2,0.212,8.57,0
10:42.7,59.6,59.4,2.99,2049,17.5,0.203,8.66,0
10:43.1,59.3,59.2,2.98,2061,17.3,0.004,9.03,0
10:43.3,58.5,60.8,2.98,2070,17.6,0,9.21,0
10:43.8,58.7,57.8,2.94,2088,17.3,0,9.76,0
10:43.9,58.7,57.8,2.95,2090,17.4,0.061,9.86,0
10:44.0,58.8,58.2,2.98,2090,17.6,0.163,9.96,0
10:44.4,58.4,58.1,2.98,2081,17.2,0.088,10.39,0
10:44.8,58.1,57.8,2.93,2069,16.9,0,10.73,0
10:45.0,58,59.7,2.99,2064,16.7,0.097,10.92,0
10:45.1,58.6,58,2.93,2060,17.1,0,11.02,0
10:45.3,58,57.8,2.94,2049,17.2,0.314,11.22,0
10:45.9,58.4,59,2.94,2033,16.9,0,11.8,0
10:45.9,58.7,57.6,2.94,2031,16.6,0,11.88,0
10:46.0,58.4,60.2,2.96,2031,17.1,0.119,11.96,0
10:46.1,57.9,57.7,2.98,2027,16.9,0.044,12.06,0
10:46.2,58.2,58.6,3.04,2025,16.8,0,12.16,0
10:46.6,60.5,61.3,2.99,2025,16.5,0,12.5,0
10:46.9,59.9,59.2,3.04,2021,17,0,12.79,0
10:47.0,59.5,59.5,2.98,2024,17.2,0,12.92,0
10:47.1,59.7,59.5,3,2026,16.9,0,13.01,0
10:48.1,59.9,59.2,3.01,2067,17.3,0,14.04,0
10:48.2,59.3,58.8,3.01,2069,17.3,0.079,14.13,0
10:48.3,59.5,59.8,2.99,2072,17.4,0.017,14.23,0
10:48.4,59.8,59.2,3.01,2073,17.7,0.035,14.33,0
10:48.9,60.1,60.1,3,2087,17.7,0,14.8,0
10:49.3,60.1,60,3,2093,17.5,0,15.2,0
10:49.5,59.7,60.6,3.06,2097,17.4,0.044,15.42,0
10:50.1,58.6,57.8,2.95,2105,17.8,0,16.04,0
10:50.3,58.4,57.8,2.93,2104,17.7,0.23,16.18,0
10:50.4,58.5,58.8,2.93,2101,17.2,0.19,16.32,0
10:50.5,58.4,57.8,2.93,2099,17.7,0.292,16.41,0
10:50.6,58.4,57.9,3.03,2096,17.3,0,16.5,0
10:50.9,58,58.8,2.94,2089,17.3,0.057,16.79,0
10:51.1,58.1,58.3,2.99,2078,16.8,0,17.07,0
10:51.4,58.5,58.1,2.98,2072,16.7,0,17.3,0
10:51.5,58.3,59.6,2.94,2071,16.8,0.278,17.39,0
10:52.5,58.5,59.6,3.03,2041,17.2,0.061,18.41,0
10:52.6,58.4,57.8,2.94,2040,17.2,0.172,18.52,0
10:52.8,58.3,57.9,2.95,2039,16.7,0,18.7,0
