Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
29:43.3,0,0,0.3,0,0,0,0,0
29:43.6,0,0,0.3,0,0,0,0,0
29:43.6,0,0,0.3,0,0,0,0,0
29:43.8,0,0,0.3,0,0,0,0,0
29:43.9,0,0,0.3,0,0,0,0,0
29:44.0,0,0,0.3,0,0,0,0,0
29:44.1,0,0,0.3,0,0,0,0,0
29:44.2,0,0,0.3,0,0,0,0,0
29:44.3,0,0,0.31,0,0,0,0,0
29:44.4,0,0,0.3,0,0,0,0,0
29:44.6,0,0,0.3,0,0,0,0,0
29:44.6,0,0,0.3,0,0,0,0,0
29:44.7,0,0,0.3,0,0,0,0,0
29:44.8,0,0,0.3,0,0,0,0,0
29:44.9,0,0,0.3,0,0,0,0,0
29:45.0,0,0,0.3,0,0,0,0,0
29:45.1,0,0,0.3,0,0,0,0,0
29:45.3,0,0,0.3,0,0,0,0,0
29:45.4,0,0,0.3,0,0,0,0,0
29:45.5,0,0,0.3,0,0,0,0,0
29:45.6,0,0,0.3,0,0,0,0,0
29:45.7,0,0,0.3,0,0,0,0,0
29:46.0,0,0,0.3,0,0,0,0,0
29:46.1,0,0,0.3,0,0,0,0,0
29:46.2,0,0,0.3,0,0,0,0,0
29:46.3,0,0,0.3,0,0,0,0,0
29:46.4,0,0,0.3,0,0,0,0,0
29:46.5,0,0,0.3,0,0,0,0,0
29:46.6,0,0,0.3,0,0,0,0,0
29:46.7,0,0,0.3,0,0,0,0,0
29:46.9,0,0,0.3,0,0,0,0,0
29:46.9,0,0,0.3,0,0,0,0,0
29:47.2,0,0,0.3,0,0,0,0,0
29:47.2,0,0,0.3,0,0,0,0,0
29:47.3,0,0,0.3,0,0,0,0,0
29:47.5,0,0,0.3,0,0,0,0,0
29:47.6,0,0,0.3,0,0,0,0,0
