Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
32:28.9,0,0,0.29,0,0,0,0,0
32:29.0,0,0,0.29,0,0,0,0,0
32:29.1,0,0,0.29,0,0,0,0,0
32:29.2,0,0,0.29,0,0,0,0,0
32:29.4,0,0,0.29,0,0,0,0,0
32:29.7,0,0,0.29,0,0,0,0,0
32:29.8,0,0,0.29,0,0,0,0,0
32:29.9,0,0,0.29,0,0,0,0,0
32:30.0,0,0,0.29,0,0,0,0,0
32:30.1,0,0,0.3,0,0,0,0,0
32:30.2,0,0,0.29,0,0,0,0,0
32:30.3,0,0,0.29,0,0,0,0,0
32:30.4,0,0,0.29,0,0,0,0,0
32:30.5,0,0,0.29,0,0,0,0,0
32:30.7,0,0,0.29,0,0,0,0,0
32:30.7,0,0,0.3,0,0,0,0,0
32:30.8,0,0,0.29,0,0,0,0,0
32:30.9,0,0,0.29,0,0,0,0,0
32:31.3,0,0,0.29,0,0,0,0,0
32:31.3,0,0,0.29,0,0,0,0,0
32:31.4,0,0,0.29,0,0,0,0,0
32:31.5,0,0,0.29,0,0,0,0,0
32:31.6,0,0,0.29,0,0,0,0,0
32:31.7,0,0,0.29,0,0,0,0,0
32:31.8,0,0,0.29,0,0,0,0,0
32:32.0,0,0,0.29,0,0,0,0,0
32:32.1,0,0,0.29,0,0,0,0,0
32:32.2,0,0,0.29,0,0,0,0,0
32:32.3,0,0,0.3,0,0,0,0,0
32:32.5,0,0,0.29,0,0,0,0,0
32:32.6,0,0,0.29,0,0,0,0,0
32:32.8,0,0,0.3,0,0,0,0,0
32:32.9,0,0,0.29,0,0,0,0,0
32:33.0,0,0,0.29,0,0,0,0,0
32:33.0,0,0,0.29,0,0,0,0,0
32:33.2,0,0,0.29,0,0,0,0,0
32:33.3,0,0,0.29,0,0,0,0,0
32:33.4,0,0,0.29,0,0,0,0,0
32:33.5,0,0,0.3,0,0,0,0,0
32:33.7,0,0,0.29,0,0,0,0,0
32:33.8,0,0,0.29,0,0,0,0,0
32:33.8,0,0,0.29,0,0,0,0,0
32:34.0,0,0,0.3,0,0,0,0,0
32:34.1,0,0,0.29,0,0,0,0,0
32:34.2,0,0,0.29,0,0,0,0,0
32:34.3,0,0,0.29,0,0,0,0,0
32:34.4,0,0,0.29,0,0,0,0,0
32:34.5,0,0,0.29,0,0,0,0,0
32:34.7,0,0,0.29,0,0,0,0,0
32:34.8,0,0,0.29,0,0,0,0,0
32:34.9,0,0,0.3,0,0,0,0,0
32:35.0,0,0,0.29,0,0,0,0,0
32:35.2,0,0,0.29,0,0,0,0,0
32:35.3,0,0,0.29,0,0,0,0,0
32:35.4,0,0,0.29,0,0,0,0,0
32:35.5,0,0,0.3,0,0,0,0,0
32:35.6,0,0,0.29,0,0,0,0,0
32:35.7,0,0,0.3,0,0,0,0,0
32:35.8,0,0,0.29,0,0,0,0,0
32:35.9,0,0,0.3,0,0,0,0,0
32:36.1,0,0,0.29,0,0,0,0,0
32:36.2,0,0,0.29,0,0,0,0,0
32:36.3,0,0,0.29,0,0,0,0,0
32:36.3,0,0,0.29,0,0,0,0,0
32:36.5,0,0,0.3,0,0,0,0,0
32:36.6,0,0,0.31,0,0,0,0,0
32:36.8,0,0,0.3,0,0,0,0,0
32:36.9,0,0,0.3,0,0,0,0,0
32:37.0,0,18.7,1.26,0,0,0,0,0
32:37.1,22.5,24,1.3,0,0,0,0,0
32:37.2,23.8,23.3,1.26,0,0,0,0,0
32:37.4,23.7,23.9,1.26,18,0.4,0,0,0
32:37.5,23.8,23.5,1.3,22,0.3,0,0,0
32:37.6,24,24.1,1.24,25,0.3,0.017,0,0
32:37.7,23.9,23.7,1.27,28,0.4,0.008,0,0
32:37.8,24.2,23.7,1.3,33,0.5,0.013,0,0
32:37.9,24.4,24,1.29,39,0.7,0.048,0,0
32:38.5,23.8,23.9,1.27,109,1.9,0.035,0,0
32:38.7,24.2,24.1,1.28,143,2.4,0.15,0,0
32:38.8,24.2,24.5,1.27,164,2.6,0.079,0,0
32:39.3,23.7,24.4,1.26,299,4.1,0.084,0,0
32:39.4,23.8,23.7,1.32,325,4.2,0.057,0,0
32:39.5,24,24.1,1.26,351,4.3,0.013,0,0
32:39.6,24,23.8,1.26,374,4.6,0.084,0,0
32:39.7,24,23.6,1.27,407,5,0.066,0,0
32:40.2,24.1,23.5,1.26,541,5.9,0.057,0,0
32:40.3,23.7,23.8,1.25,563,5.8,0,0,0
32:40.4,23.6,24.2,1.32,583,6.1,0.048,0,0
32:40.5,23.7,24.7,1.26,606,6.5,0.053,0,0
32:40.6,23.9,23.6,1.27,629,6.4,0.026,0,0
32:40.7,24,24.3,1.26,648,6.4,0.004,0,0
