Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
36:43.4,0,0,0.3,0,0,0,0,0
36:43.9,0,0,0.29,0,0,0,0,0
36:44.1,0,0,0.31,0,0,0,0,0
36:44.1,0,0,0.31,0,0,0,0,0
36:44.4,0,0,0.3,0,0,0,0,0
36:44.5,0,0,0.29,0,0,0,0,0
36:44.5,0,0,0.31,0,0,0,0,0
36:44.6,0,0,0.3,0,0,0,0,0
36:44.9,0,0,0.3,0,0,0,0,0
36:45.0,0,0,0.3,0,0,0,0,0
36:45.2,0,0,0.3,0,0,0,0,0
36:45.2,0,0,0.3,0,0,0,0,0
36:45.3,0,0,0.31,0,0,0,0,0
36:45.5,0,0,0.3,0,0,0,0,0
36:45.8,0,0,0.3,0,0,0,0,0
36:45.8,0,0,0.3,0,0,0,0,0
36:46.0,0,0,0.29,0,0,0,0,0
36:46.1,0,0,0.3,0,0,0,0,0
36:46.2,0,0,0.3,0,0,0,0,0
36:46.3,0,0,0.3,0,0,0,0,0
36:46.5,0,0,0.3,0,0,0,0,0
36:46.5,0,0,0.31,0,0,0,0,0
36:46.6,0,0,0.31,0,0,0,0,0
36:46.7,0,0,0.3,0,0,0,0,0
36:47.0,0,0,0.3,0,0,0,0,0
36:47.1,0,0,0.31,0,0,0,0,0
36:47.2,0,0,0.3,0,0,0,0,0
36:47.4,0,0,0.31,0,0,0,0,0
36:47.5,0,0,0.31,0,0,0,0,0
36:47.7,0,0,0.3,0,0,0,0,0
36:47.7,0,0,0.31,0,0,0,0,0
36:47.9,0,0,0.3,0,0,0,0,0
36:48.0,0,0,0.3,0,0,0,0,0
36:48.1,0,0,0.3,0,0,0,0,0
36:48.2,0,0,0.3,0,0,0,0,0
36:48.3,0,0,0.3,0,0,0,0,0
36:48.6,0,0,0.31,0,0,0,0,0
36:48.6,0,0,0.3,0,0,0,0,0
36:48.8,0,0,0.3,0,0,0,0,0
36:48.8,0,0,0.3,0,0,0,0,0
36:48.9,0,0,0.3,0,0,0,0,0
36:49.0,0,0,0.3,0,0,0,0,0
36:49.2,0,0,0.3,0,0,0,0,0
36:49.3,0,0,0.31,0,0,0,0,0
36:49.4,0,0,0.31,0,0,0,0,0
36:49.5,0,0,0.3,0,0,0,0,0
