Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
47:03.2,0,0,0.3,0,0,0,0,0
47:03.6,0,0,0.29,0,0,0,0,0
47:03.7,0,0,0.29,0,0,0,0,0
47:03.8,0,0,0.31,0,0,0,0,0
47:04.0,0,0,0.3,0,0,0,0,0
47:04.1,0,0,0.3,0,0,0,0,0
47:04.2,0,0,0.31,0,0,0,0,0
47:04.2,0,0,0.3,0,0,0,0,0
47:04.4,0,0,0.3,0,0,0,0,0
47:04.5,0,0,0.29,0,0,0,0,0
47:04.6,0,0,0.3,0,0,0,0,0
47:04.7,0,0,0.3,0,0,0,0,0
47:04.8,0,0,0.3,0,0,0,0,0
47:04.9,0,0,0.3,0,0,0,0,0
47:05.3,0,0,0.29,0,0,0,0,0
47:05.4,0,0,0.29,0,0,0,0,0
47:05.7,0,0,0.3,0,0,0,0,0
47:05.9,0,0,0.3,0,0,0,0,0
47:06.0,0,0,0.29,0,0,0,0,0
47:06.2,0,0,0.29,0,0,0,0,0
47:06.3,0,0,0.3,0,0,0,0,0
47:06.4,0,0,0.3,0,0,0,0,0
47:06.5,0,0,0.3,0,0,0,0,0
47:06.8,0,0,0.29,0,0,0,0,0
47:06.8,0,0,0.3,0,0,0,0,0
47:07.0,0,0,0.3,0,0,0,0,0
47:07.1,0,0,0.31,0,0,0,0,0
47:07.2,0,0,0.29,0,0,0,0,0
47:07.3,0,0,0.3,0,0,0,0,0
47:07.5,0,0,0.3,0,0,0,0,0
47:07.5,0,0,0.3,0,0,0,0,0
47:07.6,0,0,0.3,0,0,0,0,0
47:07.7,0,0,0.3,0,0,0,0,0
47:08.0,0,0,0.3,0,0,0,0,0
47:08.1,0,0,0.3,0,0,0,0,0
47:08.2,0,0,0.3,0,0,0,0,0
47:08.3,0,0,0.29,0,0,0,0,0
47:08.4,0,0,0.31,0,0,0,0,0
47:08.5,0,0,0.3,0,0,0,0,0
47:08.6,0,0,0.3,0,0,0,0,0
47:08.7,0,0,0.3,0,0,0,0,0
47:08.9,0,0,0.29,0,0,0,0,0
47:09.0,0,0,0.3,0,0,0,0,0
47:09.1,0,0,0.31,0,0,0,0,0
47:09.2,0,0,0.3,0,0,0,0,0
47:09.3,0,0,0.3,0,0,0,0,0
47:09.5,0,0,0.29,0,0,0,0,0
47:09.6,0,0,0.3,0,0,0,0,0
47:09.7,0,0,0.3,0,0,0,0,0
47:09.8,0,0,0.3,0,0,0,0,0
47:10.0,0,0,0.3,0,0,0,0,0
47:10.1,0,0,0.29,0,0,0,0,0
47:10.3,0,0,0.29,0,0,0,0,0
47:10.4,0,0,0.3,0,0,0,0,0
47:10.5,0,0,0.3,0,0,0,0,0
47:10.6,0,0,0.3,0,0,0,0,0
47:10.7,0,0,0.29,0,0,0,0,0
47:10.9,0,0,0.3,0,0,0,0,0
47:11.0,0,0,0.29,0,0,0,0,0
47:11.1,0,0,0.29,0,0,0,0,0
47:11.2,0,0,0.31,0,0,0,0,0
47:11.3,0,0,0.3,0,0,0,0,0
47:11.4,0,0,0.31,0,0,0,0,0
47:11.6,0,0,0.3,0,0,0,0,0
47:11.7,0,0,0.31,0,0,0,0,0
47:11.8,0,0,0.31,0,0,0,0,0
47:11.9,0,0,0.31,0,0,0,0,0
47:12.0,0,0,0.31,0,0,0,0,0
47:12.2,0,0,0.31,0,0,0,0,0
47:12.3,0,0,0.31,0,0,0,0,0
47:12.4,0,0,0.31,0,0,0,0,0
47:12.6,42.6,43,2.36,0,0,0,0,0
47:12.8,43.7,44.1,2.38,5,1,0.292,0,0
47:13.0,45.2,44.9,2.44,30,0.5,0,0,0
47:13.1,45.2,44.8,2.4,36,0.6,0.039,0,0
47:13.4,44.6,44.3,2.48,54,1.1,0.079,0,0
47:13.5,44.5,44.3,2.39,70,1.3,0.07,0,0
47:13.6,44.3,44.7,2.46,93,1.6,0.057,0,0
47:13.7,44.3,44.7,2.42,109,1.8,0.092,0,0
47:14.3,44.3,44.6,2.47,226,3.4,0.132,0,0
47:14.4,44.4,43.9,2.38,252,3.6,0.066,0,0
47:14.5,44.5,43.9,2.43,279,3.7,0.017,0,0
47:14.6,44.4,43.8,2.4,302,3.9,0.008,0,0
47:14.7,44.2,44.2,2.47,326,4.3,0.119,0,0
47:14.8,44.2,44,2.45,353,4.7,0.199,0,0
47:15.3,44.2,43.8,2.38,496,5.7,0.119,0,0
47:15.9,44.8,44.8,2.43,659,7,0.092,0.1,0
47:16.0,44.4,45.4,2.39,684,6.9,0,0.21,0
47:16.1,44.9,45.1,2.41,706,7.5,0.128,0.31,0
47:16.2,44,45.3,2.42,745,7.8,0.061,0.42,0
47:16.3,44.2,43.9,2.41,758,7.5,0,0.5,0
47:16.4,44.3,44,2.38,783,8.1,0.026,0.6,0
47:16.9,44.3,44.8,2.38,924,9.3,0.097,1.12,0
47:17.4,44.5,45.2,2.44,1047,9.7,0,1.65,0
47:17.5,44.7,43.9,2.43,1083,10.6,0.19,1.76,0
47:17.6,44.6,44.4,2.42,1095,10.4,0,1.84,0
47:17.7,44.6,44.6,2.42,1123,11.1,0.137,1.94,0
47:17.8,44.2,44,2.42,1145,10.4,0,2.03,0
47:17.9,44.9,45.3,2.46,1173,11.4,0.004,2.14,0
47:18.0,44.3,43.9,2.44,1201,11.6,0,2.24,0
47:18.7,44.4,44,2.4,1355,12.3,0,2.88,0
47:18.8,45.1,46.9,2.44,1373,13.1,0.239,2.97,0
47:18.9,45.7,45.1,2.43,1408,13.5,0.495,3.12,0
47:19.4,45.8,45,2.41,1531,13.7,0,3.61,0
47:19.6,46,45.6,2.44,1558,14,0.039,3.75,0
47:19.6,45.4,46,2.45,1577,14.5,0.004,3.85,0
47:19.8,45.3,44.6,2.44,1594,14.4,0,3.96,0
47:19.9,44.9,45.4,2.43,1615,14.2,0,4.05,0
47:20.1,44.9,44.2,2.39,1661,14.6,0.017,4.33,0
47:20.4,44.8,45.4,2.42,1692,14.6,0.141,4.6,0
47:20.5,44.9,45,2.39,1705,14.8,0.101,4.7,0
47:21.2,44.8,44.2,2.39,1727,14.4,0.092,5.4,0
47:21.3,44.8,45.4,2.46,1726,14.3,0,5.49,0
47:21.4,44.7,45,2.43,1726,14.2,0,5.59,0
47:21.5,45.1,44.9,2.48,1721,14.1,0,5.7,0
47:21.6,44.6,45.4,2.43,1717,14,0,5.8,0
47:21.7,44.7,45.5,2.45,1712,14.1,0.004,5.92,0
47:22.5,44.5,44.2,2.44,1684,13.8,0,6.66,0
47:22.6,45.1,44.1,2.39,1678,13.6,0,6.75,0
47:22.7,45.2,45,2.46,1673,13.7,0.026,6.85,0
47:22.8,44.4,44.1,2.43,1666,13.6,0,6.98,0
47:22.9,44.6,44.1,2.4,1658,13.5,0,7.09,0
47:23.6,44.8,44.5,2.5,1603,12.8,0.039,7.79,0
47:24.1,44.6,45.2,2.48,1562,12.6,0.008,8.28,0
47:24.2,45,44,2.48,1554,12.7,0.03,8.4,0
47:24.3,45,45.4,2.39,1547,12.4,0,8.5,0
47:24.4,44.6,44.4,2.37,1541,12.4,0.079,8.58,0
47:24.5,44.3,43.9,2.4,1533,12.4,0.079,8.66,0
47:25.0,44.9,44.5,2.38,1507,12.2,0,9.12,0
47:25.1,44.2,44.5,2.44,1502,12.2,0.004,9.24,0
47:25.2,44.5,43.9,2.38,1497,12.2,0,9.33,0
47:25.3,44.5,44.5,2.37,1494,12.1,0,9.43,0
47:25.4,44.4,45,2.42,1489,12.4,0,9.54,0
47:25.5,44.2,43.7,2.38,1486,12,0,9.64,0
47:26.0,44.7,44.6,2.46,1484,12.7,0.203,10.2,0
47:26.1,44.9,43.9,2.38,1486,12.2,0,10.29,0
47:26.2,44.7,43.8,2.37,1488,12.7,0.132,10.38,0
47:26.3,44.1,45.2,2.44,1490,12.7,0,10.5,0
47:26.6,44.5,45.3,2.39,1498,12.6,0.008,10.78,0
47:26.7,44.6,45.2,2.37,1503,12.8,0.092,10.85,0
47:26.8,44.3,43.7,2.38,1503,12.5,0,10.91,0
47:27.2,44.2,43.9,2.41,1519,12.9,0.199,11.32,0
