Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
50:58.7,0,0,0.29,0,0,0,0,0
50:58.8,0,0,0.29,0,0,0,0,0
50:59.1,0,0,0.29,0,0,0,0,0
50:59.2,0,0,0.29,0,0,0,0,0
50:59.3,0,0,0.29,0,0,0,0,0
50:59.4,0,0,0.3,0,0,0,0,0
50:59.6,0,0,0.3,0,0,0,0,0
50:59.7,0,0,0.29,0,0,0,0,0
50:59.8,0,0,0.29,0,0,0,0,0
51:00.2,0,0,0.3,0,0,0,0,0
51:00.4,0,0,0.3,0,0,0,0,0
51:00.5,0,0,0.3,0,0,0,0,0
51:00.7,0,0,0.29,0,0,0,0,0
51:00.8,0,0,0.29,0,0,0,0,0
51:00.9,0,0,0.31,0,0,0,0,0
51:01.0,0,0,0.29,0,0,0,0,0
51:01.3,0,0,0.29,0,0,0,0,0
51:01.4,0,0,0.29,0,0,0,0,0
51:01.5,0,0,0.3,0,0,0,0,0
51:01.7,0,0,0.3,0,0,0,0,0
51:01.8,0,0,0.3,0,0,0,0,0
51:01.9,0,0,0.29,0,0,0,0,0
51:02.2,0,0,0.29,0,0,0,0,0
51:02.3,0,0,0.29,0,0,0,0,0
51:02.4,0,0,0.29,0,0,0,0,0
51:02.6,0,0,0.3,0,0,0,0,0
51:02.7,0,0,0.29,0,0,0,0,0
51:02.8,0,0,0.3,0,0,0,0,0
51:02.9,0,0,0.29,0,0,0,0,0
51:03.0,0,0,0.29,0,0,0,0,0
51:03.1,0,0,0.3,0,0,0,0,0
51:03.3,0,0,0.3,0,0,0,0,0
51:03.3,0,0,0.29,0,0,0,0,0
51:03.5,0,0,0.29,0,0,0,0,0
51:03.5,0,0,0.29,0,0,0,0,0
51:03.8,0,0,0.29,0,0,0,0,0
51:03.9,0,0,0.29,0,0,0,0,0
51:04.1,0,0,0.29,0,0,0,0,0
51:04.2,0,0,0.29,0,0,0,0,0
51:04.3,0,0,0.29,0,0,0,0,0
51:04.4,0,0,0.29,0,0,0,0,0
51:04.6,0,0,0.31,0,0,0,0,0
51:04.7,0,0,0.3,0,0,0,0,0
51:04.8,0,0,2.08,0,0,0,0,0
51:05.0,57.1,58.6,2.94,3,0.9,0,0,0
51:05.1,58.6,58.8,2.97,21,1,0,0,0
51:05.2,58.6,60.8,3.02,30,0.5,0,0,0
51:05.3,59.1,58.1,2.98,39,0.8,0.115,0,0
51:05.4,59.4,58.4,3.05,47,0.9,0.061,0,0
51:05.5,58.7,58.5,2.97,56,0.9,0.039,0,0
51:06.0,58.7,58.3,2.95,126,2.2,0.053,0,0
51:06.1,59.1,58.5,2.96,146,2.5,0.141,0,0
51:06.3,58.8,58.4,2.95,190,2.9,0.084,0,0
51:06.4,58.9,58.1,2.95,212,3,0.044,0,0
51:06.5,58.6,59.1,3.01,233,3.1,0.008,0,0
51:06.8,58.7,58.7,2.96,279,3.4,0.07,0,0
51:07.0,58.8,58.1,2.95,335,3.9,0.017,0,0
51:07.1,58.9,58.7,2.95,362,3.9,0,0,0
51:07.3,59.1,58.1,2.95,401,4.7,0.216,0,0
51:07.4,58.7,58,2.97,424,5,0.146,0,0
51:07.5,58.4,58,2.97,446,5,0,0,0
51:07.8,59.1,59.1,2.96,524,5.9,0.097,0,0
51:08.1,58.6,59.5,2.95,594,6.5,0.075,0,0
51:08.9,58.2,57.9,2.95,775,7.9,0,0.54,0
51:09.0,58.5,58.2,2.96,812,8.2,0,0.64,0
51:09.2,58.2,58.1,2.95,860,8.9,0.305,0.84,0
51:09.3,58.3,58.2,2.95,884,8.4,0,0.95,0
51:09.4,58.6,58.1,2.94,905,9.3,0.252,1.05,0
51:09.5,58.5,57.9,2.95,943,9.2,0,1.16,0
51:10.1,58.2,58,3.03,1093,10.8,0.208,1.73,0
51:10.2,58.3,58.1,2.95,1110,10.9,0.407,1.85,0
51:10.3,58.8,58.2,2.98,1149,10.5,0.252,1.96,0
51:10.4,58.3,58.4,2.94,1170,11.4,0.371,2.06,0
51:10.5,59,58,2.98,1193,10.8,0,2.17,0
51:10.6,58.6,58.8,2.99,1215,12.4,0.562,2.26,0
51:11.3,59.6,59.9,3.03,1375,13.2,0.508,2.95,0
51:11.6,59.3,59.8,3.02,1422,13.5,0.137,3.23,0
