Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
53:34.1,0,0,0.32,0,0,0,0,0
53:34.5,0,0,0.33,0,0,0,0,0
53:34.8,0,0,0.32,0,0,0,0,0
53:35.2,0,0,0.33,0,0,0,0,0
53:35.4,0,0,0.33,0,0,0,0,0
53:35.5,0,0,0.32,0,0,0,0,0
53:35.7,0,0,0.32,0,0,0,0,0
53:35.8,0,0,0.32,0,0,0,0,0
53:35.9,0,0,0.33,0,0,0,0,0
53:36.0,0,0,0.32,0,0,0,0,0
53:36.1,0,0,0.32,0,0,0,0,0
53:36.3,0,0,0.32,0,0,0,0,0
53:36.4,0,0,0.32,0,0,0,0,0
53:36.7,0,0,0.33,0,0,0,0,0
53:36.8,0,0,0.32,0,0,0,0,0
53:36.9,0,0,0.32,0,0,0,0,0
53:37.0,0,0,0.32,0,0,0,0,0
53:37.1,0,0,0.33,0,0,0,0,0
53:37.3,0,0,0.32,0,0,0,0,0
53:37.4,0,0,0.33,0,0,0,0,0
53:37.7,0,0,0.32,0,0,0,0,0
53:37.8,0,0,0.33,0,0,0,0,0
53:37.8,0,0,0.33,0,0,0,0,0
53:37.9,0,0,0.33,0,0,0,0,0
53:38.1,0,0,0.33,0,0,0,0,0
53:38.1,0,0,0.33,0,0,0,0,0
53:38.3,0,0,0.33,0,0,0,0,0
53:38.4,0,0,0.32,0,0,0,0,0
53:38.5,0,0,0.32,0,0,0,0,0
53:38.6,0,0,0.32,0,0,0,0,0
53:38.7,0,0,0.33,0,0,0,0,0
53:38.8,0,0,0.33,0,0,0,0,0
53:38.9,0,0,0.33,0,0,0,0,0
53:39.0,0,0,0.32,0,0,0,0,0
53:39.1,0,0,0.32,0,0,0,0,0
53:39.2,0,0,0.32,0,0,0,0,0
53:39.4,0,0,0.32,0,0,0,0,0
53:39.4,0,0,0.33,0,0,0,0,0
53:39.6,0,0,0.33,0,0,0,0,0
53:39.7,0,0,0.33,0,0,0,0,0
53:39.8,0,0,0.33,0,0,0,0,0
53:39.9,0,0,0.33,0,0,0,0,0
53:40.0,0,0,0.32,0,0,0,0,0
53:40.1,0,0,0.32,0,0,0,0,0
53:40.3,0,0,0.33,0,0,0,0,0
53:40.4,0,0,0.33,0,0,0,0,0
53:40.6,0,0,0.32,0,0,0,0,0
53:40.7,0,0,0.33,0,0,0,0,0
53:40.8,0,0,0.33,0,0,0,0,0
53:40.9,0,0,0.33,0,0,0,0,0
53:41.0,0,0,0.33,0,0,0,0,0
53:41.1,0,0,0.32,0,0,0,0,0
53:41.2,0,0,0.33,0,0,0,0,0
53:41.3,0,0,0.33,0,0,0,0,0
53:41.4,0,0,0.33,0,0,0,0,0
53:41.5,0,0,0.33,0,0,0,0,0
53:41.7,0,0,0.34,0,0,0,0,0
53:41.8,0,0,0.33,0,0,0,0,0
53:41.9,0,0,0.33,0,0,0,0,0
53:42.1,0,0,0.33,0,0,0,0,0
53:42.1,0,0,0.33,0,0,0,0,0
53:42.2,0,0,0.33,0,0,0,0,0
53:42.3,0,0,0.32,0,0,0,0,0
53:42.4,0,0,0.32,0,0,0,0,0
53:42.5,0,0,0.33,0,0,0,0,0
53:42.6,0,0,0.33,0,0,0,0,0
53:42.7,0,0,0.32,0,0,0,0,0
53:42.9,0,0,0.32,0,0,0,0,0
53:42.9,0,0,0.33,0,0,0,0,0
53:43.1,0,0,0.34,0,0,0,0,0
53:43.4,0,0,0.33,0,0,0,0,0
53:43.5,0,0,0.34,0,0,0,0,0
53:43.5,0,0,0.33,0,0,0,0,0
53:43.6,0,0,0.33,0,0,0,0,0
53:43.8,0,0,0.32,0,0,0,0,0
53:43.8,0,0,0.33,0,0,0,0,0
53:44.0,0,0,0.33,0,0,0,0,0
53:44.4,15.4,15.6,0.78,3,0.1,0.106,0,0
53:44.4,15.3,15.7,0.82,6,0.2,0,0,0
53:44.5,15.5,15.6,0.79,9,0.2,0.026,0,0
53:44.6,15.5,15.7,0.81,11,0.2,0,0,0
53:44.9,15.4,15.1,0.78,23,0.4,0.048,0,0
53:45.4,15.5,15.4,0.79,68,1.2,0.022,0,0
53:45.6,15.4,15.1,0.8,88,1.5,0.03,0,0
53:46.1,15.4,15.2,0.82,160,2.1,0.013,0,0
53:46.6,15.3,14.8,0.81,244,2.9,0.061,0,0
53:46.8,15.4,15.2,0.8,264,3,0.026,0,0
53:46.8,15.2,15.6,0.81,273,3,0,0,0
53:46.9,15.6,15.4,0.81,286,3.2,0.017,0,0
53:47.0,15.5,15,0.81,299,3.3,0.066,0,0
53:47.1,15.3,15.5,0.8,318,3.5,0.07,0,0
53:47.5,15.4,14.9,0.8,366,3.7,0,0,0
53:47.9,15.3,15,0.78,417,4.1,0.035,0,0
53:48.3,15.5,15,0.81,463,4.5,0.053,0,0
53:48.4,15.4,15.4,0.79,470,4.4,0.017,0,0
53:48.4,15.3,15.5,0.8,476,4.4,0,0,0
53:48.9,15.4,15.1,0.81,511,4.6,0,0,0
53:49.0,15.2,15.5,0.81,520,4.7,0.026,0,0
53:49.3,15.4,15.1,0.8,542,4.8,0,0,0
53:49.6,15.4,15.1,0.81,556,5,0.044,0,0
53:49.9,15.3,15.5,0.8,571,5.1,0.044,0,0
53:50.0,15.2,15.4,0.81,578,5.1,0.026,0,0
53:50.1,15.5,15.4,0.78,583,5,0,0,0
53:50.2,15.2,14.9,0.81,584,4.9,0,0,0
53:50.6,15.2,15.3,0.81,594,4.9,0.004,0,0
53:51.0,15.4,15.4,0.81,606,5.1,0.022,0,0
53:51.3,15.3,15,0.8,611,5,0,0,0
53:51.6,15.5,15.4,0.78,617,5.2,0.008,0,0
53:51.8,15.6,15.7,0.82,617,5.1,0,0,0
53:51.8,15.3,15,0.8,617,5.1,0,0,0
53:52.5,15.3,15.4,0.79,613,4.8,0,0,0
53:53.0,15.5,15.5,0.82,600,4.8,0,0,0
53:53.1,15.6,15.3,0.78,597,4.9,0.035,0,0
53:53.2,15.5,15.4,0.81,597,4.8,0.004,0,0
53:54.1,15.4,15.6,0.78,569,4.6,0.017,0,0
53:54.2,15.4,15.6,0.82,562,4.4,0,0,0
53:54.4,15.5,15.5,0.82,558,4.5,0.03,0,0
53:54.4,15.6,15.6,0.82,557,4.5,0,0,0
53:54.8,15.3,15.5,0.82,543,4.4,0.057,0,0
53:55.1,15.6,15.6,0.82,537,4.2,0,0,0
53:55.3,15.3,15.8,0.82,533,4.3,0.004,0,0
53:55.4,15.6,15.7,0.81,532,4.3,0,0,0
53:55.5,15.6,15.7,0.81,530,4.2,0,0,0
53:55.6,15.6,15.3,0.82,526,4.2,0.035,0,0
53:56.2,15.5,15.4,0.82,525,4.4,0,0,0
53:56.5,15.7,15.2,0.79,526,4.2,0,0,0
53:56.6,15.6,15.2,0.78,524,4.3,0,0,0
53:56.7,15.3,15.6,0.79,525,4.4,0.066,0,0
53:56.8,15.4,15.6,0.81,527,4.6,0.026,0,0
53:56.9,15.5,15.7,0.81,530,4.5,0,0,0
53:57.4,15.6,15.2,0.82,532,4.3,0,0,0
53:57.8,15.6,15.5,0.8,538,4.5,0,0,0
53:57.9,15.5,15.2,0.81,538,4.4,0,0,0
53:58.0,15.3,15.7,0.81,537,4.4,0,0,0
53:58.1,15.6,15.7,0.79,538,4.5,0.053,0,0
53:58.2,15.5,15.2,0.81,539,4.5,0.017,0,0
53:59.0,15.5,15.1,0.82,543,4.6,0.03,0,0
