Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
58:52.3,0,0,0.29,0,0,0,17.56,0
58:52.8,0,0,0.3,0,0,0,17.56,0
58:53.0,0,0,0.29,0,0,0,17.56,0
58:53.1,0,0,0.29,0,0,0,17.56,0
58:53.2,0,0,0.29,0,0,0,17.56,0
58:53.4,0,0,0.29,0,0,0,17.56,0
58:53.6,0,0,0.29,0,0,0,17.56,0
58:53.7,0,0,0.3,0,0,0,17.56,0
58:53.8,0,0,0.29,0,0,0,17.56,0
58:53.9,0,0,0.29,0,0,0,17.56,0
58:54.0,0,0,0.29,0,0,0,17.56,0
58:54.1,0,0,0.29,0,0,0,17.56,0
58:54.2,0,0,0.3,0,0,0,17.56,0
58:54.3,0,0,0.29,0,0,0,17.56,0
58:54.4,0,0,0.3,0,0,0,17.56,0
58:54.5,0,0,0.29,0,0,0,17.56,0
58:54.7,0,0,0.29,0,0,0,17.56,0
58:54.9,0,0,0.3,0,0,0,17.56,0
58:55.1,0,0,0.29,0,0,0,17.56,0
58:55.2,0,0,0.29,0,0,0,17.56,0
58:55.4,0,0,0.3,0,0,0,17.56,0
58:55.6,0,0,0.29,0,0,0,17.56,0
58:55.7,0,0,0.29,0,0,0,17.56,0
58:56.0,0,0,0.29,0,0,0,17.56,0
58:56.1,0,0,0.29,0,0,0,17.56,0
58:56.2,0,0,0.29,0,0,0,17.56,0
58:56.3,0,0,0.29,0,0,0,17.56,0
58:56.4,0,0,0.29,0,0,0,17.56,0
58:56.6,0,0,0.29,0,0,0,17.56,0
58:56.9,0,0,0.29,0,0,0,17.56,0
58:57.1,0,0,0.29,0,0,0,17.56,0
58:57.4,0,0,0.29,0,0,0,17.56,0
58:57.5,0,0,0.29,0,0,0,17.56,0
58:57.6,0,0,0.28,0,0,0,17.56,0
58:57.7,0,0,0.29,0,0,0,17.56,0
58:58.0,0,0,0.29,0,0,0,17.56,0
58:58.1,0,0,0.3,0,0,0,17.56,0
58:58.4,0,0,0.29,0,0,0,17.56,0
58:58.5,0,0,0.28,0,0,0,17.56,0
58:58.6,0,0,0.29,0,0,0,17.56,0
58:58.7,0,0,0.29,0,0,0,17.56,0
58:58.9,0,0,0.29,0,0,0,17.56,0
