Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
05:34.3,0,0,0.28,0,0,0,0,0
05:34.9,0,0,0.28,0,0,0,0,0
05:35.0,0,0,0.28,0,0,0,0,0
05:35.1,0,0,0.29,0,0,0,0,0
05:35.3,0,0,0.28,0,0,0,0,0
05:35.4,0,0,0.3,0,0,0,0,0
05:35.6,0,0,0.28,0,0,0,0,0
05:35.6,0,0,0.29,0,0,0,0,0
05:35.8,0,0,0.28,0,0,0,0,0
05:35.9,0,0,0.29,0,0,0,0,0
05:36.0,0,0,0.29,0,0,0,0,0
05:36.1,0,0,0.29,0,0,0,0,0
05:36.2,0,0,0.28,0,0,0,0,0
05:36.3,0,0,0.29,0,0,0,0,0
05:36.4,0,0,0.28,0,0,0,0,0
05:36.5,0,0,0.28,0,0,0,0,0
05:36.6,0,0,0.29,0,0,0,0,0
05:36.8,0,0,0.29,0,0,0,0,0
05:36.9,0,0,0.28,0,0,0,0,0
05:37.0,0,0,0.28,0,0,0,0,0
05:37.1,0,0,0.3,0,0,0,0,0
05:37.2,0,0,0.29,0,0,0,0,0
05:37.3,0,0,0.29,0,0,0,0,0
05:37.4,0,0,0.29,0,0,0,0,0
05:37.5,0,0,0.29,0,0,0,0,0
05:37.6,0,0,0.28,0,0,0,0,0
05:37.7,0,0,0.3,0,0,0,0,0
05:37.9,0,0,0.29,0,0,0,0,0
05:38.0,0,0,0.28,0,0,0,0,0
05:38.0,0,0,0.29,0,0,0,0,0
05:38.1,0,0,0.29,0,0,0,0,0
05:38.3,0,0,0.28,0,0,0,0,0
05:38.4,0,0,0.29,0,0,0,0,0
05:38.5,0,0,0.29,0,0,0,0,0
05:38.6,0,0,0.29,0,0,0,0,0
05:38.7,0,0,0.3,0,0,0,0,0
05:38.8,0,0,0.28,0,0,0,0,0
05:39.0,0,0,0.28,0,0,0,0,0
05:39.1,0,0,0.28,0,0,0,0,0
05:39.3,0,0,0.29,0,0,0,0,0
05:39.4,0,0,0.29,0,0,0,0,0
05:39.8,0,0,0.29,0,0,0,0,0
05:39.9,0,0,0.28,0,0,0,0,0
05:39.9,0,0,0.3,0,0,0,0,0
05:40.0,0,0,0.29,0,0,0,0,0
05:40.2,0,0,0.28,0,0,0,0,0
05:40.3,0,0,0.29,0,0,0,0,0
05:40.4,0,0,0.28,0,0,0,0,0
05:40.4,0,0,0.28,0,0,0,0,0
05:40.6,0,0,0.29,0,0,0,0,0
05:40.7,0,0,0.28,0,0,0,0,0
05:40.8,0,0,0.29,0,0,0,0,0
05:40.9,0,0,0.29,0,0,0,0,0
05:41.0,0,0,0.29,0,0,0,0,0
05:41.2,0,0,0.28,0,0,0,0,0
05:41.3,0,0,0.29,0,0,0,0,0
05:41.5,0,0,0.29,0,0,0,0,0
05:41.5,0,0,0.29,0,0,0,0,0
05:41.7,0,0,0.28,0,0,0,0,0
05:41.8,0,0,0.28,0,0,0,0,0
05:41.9,0,0,0.29,0,0,0,0,0
05:42.0,0,0,0.29,0,0,0,0,0
05:42.1,0,0,0.29,0,0,0,0,0
05:42.4,0,0,0.28,0,0,0,0,0
05:42.5,0,0,0.28,0,0,0,0,0
05:42.8,0,0,0.29,0,0,0,0,0
05:42.9,0,0,0.29,0,0,0,0,0
05:43.0,0,0,0.29,0,0,0,0,0
05:43.2,0,0,0.29,0,0,0,0,0
05:43.2,0,0,0.28,0,0,0,0,0
05:43.3,0,0,0.28,0,0,0,0,0
05:43.4,0,0,0.28,0,0,0,0,0
05:43.6,0,0,0.28,0,0,0,0,0
05:43.6,0,28.5,2.3,0,0,0,0,0
05:43.9,43.4,43.5,2.41,2,0.6,0.199,0,0
05:44.0,44.2,45.2,2.42,12,0.7,0.061,0,0
05:44.1,44.5,44,2.41,17,0.3,0,0,0
05:44.2,44.3,44.5,2.4,24,0.5,0.061,0,0
05:45.0,44.5,44.7,2.43,126,2.2,0.203,0,0
05:45.1,44.1,44.1,2.41,147,2.6,0,0,0
05:45.2,44.4,44.4,2.4,170,2.8,0.115,0,0
05:45.3,44,44.5,2.44,197,3.3,0.097,0,0
05:45.8,44.6,43.8,2.38,356,4.9,0.168,0,0
05:46.2,44.2,44,2.38,480,6.1,0.177,0,0
05:46.3,43.9,44,2.4,513,6,0.044,0,0
05:46.4,44,44,2.41,540,6,0,0,0
05:46.5,44.2,43.9,2.38,568,6.6,0.154,0,0
05:47.0,44.1,45.3,2.42,723,7.3,0,0.51,0
05:47.1,44.3,44.6,2.41,751,8.1,0.225,0.62,0
05:47.3,44.1,43.9,2.38,794,8.1,0.168,0.79,0
05:47.4,43.9,43.9,2.43,823,8.7,0.225,0.88,0
05:47.5,44.1,44.2,2.47,861,8.4,0,1.02,0
05:48.2,44,44,2.38,1009,9.4,0,1.66,0
05:48.4,44.3,44.7,2.39,1049,9.5,0,1.87,0
05:48.5,44.2,44,2.43,1068,10.2,0.265,1.97,0
05:48.6,44.2,44,2.46,1086,9.8,0,2.06,0
05:48.8,44.3,43.9,2.38,1122,10,0,2.26,0
05:49.0,44.2,43.9,2.44,1170,11.1,0.336,2.53,0
05:49.2,44,43.9,2.38,1199,11.2,0.283,2.74,0
05:49.4,44.1,44.1,2.38,1217,10.9,0,2.85,0
05:49.4,44.4,43.7,2.46,1230,11.3,0.283,2.94,0
05:50.1,43.9,43.9,2.46,1321,11.9,0,3.58,0
