Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
08:37.4,0,0,0.3,0,0,0,0,0
08:37.8,0,0,0.3,0,0,0,0,0
08:38.0,0,0,0.3,0,0,0,0,0
08:38.0,0,0,0.29,0,0,0,0,0
08:38.3,0,0,0.29,0,0,0,0,0
08:38.4,0,0,0.3,0,0,0,0,0
08:38.5,0,0,0.29,0,0,0,0,0
08:38.6,0,0,0.29,0,0,0,0,0
08:38.7,0,0,0.29,0,0,0,0,0
08:38.9,0,0,0.3,0,0,0,0,0
08:39.0,0,0,0.3,0,0,0,0,0
08:39.2,0,0,0.3,0,0,0,0,0
08:39.3,0,0,0.3,0,0,0,0,0
08:39.3,0,0,0.29,0,0,0,0,0
08:39.4,0,0,0.29,0,0,0,0,0
08:39.8,0,0,0.29,0,0,0,0,0
08:39.9,0,0,0.29,0,0,0,0,0
08:40.1,0,0,0.29,0,0,0,0,0
08:40.1,0,0,0.3,0,0,0,0,0
08:40.4,0,0,0.29,0,0,0,0,0
08:40.6,0,0,0.29,0,0,0,0,0
08:40.7,0,0,0.29,0,0,0,0,0
08:40.8,0,0,0.29,0,0,0,0,0
08:40.9,0,0,0.3,0,0,0,0,0
08:41.0,0,0,0.3,0,0,0,0,0
08:41.1,0,0,0.29,0,0,0,0,0
08:41.2,0,0,0.29,0,0,0,0,0
08:41.4,0,0,0.29,0,0,0,0,0
08:41.5,0,0,0.29,0,0,0,0,0
08:41.6,0,0,0.29,0,0,0,0,0
08:41.8,0,0,0.3,0,0,0,0,0
08:41.9,0,0,0.29,0,0,0,0,0
08:42.0,0,0,0.29,0,0,0,0,0
08:42.2,0,0,0.29,0,0,0,0,0
08:42.2,0,0,0.29,0,0,0,0,0
08:42.3,0,0,0.3,0,0,0,0,0
08:42.5,0,0,0.3,0,0,0,0,0
08:42.6,0,0,0.29,0,0,0,0,0
08:42.6,0,0,0.3,0,0,0,0,0
08:42.7,0,0,0.29,0,0,0,0,0
08:43.0,0,0,0.31,0,0,0,0,0
08:43.1,0,0,0.29,0,0,0,0,0
08:43.2,0,0,0.29,0,0,0,0,0
08:43.3,0,0,0.3,0,0,0,0,0
08:43.5,0,0,0.29,0,0,0,0,0
08:43.6,0,0,0.29,0,0,0,0,0
08:43.6,0,0,0.29,0,0,0,0,0
08:43.8,0,0,0.29,0,0,0,0,0
08:44.2,0,0,0.29,0,0,0,0,0
08:44.3,0,0,0.29,0,0,0,0,0
08:44.4,0,0,0.29,0,0,0,0,0
08:44.5,0,0,0.3,0,0,0,0,0
08:44.6,0,0,0.31,0,0,0,0,0
08:44.8,0,0,0.3,0,0,0,0,0
08:44.8,0,0,0.3,0,0,0,0,0
08:45.0,0,0,0.29,0,0,0,0,0
08:45.1,0,0,0.3,0,0,0,0,0
08:45.2,0,0,0.29,0,0,0,0,0
08:45.3,0,0,0.29,0,0,0,0,0
08:45.6,0,0,0.29,0,0,0,0,0
08:45.7,0,0,0.29,0,0,0,0,0
08:46.1,0,0,0.29,0,0,0,0,0
08:46.1,0,0,0.3,0,0,0,0,0
08:46.3,0,0,0.3,0,0,0,0,0
08:46.3,0,0,0.29,0,0,0,0,0
08:46.6,0,0,0.31,0,0,0,0,0
08:46.6,0,0,0.3,0,0,0,0,0
08:46.7,0,0,0.29,0,0,0,0,0
08:46.8,0,0,0.29,0,0,0,0,0
08:46.9,0,0,0.29,0,0,0,0,0
08:47.0,0,0,0.31,0,0,0,0,0
08:47.1,0,0,0.29,0,0,0,0,0
08:47.3,0,0,0.3,0,0,0,0,0
08:47.4,0,0,0.29,0,0,0,0,0
08:47.5,0,0,0.3,0,0,0,0,0
08:47.6,0,0,0.29,0,0,0,0,0
08:47.7,0,0,0.29,0,0,0,0,0
08:47.9,0,0,0.3,0,0,0,0,0
08:48.0,0,0,0.29,0,0,0,0,0
08:48.2,0,0,0.29,0,0,0,0,0
08:48.5,0,0,0.29,0,0,0,0,0
08:48.6,0,0,0.29,0,0,0,0,0
08:48.8,0,0,0.3,0,0,0,0,0
08:49.0,54.8,55.8,2.86,0,0,0,0,0
08:49.1,57.2,59.8,2.97,8,1.2,0.429,0,0
08:49.3,59.5,59.2,2.93,30,0.7,0,0,0
