Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
56:34.2,0,0,0.3,0,0,0,0,0
56:34.2,0,0,0.3,0,0,0,0,0
56:34.3,0,0,0.3,0,0,0,0,0
56:34.5,0,0,0.29,0,0,0,0,0
56:34.6,0,0,0.29,0,0,0,0,0
56:34.9,0,0,0.29,0,0,0,0,0
56:35.0,0,0,0.3,0,0,0,0,0
56:35.1,0,0,0.3,0,0,0,0,0
56:35.4,0,0,0.29,0,0,0,0,0
56:35.5,0,0,0.3,0,0,0,0,0
56:35.6,0,0,0.29,0,0,0,0,0
56:35.7,0,0,0.29,0,0,0,0,0
56:35.8,0,0,0.3,0,0,0,0,0
56:36.1,0,0,0.29,0,0,0,0,0
56:36.2,0,0,0.29,0,0,0,0,0
56:36.3,0,0,0.29,0,0,0,0,0
56:36.4,0,0,0.3,0,0,0,0,0
56:36.5,0,0,0.3,0,0,0,0,0
56:36.6,0,0,0.3,0,0,0,0,0
56:36.7,0,0,0.29,0,0,0,0,0
56:36.8,0,0,0.3,0,0,0,0,0
56:36.9,0,0,0.31,0,0,0,0,0
56:37.0,0,0,0.29,0,0,0,0,0
56:37.3,0,0,0.29,0,0,0,0,0
56:37.4,0,0,0.3,0,0,0,0,0
56:37.5,0,0,0.31,0,0,0,0,0
56:37.6,0,0,0.29,0,0,0,0,0
56:37.7,0,0,0.3,0,0,0,0,0
56:37.8,0,0,0.29,0,0,0,0,0
56:37.9,0,0,0.3,0,0,0,0,0
56:38.0,0,0,0.3,0,0,0,0,0
56:38.1,0,0,0.29,0,0,0,0,0
56:38.2,0,0,0.29,0,0,0,0,0
56:38.4,0,0,0.31,0,0,0,0,0
56:38.5,0,0,0.29,0,0,0,0,0
56:38.6,0,0,0.29,0,0,0,0,0
56:38.7,0,0,0.29,0,0,0,0,0
56:38.8,0,0,0.29,0,0,0,0,0
56:39.0,0,0,0.3,0,0,0,0,0
56:39.2,0,0,0.29,0,0,0,0,0
56:39.3,0,0,0.29,0,0,0,0,0
56:39.4,0,0,0.29,0,0,0,0,0
56:39.5,0,0,0.3,0,0,0,0,0
56:39.7,0,0,0.29,0,0,0,0,0
56:39.8,0,0,0.29,0,0,0,0,0
56:40.0,0,0,0.3,0,0,0,0,0
56:40.1,0,0,0.29,0,0,0,0,0
56:40.2,0,0,0.3,0,0,0,0,0
56:40.3,0,0,0.3,0,0,0,0,0
56:40.6,0,0,0.3,0,0,0,0,0
56:40.7,0,0,0.29,0,0,0,0,0
56:40.8,0,0,0.29,0,0,0,0,0
56:40.9,0,0,0.3,0,0,0,0,0
56:41.0,0,0,0.29,0,0,0,0,0
56:41.2,0,0,0.29,0,0,0,0,0
56:41.3,0,0,0.29,0,0,0,0,0
56:41.5,0,0,0.29,0,0,0,0,0
56:41.5,0,0,0.29,0,0,0,0,0
56:41.7,0,0,0.29,0,0,0,0,0
56:41.7,0,0,0.29,0,0,0,0,0
56:41.9,0,0,0.3,0,0,0,0,0
56:42.1,42.9,69.9,3.43,0,0,0,0,0
56:42.2,69.4,71.4,3.38,0,0,0,0,0
56:42.3,74,73.4,3.51,7,1.8,0.438,0,0
56:42.5,74.4,73.5,3.55,54,0.5,0,0,0
56:42.6,75.2,75.3,3.59,60,0.7,0.137,0,0
56:42.7,75.2,75.4,3.55,68,1.3,0.123,0,0
56:42.9,74.3,73.2,3.54,79,1.6,0.185,0,0
56:43.4,74.5,74.7,3.53,203,3.1,0.035,0,0
56:43.6,74.5,74.2,3.55,236,3.4,0.035,0,0
56:43.7,73.7,75.4,3.56,261,3.6,0.044,0,0
56:43.8,74.1,75.7,3.61,287,4,0.146,0,0
56:43.9,74.2,74.6,3.59,315,4.4,0.053,0,0
56:43.9,74.5,73.7,3.54,343,4.5,0,0,0
56:44.2,73.9,73.2,3.5,424,5.3,0.07,0,0
56:44.4,73.4,74.4,3.51,476,5.6,0,0,0
56:44.6,74,75.2,3.51,522,6.1,0.154,0,0
56:44.7,74.1,75.5,3.59,563,6.4,0.141,0,0
