Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
21:27.7,0,0,0.29,0,0,0,0,0
21:27.9,0,0,0.3,0,0,0,0,0
21:28.0,0,0,0.31,0,0,0,0,0
21:28.1,0,0,0.29,0,0,0,0,0
21:28.2,0,0,0.3,0,0,0,0,0
21:28.3,0,0,0.3,0,0,0,0,0
21:28.5,0,0,0.31,0,0,0,0,0
21:28.6,0,0,0.31,0,0,0,0,0
21:28.7,0,0,0.3,0,0,0,0,0
21:28.8,0,0,0.3,0,0,0,0,0
21:29.0,0,0,0.29,0,0,0,0,0
21:29.1,0,0,0.3,0,0,0,0,0
21:29.2,0,0,0.29,0,0,0,0,0
21:29.3,0,0,0.29,0,0,0,0,0
21:29.4,0,0,0.3,0,0,0,0,0
21:29.5,0,0,0.29,0,0,0,0,0
21:29.6,0,0,0.3,0,0,0,0,0
21:29.7,0,0,0.29,0,0,0,0,0
21:29.8,0,0,0.3,0,0,0,0,0
21:29.9,0,0,0.3,0,0,0,0,0
21:30.0,0,0,0.3,0,0,0,0,0
21:30.2,0,0,0.31,0,0,0,0,0
21:30.3,0,0,0.3,0,0,0,0,0
21:30.4,0,0,0.29,0,0,0,0,0
21:30.5,0,0,0.29,0,0,0,0,0
21:30.6,0,0,0.29,0,0,0,0,0
21:30.7,0,0,0.3,0,0,0,0,0
21:30.8,0,0,0.29,0,0,0,0,0
21:30.9,0,0,0.29,0,0,0,0,0
21:31.0,0,0,0.3,0,0,0,0,0
21:31.1,0,0,0.29,0,0,0,0,0
21:31.2,0,0,0.29,0,0,0,0,0
21:31.4,0,0,0.29,0,0,0,0,0
21:31.5,0,0,0.29,0,0,0,0,0
21:31.6,0,0,0.31,0,0,0,0,0
21:31.7,0,0,0.3,0,0,0,0,0
21:31.8,0,0,0.29,0,0,0,0,0
21:31.9,0,0,0.3,0,0,0,0,0
21:32.0,0,0,0.29,0,0,0,0,0
21:32.1,0,0,0.29,0,0,0,0,0
21:32.2,0,0,0.31,0,0,0,0,0
21:32.3,0,0,0.31,0,0,0,0,0
21:32.5,0,0,0.3,0,0,0,0,0
21:32.6,0,0,0.3,0,0,0,0,0
21:32.7,0,0,0.29,0,0,0,0,0
21:32.8,0,0,0.29,0,0,0,0,0
21:32.9,0,0,0.31,0,0,0,0,0
21:33.0,0,0,0.3,0,0,0,0,0
21:33.1,0,0,0.31,0,0,0,0,0
21:33.2,0,0,0.3,0,0,0,0,0
21:33.3,0,0,0.3,0,0,0,0,0
21:33.4,0,0,0.29,0,0,0,0,0
21:33.5,0,0,0.29,0,0,0,0,0
21:33.6,0,0,0.29,0,0,0,0,0
21:33.7,0,0,0.3,0,0,0,0,0
21:33.9,0,0,0.29,0,0,0,0,0
21:34.0,0,0,0.3,0,0,0,0,0
21:34.1,0,0,0.3,0,0,0,0,0
21:34.2,0,0,0.29,0,0,0,0,0
21:34.3,0,0,0.3,0,0,0,0,0
21:34.4,0,0,0.29,0,0,0,0,0
