Topic:,/fixposition/fpa/corrimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1770803063.1223178,-0.001104,0.000319,0.000462,-0.03041,-0.088024,9.810449
1770803063.12544,0.001293,0.006444,0.000196,0.041415,-0.088024,9.815236
1770803063.1304038,-0.00137,0.008042,0.000196,-0.001681,-0.09401,9.7889
1770803063.135217,-0.000838,0.000851,0.000196,-0.072308,-0.103586,9.800872
1770803063.141065,0.002891,-0.010334,-0.000336,-0.08548,-0.104784,9.820024
1770803063.1454613,0.00369,-0.005008,-0.000869,-0.053155,-0.10239,9.811645
1770803063.1575618,-0.000571,0.005379,0.000995,0.016276,-0.089221,9.808054
1770803063.158304,-0.000838,-0.000214,-0.001402,-0.001679,-0.099995,9.808054
1770803063.1616912,0.000494,-0.002877,-7e-05,-0.063929,-0.08563,9.80566
1770803063.1665673,-0.001903,-0.002345,-7e-05,-0.092659,-0.089221,9.799675
1770803063.1706998,0.00369,-0.008204,-0.000869,-0.042383,-0.092813,9.806856
1770803063.1755009,-0.001637,0.004047,-7e-05,0.023459,-0.08563,9.811645
1770803063.181133,-0.001104,0.005112,-0.000603,0.023459,-0.084433,9.796083
1770803063.1859806,-0.001637,0.001916,-7e-05,-0.036395,-0.092813,9.841573
1770803063.1958559,-0.000838,-0.002877,-7e-05,-0.102236,-0.092812,9.830799
1770803063.19669,0.001293,-0.002078,-0.000603,-0.090265,-0.08563,9.827208
1770803063.211244,-3.9e-05,0.000319,-7e-05,-0.032804,-0.083236,9.798478
1770803063.2198944,0.003157,-0.000747,0.000462,0.017474,-0.08563,9.798477
1770803063.2199502,0.00076,-0.00048,-7e-05,-0.02203,-0.088024,9.799675
1770803063.2201195,-0.001104,-0.004475,-7e-05,-0.059141,-0.098798,9.811645
1770803063.2312367,-0.00137,0.002183,0.000462,-0.06752,-0.097601,9.829602
1770803063.2314744,-0.000838,0.000585,0.000462,-0.020833,-0.089221,9.818828
1770803063.2338645,0.000228,0.003781,-0.000336,0.004306,-0.086827,9.808054
1770803063.2391691,-0.000838,0.002982,-7e-05,-0.03041,-0.079644,9.809251
1770803063.2429404,-3.9e-05,5.2e-05,0.000462,-0.068717,-0.086827,9.806857
1770803063.2532415,0.00076,-0.002611,-7e-05,-0.069914,-0.078447,9.809251
1770803063.2540662,0.001293,-0.003942,0.000196,-0.04717,-0.080842,9.827208
1770803063.258004,-0.000305,0.006444,0.000196,-0.011257,-0.073659,9.794886
1770803063.26362,-0.000838,0.003781,-7e-05,-0.034001,-0.09401,9.808054
1770803063.2681792,0.000228,-0.001013,0.000462,-0.068717,-0.097601,9.810449
1770803063.2717981,0.00076,-0.003942,-0.000336,-0.077097,-0.089221,9.79728
1770803063.2768414,0.00076,0.000585,-7e-05,-0.019636,-0.092812,9.790098
1770803063.2820177,0.002358,-0.00341,0.000196,0.005503,-0.084433,9.800872
1770803063.2871916,0.001825,-0.002078,-0.000603,-0.034001,-0.092813,9.810448
1770803063.292622,-0.000571,-0.003943,-0.000869,-0.073506,-0.110769,9.827207
1770803063.2988942,0.00076,-0.00341,-7e-05,-0.059141,-0.110769,9.828404
1770803063.3028393,0.000228,0.002449,0.000729,-0.012453,-0.095207,9.802068
1770803063.3091483,0.00076,0.005379,0.001261,0.003108,-0.091615,9.79728
1770803063.3217864,-0.000305,0.002982,0.000995,-0.034001,-0.095207,9.80566
1770803063.3226316,-3.9e-05,-0.00048,-7e-05,-0.072308,-0.098798,9.821222
1770803063.322744,-0.000571,0.001916,0.000463,-0.069914,-0.102389,9.818828
1770803063.328475,0.001293,0.001117,0.000196,-0.031607,-0.083236,9.816434
1770803063.3334157,-0.000838,0.002715,-0.000336,-0.018439,-0.089221,9.80566
1770803063.3380046,-0.001104,0.00458,0.000463,-0.031608,-0.090419,9.802068
1770803063.3423967,0.001293,-0.00341,0.000196,-0.066323,-0.098798,9.799674
1770803063.3478107,-0.000305,-0.00048,0.000196,-0.047169,-0.102389,9.821222
1770803063.3553078,0.000228,-0.002078,-0.000869,-0.000482,-0.101192,9.810448
1770803063.357758,-0.003235,0.007775,0.000995,-0.017244,-0.097602,9.816432
1770803063.3631842,0.000228,-0.000214,-7e-05,-0.037592,-0.097601,9.812842
1770803063.371513,0.001026,0.000319,-0.000336,-0.057943,-0.09401,9.815237
1770803063.3730068,-0.000838,-0.002078,-0.000869,-0.053155,-0.086827,9.806857
1770803063.3836606,-0.000571,-0.00341,-0.000603,-0.029213,-0.074856,9.799674
1770803063.3841956,-0.000838,5.2e-05,-0.000336,-0.016045,-0.07725,9.810448
1770803063.3913386,-0.002968,0.003248,-0.000336,-0.041184,-0.09401,9.824813
1770803063.3932838,0.001026,-0.000747,0.000196,-0.055549,-0.09401,9.83439
