Topic:,/fixposition/fpa/odomenu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z,fusion_status,imu_bias_status,gnss1_status,gnss2_status,wheelspeed_status
1770803063.1895502,34.0883,3.2342,-0.9884,0.004307,-0.0025,0.076299,-0.997073,0.0006,-0.0003,-0.0001,-0.00112,0.00211,-0.00026,-0.0161,-0.0897,9.8219,4,1,1,1,-1
1770803063.239645,34.0883,3.2342,-0.9884,0.004307,-0.0025,0.076299,-0.997073,0.0006,-0.0003,-0.0001,-0.00055,0.00249,-3e-05,-0.0234,-0.0846,9.8113,4,1,1,1,-1
1770803063.2914934,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,0.00164,-0.00201,-0.00027,-0.0261,-0.0904,9.8046,4,1,1,1,-1
1770803063.3403447,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,-0.00063,0.0033,0.00023,-0.0318,-0.0904,9.8065,4,1,1,1,-1
1770803063.3919625,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,-0.00181,0.00114,-0.00039,-0.0343,-0.0871,9.8163,4,1,1,1,-1
1770803063.4480991,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,0.00181,-0.00188,-0.00041,-0.0268,-0.089,9.8058,4,1,1,1,-1
1770803063.489391,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,-0.00017,2e-05,-0.00026,-0.024,-0.0926,9.8049,4,1,1,1,-1
1770803063.5411165,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,-0.00056,0.00077,-0.00037,-0.0276,-0.0888,9.8177,4,1,1,1,-1
1770803063.5911202,34.0885,3.2342,-0.9885,0.004287,-0.00234,0.076309,-0.997072,0.0004,-0.0004,0.0001,0.00163,-0.00447,-9e-05,-0.033,-0.0946,9.799,4,1,1,1,-1
1770803063.6413765,34.0885,3.2342,-0.9885,0.004287,-0.00234,0.076309,-0.997072,0.0004,-0.0004,0.0001,-0.00028,0.0013,-0.00047,-0.0287,-0.0838,9.8132,4,1,1,1,-1
