Topic:,/fixposition/fpa/odometry
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z
1770803063.0899005,1055163.3471,6125692.1758,1424285.19,0.003315,0.619361,0.775143,0.124638,0.0006,-0.0003,-0.0001,0.00021,-0.0011,6e-05,-0.0517,-0.0906,9.8131
1770803063.1397653,1055163.3471,6125692.1758,1424285.19,0.003315,0.619361,0.775143,0.124638,0.0006,-0.0003,-0.0001,-0.00062,0.00299,0.00017,-0.038,-0.0978,9.8009
1770803063.1893756,1055163.3471,6125692.1758,1424285.19,0.003315,0.619361,0.775143,0.124638,0.0006,-0.0003,-0.0001,-0.00112,0.00211,-0.00026,-0.0161,-0.0897,9.8219
1770803063.2398279,1055163.3471,6125692.1758,1424285.19,0.003315,0.619361,0.775143,0.124638,0.0006,-0.0003,-0.0001,-0.00055,0.00249,-3e-05,-0.0234,-0.0846,9.8113
1770803063.290388,1055163.3469,6125692.1758,1424285.19,0.003411,0.619372,0.775122,0.124711,0.0011,-0.0005,-0.0004,0.00164,-0.00201,-0.00027,-0.0261,-0.0904,9.8046
1770803063.3396416,1055163.3469,6125692.1758,1424285.19,0.003411,0.619372,0.775122,0.124711,0.0011,-0.0005,-0.0004,-0.00063,0.0033,0.00023,-0.0318,-0.0904,9.8065
1770803063.3925562,1055163.3469,6125692.1758,1424285.19,0.003411,0.619372,0.775122,0.124711,0.0011,-0.0005,-0.0004,-0.00181,0.00114,-0.00039,-0.0343,-0.0871,9.8163
1770803063.4481773,1055163.3469,6125692.1758,1424285.19,0.003411,0.619372,0.775122,0.124711,0.0011,-0.0005,-0.0004,0.00181,-0.00188,-0.00041,-0.0268,-0.089,9.8058
1770803063.4892566,1055163.3469,6125692.1758,1424285.19,0.003411,0.619372,0.775122,0.124711,0.0011,-0.0005,-0.0004,-0.00017,2e-05,-0.00026,-0.024,-0.0926,9.8049
1770803063.5413487,1055163.3469,6125692.1758,1424285.19,0.003411,0.619372,0.775122,0.124711,0.0011,-0.0005,-0.0004,-0.00056,0.00077,-0.00037,-0.0276,-0.0888,9.8177
1770803063.589882,1055163.3469,6125692.1758,1424285.19,0.003435,0.619366,0.775121,0.124744,0.0004,-0.0004,0.0001,0.00163,-0.00447,-9e-05,-0.033,-0.0946,9.799
1770803063.6414564,1055163.3469,6125692.1758,1424285.19,0.003435,0.619366,0.775121,0.124744,0.0004,-0.0004,0.0001,-0.00028,0.0013,-0.00047,-0.0287,-0.0838,9.8132
1770803063.6909974,1055163.3469,6125692.1758,1424285.19,0.003435,0.619366,0.775121,0.124744,0.0004,-0.0004,0.0001,0.00043,7e-05,-0.00067,-0.0254,-0.0972,9.8007
1770803063.739493,1055163.3469,6125692.1758,1424285.19,0.003435,0.619366,0.775121,0.124744,0.0004,-0.0004,0.0001,-0.0006,0.0002,0.00017,-0.0082,-0.0939,9.817
