Topic:,/fixposition/odometry_enu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z
1770803063.1896052,34.0883,3.2342,-0.9884,0.004307,-0.0025,0.076299,-0.997073,0.0006,-0.0003,-0.0001,-0.00112,0.00211,-0.00026
1770803063.2403147,34.0883,3.2342,-0.9884,0.004307,-0.0025,0.076299,-0.997073,0.0006,-0.0003,-0.0001,-0.00055,0.00249,-3e-05
1770803063.2910686,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,0.00164,-0.00201,-0.00027
1770803063.3404994,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,-0.00063,0.0033,0.00023
1770803063.3928106,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,-0.00181,0.00114,-0.00039
1770803063.448228,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,0.00181,-0.00188,-0.00041
1770803063.4893067,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,-0.00017,2e-05,-0.00026
1770803063.5407495,34.0885,3.2342,-0.9885,0.004283,-0.002379,0.076299,-0.997073,0.0011,-0.0005,-0.0004,-0.00056,0.00077,-0.00037
1770803063.5911994,34.0885,3.2342,-0.9885,0.004287,-0.00234,0.076309,-0.997072,0.0004,-0.0004,0.0001,0.00163,-0.00447,-9e-05
1770803063.6412907,34.0885,3.2342,-0.9885,0.004287,-0.00234,0.076309,-0.997072,0.0004,-0.0004,0.0001,-0.00028,0.0013,-0.00047
1770803063.6913366,34.0885,3.2342,-0.9885,0.004287,-0.00234,0.076309,-0.997072,0.0004,-0.0004,0.0001,0.00043,7e-05,-0.00067
1770803063.739997,34.0885,3.2342,-0.9885,0.004287,-0.00234,0.076309,-0.997072,0.0004,-0.0004,0.0001,-0.0006,0.0002,0.00017
