Topic:,/fixposition/odometry_smooth
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z
1770803063.190041,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00112,0.00211,-0.00026
1770803063.2407434,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00055,0.00249,-3e-05
1770803063.2913241,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00164,-0.00201,-0.00027
1770803063.339701,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00063,0.0033,0.00023
1770803063.3922296,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00181,0.00114,-0.00039
1770803063.4483848,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00181,-0.00188,-0.00041
1770803063.4898105,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00017,2e-05,-0.00026
1770803063.5405867,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00056,0.00077,-0.00037
1770803063.5922334,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00163,-0.00447,-9e-05
1770803063.6405752,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00028,0.0013,-0.00047
1770803063.6914978,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00043,7e-05,-0.00067
1770803063.739754,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.0006,0.0002,0.00017
1770803063.7902117,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00024,-0.00051,-0.00053
1770803063.8398888,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-6e-05,-0.00011,-0.00025
1770803063.890897,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00125,0.00292,0.0004
1770803063.9450088,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00096,0.00349,0.0003
1770803063.9897985,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00183,-0.00094,0.00049
1770803064.046212,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.0006,0.00111,-8e-05
1770803064.0921938,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00078,-9e-05,0.00012
1770803064.144307,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00113,0.00177,-0.00039
1770803064.1902342,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.0032,-0.00514,9e-05
1770803064.24469,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00093,-0.00237,1e-05
1770803064.2900105,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00115,-0.00191,-8e-05
1770803064.3479567,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00028,-6e-05,5e-05
1770803064.392296,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00045,-0.00233,-0.00023
1770803064.4413211,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00273,-0.0039,-0.00012
1770803064.492962,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,9e-05,-0.00198,-0.00017
1770803064.5430279,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00083,0.00104,0.00034
1770803064.5905972,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00073,-0.00237,-0.0003
1770803064.6448195,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00066,-0.00012,-5e-05
1770803064.6917481,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00044,0.00206,0.00017
1770803064.741447,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00028,0.00216,1e-05
1770803064.7933187,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00093,-0.00359,-0.00071
1770803064.844388,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00042,0.00385,0.00061
1770803064.9195359,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00122,-0.0013,-0.00015
1770803064.943909,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.0005,0.00105,0.0
1770803064.9900014,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00018,-0.00202,-0.00082
1770803065.040979,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.002,0.00104,-0.0004
1770803065.0915215,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00076,0.00019,0.00041
1770803065.1433156,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00088,-0.00066,0.0007
1770803065.1903572,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00212,0.00507,0.00085
1770803065.2447262,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00163,-0.00551,-0.00055
1770803065.293394,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00022,0.00087,0.00016
1770803065.340885,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00129,-0.0013,0.00016
1770803065.4002397,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00137,-0.0055,-0.00042
1770803065.4405084,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-0.00096,-0.00107,0.00013
1770803065.4911895,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00027,0.00057,-0.00031
1770803065.5418413,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,-5e-05,0.00079,0.00025
1770803065.592875,1055167.7095,6125689.4335,1424285.9852,0.09062,-0.631353,-0.765145,-0.087944,0.0083,-0.0025,-0.0067,0.00111,-0.00264,-0.0003
