Topic:,/fixposition/poiimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1770803063.1896553,-0.00112,0.00211,-0.00026,-0.0161,-0.0897,9.8219
1770803063.2395353,-0.00055,0.00249,-3e-05,-0.0234,-0.0846,9.8113
1770803063.290462,0.00164,-0.00201,-0.00027,-0.0261,-0.0904,9.8046
1770803063.3392942,-0.00063,0.0033,0.00023,-0.0318,-0.0904,9.8065
1770803063.3916311,-0.00181,0.00114,-0.00039,-0.0343,-0.0871,9.8163
1770803063.4475777,0.00181,-0.00188,-0.00041,-0.0268,-0.089,9.8058
1770803063.4891727,-0.00017,2e-05,-0.00026,-0.024,-0.0926,9.8049
1770803063.5403156,-0.00056,0.00077,-0.00037,-0.0276,-0.0888,9.8177
1770803063.5899708,0.00163,-0.00447,-9e-05,-0.033,-0.0946,9.799
1770803063.6403432,-0.00028,0.0013,-0.00047,-0.0287,-0.0838,9.8132
1770803063.6910706,0.00043,7e-05,-0.00067,-0.0254,-0.0972,9.8007
1770803063.742084,-0.0006,0.0002,0.00017,-0.0082,-0.0939,9.817
1770803063.7892246,0.00024,-0.00051,-0.00053,-0.0178,-0.0963,9.809
1770803063.839434,-6e-05,-0.00011,-0.00025,-0.0196,-0.1002,9.8123
1770803063.8893807,-0.00125,0.00292,0.0004,-0.0363,-0.0915,9.8095
1770803063.9437253,-0.00096,0.00349,0.0003,-0.0096,-0.093,9.7929
1770803063.9895186,0.00183,-0.00094,0.00049,-0.0055,-0.0924,9.8147
1770803064.0452836,-0.0006,0.00111,-8e-05,-0.0425,-0.0983,9.8132
1770803064.092583,0.00078,-9e-05,0.00012,-0.0296,-0.1013,9.815
1770803064.1449218,-0.00113,0.00177,-0.00039,-0.0313,-0.0917,9.8067
1770803064.1899416,0.0032,-0.00514,9e-05,-0.0454,-0.0909,9.8129
1770803064.2445087,0.00093,-0.00237,1e-05,-0.0367,-0.096,9.8096
1770803064.2898047,0.00115,-0.00191,-8e-05,-0.0503,-0.0887,9.8057
1770803064.3484871,-0.00028,-6e-05,5e-05,-0.046,-0.0945,9.8074
1770803064.3919542,0.00045,-0.00233,-0.00023,-0.0498,-0.089,9.8083
1770803064.441513,0.00273,-0.0039,-0.00012,-0.0552,-0.0898,9.8143
1770803064.4906018,9e-05,-0.00198,-0.00017,-0.0457,-0.0912,9.8114
1770803064.5431106,-0.00083,0.00104,0.00034,-0.0708,-0.0985,9.8022
1770803064.5905416,0.00073,-0.00237,-0.0003,-0.071,-0.0893,9.8181
1770803064.6450672,0.00066,-0.00012,-5e-05,-0.0544,-0.0938,9.8133
1770803064.6916513,0.00044,0.00206,0.00017,-0.0056,-0.0884,9.804
1770803064.7405543,0.00028,0.00216,1e-05,-0.0014,-0.0813,9.8132
1770803064.7925687,0.00093,-0.00359,-0.00071,-0.0242,-0.0883,9.8001
1770803064.8440218,0.00042,0.00385,0.00061,-0.03,-0.0915,9.8268
