Topic:,/fixposition/fpa/odomenu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z,fusion_status,imu_bias_status,gnss1_status,gnss2_status,wheelspeed_status
1771240778.4930167,22.2799,21.6129,-1.9596,0.002818,0.003587,-0.75142,-0.659809,-0.0002,-0.0006,-0.0005,0.00032,0.00127,0.00025,0.0176,-0.0833,9.8076,4,1,8,8,-1
1771240778.5527408,22.2799,21.6129,-1.9596,0.002818,0.003587,-0.75142,-0.659809,-0.0002,-0.0006,-0.0005,0.00192,-0.00264,-0.0001,-0.0069,-0.0951,9.7963,4,1,8,8,-1
1771240778.5932317,22.2799,21.6129,-1.9596,0.002818,0.003587,-0.75142,-0.659809,-0.0002,-0.0006,-0.0005,-0.00062,-4e-05,-0.00047,-0.0052,-0.1043,9.8028,4,1,8,8,-1
1771240778.646034,22.2799,21.6129,-1.9596,0.002818,0.003587,-0.75142,-0.659809,-0.0002,-0.0006,-0.0005,-0.00043,0.00153,-0.00036,0.011,-0.1025,9.8073,4,1,8,8,-1
1771240778.6928535,22.2799,21.6129,-1.9596,0.002818,0.003587,-0.75142,-0.659809,-0.0002,-0.0006,-0.0005,0.00071,0.00039,-7e-05,0.009,-0.0895,9.799,4,1,8,8,-1
1771240778.7480617,22.2801,21.613,-1.9597,0.00278,0.003608,-0.751414,-0.659815,-0.0006,-0.0006,-0.0005,-0.00188,0.00328,0.0002,-0.0034,-0.0828,9.8106,4,1,8,8,-1
1771240778.7960346,22.2801,21.613,-1.9597,0.00278,0.003608,-0.751414,-0.659815,-0.0006,-0.0006,-0.0005,0.00071,-0.00072,-3e-05,-0.0004,-0.0863,9.8102,4,1,8,8,-1
1771240778.8516667,22.2801,21.613,-1.9597,0.00278,0.003608,-0.751414,-0.659815,-0.0006,-0.0006,-0.0005,0.00181,-0.00187,1e-05,0.0005,-0.0864,9.8041,4,1,8,8,-1
1771240778.8928688,22.2801,21.613,-1.9597,0.00278,0.003608,-0.751414,-0.659815,-0.0006,-0.0006,-0.0005,0.00037,0.0019,0.00021,0.0118,-0.0974,9.8021,4,1,8,8,-1
1771240778.954645,22.2801,21.613,-1.9597,0.00278,0.003608,-0.751414,-0.659815,-0.0006,-0.0006,-0.0005,-0.00116,0.002,-0.00028,-0.0001,-0.089,9.8108,4,1,8,8,-1
1771240778.9989407,22.2797,21.6131,-1.9607,0.002751,0.003611,-0.751409,-0.659821,-0.0002,-0.0008,-0.0011,0.00084,-0.00493,-0.00056,0.0004,-0.077,9.7986,4,1,8,8,-1
1771240779.045246,22.2797,21.6131,-1.9607,0.002751,0.003611,-0.751409,-0.659821,-0.0002,-0.0008,-0.0011,0.0006,-0.00124,6e-05,0.0032,-0.0969,9.8156,4,1,8,8,-1
1771240779.0932066,22.2797,21.6131,-1.9607,0.002751,0.003611,-0.751409,-0.659821,-0.0002,-0.0008,-0.0011,0.00042,-0.00053,-0.00048,-0.0017,-0.0943,9.8116,4,1,8,8,-1
1771240779.1425462,22.2797,21.6131,-1.9607,0.002751,0.003611,-0.751409,-0.659821,-0.0002,-0.0008,-0.0011,-0.00039,-0.00061,-0.00013,0.0024,-0.1093,9.8059,4,1,8,8,-1
1771240779.193679,22.2797,21.6131,-1.9607,0.002751,0.003611,-0.751409,-0.659821,-0.0002,-0.0008,-0.0011,0.00081,-0.00361,-0.00017,0.0047,-0.0832,9.8045,4,1,8,8,-1
1771240779.2424774,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,2e-05,-0.0015,-0.0003,0.01,-0.0958,9.8181,4,1,8,8,-1
1771240779.2932074,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,-0.00052,-0.00334,-0.00056,0.0073,-0.0909,9.8113,4,1,8,8,-1
1771240779.3424819,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,0.00071,-0.0016,-0.00058,-0.0028,-0.0958,9.8109,4,1,8,8,-1
1771240779.3927636,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,-0.00013,0.0006,0.00025,0.0102,-0.0923,9.8012,4,1,8,8,-1
1771240779.4473457,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,-0.00016,-0.00069,0.00047,-0.0004,-0.0965,9.8095,4,1,8,8,-1
1771240779.4961836,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,0.00075,-0.00185,-9e-05,0.0054,-0.0916,9.8067,4,1,8,8,-1
1771240779.5431247,22.2796,21.6136,-1.9616,0.002494,0.00371,-0.751401,-0.659831,-0.0005,-0.0014,-0.0014,0.00079,-0.00022,-0.0004,0.0076,-0.0996,9.8101,4,1,8,8,-1
1771240779.5938594,22.2796,21.6136,-1.9616,0.002494,0.00371,-0.751401,-0.659831,-0.0005,-0.0014,-0.0014,0.00037,-0.00109,0.00016,-0.0112,-0.0955,9.806,4,1,8,8,-1
1771240779.643247,22.2796,21.6136,-1.9616,0.002494,0.00371,-0.751401,-0.659831,-0.0005,-0.0014,-0.0014,0.00069,0.00011,0.00039,-0.001,-0.0977,9.8038,4,1,8,8,-1
1771240779.721571,22.2796,21.6136,-1.9616,0.002494,0.00371,-0.751401,-0.659831,-0.0005,-0.0014,-0.0014,-0.00056,0.0004,-0.0004,0.0129,-0.0828,9.8162,4,1,8,8,-1
