Topic:,/fixposition/fpa/odometry
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z
1771240778.4432716,1055205.5271,6125690.225,1424218.7383,0.50373,0.367006,0.566107,-0.539523,-0.0002,-0.0006,-0.0005,-0.00085,0.00434,0.00061,0.0048,-0.089,9.8083
1771240778.4935043,1055205.5271,6125690.225,1424218.7383,0.50373,0.367006,0.566107,-0.539523,-0.0002,-0.0006,-0.0005,0.00032,0.00127,0.00025,0.0176,-0.0833,9.8076
1771240778.5512714,1055205.5271,6125690.225,1424218.7383,0.50373,0.367006,0.566107,-0.539523,-0.0002,-0.0006,-0.0005,0.00192,-0.00264,-0.0001,-0.0069,-0.0951,9.7963
1771240778.5927749,1055205.5271,6125690.225,1424218.7383,0.50373,0.367006,0.566107,-0.539523,-0.0002,-0.0006,-0.0005,-0.00062,-4e-05,-0.00047,-0.0052,-0.1043,9.8028
1771240778.644712,1055205.5271,6125690.225,1424218.7383,0.50373,0.367006,0.566107,-0.539523,-0.0002,-0.0006,-0.0005,-0.00043,0.00153,-0.00036,0.011,-0.1025,9.8073
1771240778.6930008,1055205.5271,6125690.225,1424218.7383,0.50373,0.367006,0.566107,-0.539523,-0.0002,-0.0006,-0.0005,0.00071,0.00039,-7e-05,0.009,-0.0895,9.799
1771240778.7466023,1055205.5269,6125690.2249,1424218.7384,0.503746,0.367039,0.566087,-0.539508,-0.0006,-0.0006,-0.0005,-0.00188,0.00328,0.0002,-0.0034,-0.0828,9.8106
1771240778.793012,1055205.5269,6125690.2249,1424218.7384,0.503746,0.367039,0.566087,-0.539508,-0.0006,-0.0006,-0.0005,0.00071,-0.00072,-3e-05,-0.0004,-0.0863,9.8102
1771240778.8503046,1055205.5269,6125690.2249,1424218.7384,0.503746,0.367039,0.566087,-0.539508,-0.0006,-0.0006,-0.0005,0.00181,-0.00187,1e-05,0.0005,-0.0864,9.8041
1771240778.8944654,1055205.5269,6125690.2249,1424218.7384,0.503746,0.367039,0.566087,-0.539508,-0.0006,-0.0006,-0.0005,0.00037,0.0019,0.00021,0.0118,-0.0974,9.8021
1771240778.9532871,1055205.5269,6125690.2249,1424218.7384,0.503746,0.367039,0.566087,-0.539508,-0.0006,-0.0006,-0.0005,-0.00116,0.002,-0.00028,-0.0001,-0.089,9.8108
1771240778.9962635,1055205.5271,6125690.2239,1424218.7383,0.503748,0.367065,0.566073,-0.539502,-0.0002,-0.0008,-0.0011,0.00084,-0.00493,-0.00056,0.0004,-0.077,9.7986
1771240779.0449696,1055205.5271,6125690.2239,1424218.7383,0.503748,0.367065,0.566073,-0.539502,-0.0002,-0.0008,-0.0011,0.0006,-0.00124,6e-05,0.0032,-0.0969,9.8156
1771240779.0926464,1055205.5271,6125690.2239,1424218.7383,0.503748,0.367065,0.566073,-0.539502,-0.0002,-0.0008,-0.0011,0.00042,-0.00053,-0.00048,-0.0017,-0.0943,9.8116
1771240779.142785,1055205.5271,6125690.2239,1424218.7383,0.503748,0.367065,0.566073,-0.539502,-0.0002,-0.0008,-0.0011,-0.00039,-0.00061,-0.00013,0.0024,-0.1093,9.8059
1771240779.1939332,1055205.5271,6125690.2239,1424218.7383,0.503748,0.367065,0.566073,-0.539502,-0.0002,-0.0008,-0.0011,0.00081,-0.00361,-0.00017,0.0047,-0.0832,9.8045
1771240779.2418902,1055205.5271,6125690.2233,1424218.7385,0.50377,0.367165,0.56599,-0.539501,-0.0007,-0.0002,-0.0015,2e-05,-0.0015,-0.0003,0.01,-0.0958,9.8181
1771240779.291989,1055205.5271,6125690.2233,1424218.7385,0.50377,0.367165,0.56599,-0.539501,-0.0007,-0.0002,-0.0015,-0.00052,-0.00334,-0.00056,0.0073,-0.0909,9.8113
1771240779.3417597,1055205.5271,6125690.2233,1424218.7385,0.50377,0.367165,0.56599,-0.539501,-0.0007,-0.0002,-0.0015,0.00071,-0.0016,-0.00058,-0.0028,-0.0958,9.8109
1771240779.3923776,1055205.5271,6125690.2233,1424218.7385,0.50377,0.367165,0.56599,-0.539501,-0.0007,-0.0002,-0.0015,-0.00013,0.0006,0.00025,0.0102,-0.0923,9.8012
1771240779.4469643,1055205.5271,6125690.2233,1424218.7385,0.50377,0.367165,0.56599,-0.539501,-0.0007,-0.0002,-0.0015,-0.00016,-0.00069,0.00047,-0.0004,-0.0965,9.8095
1771240779.4957483,1055205.5271,6125690.2233,1424218.7385,0.50377,0.367165,0.56599,-0.539501,-0.0007,-0.0002,-0.0015,0.00075,-0.00185,-9e-05,0.0054,-0.0916,9.8067
1771240779.5424602,1055205.527,6125690.2229,1424218.7386,0.503837,0.367266,0.565916,-0.539448,-0.0005,-0.0014,-0.0014,0.00079,-0.00022,-0.0004,0.0076,-0.0996,9.8101
1771240779.5927632,1055205.527,6125690.2229,1424218.7386,0.503837,0.367266,0.565916,-0.539448,-0.0005,-0.0014,-0.0014,0.00037,-0.00109,0.00016,-0.0112,-0.0955,9.806
1771240779.6434577,1055205.527,6125690.2229,1424218.7386,0.503837,0.367266,0.565916,-0.539448,-0.0005,-0.0014,-0.0014,0.00069,0.00011,0.00039,-0.001,-0.0977,9.8038
1771240779.7204032,1055205.527,6125690.2229,1424218.7386,0.503837,0.367266,0.565916,-0.539448,-0.0005,-0.0014,-0.0014,-0.00056,0.0004,-0.0004,0.0129,-0.0828,9.8162
1771240779.743325,1055205.527,6125690.2229,1424218.7386,0.503837,0.367266,0.565916,-0.539448,-0.0005,-0.0014,-0.0014,0.00013,0.0027,-0.0002,-0.0004,-0.093,9.8007
1771240779.7956393,1055205.5272,6125690.2223,1424218.7384,0.503835,0.367256,0.565914,-0.539458,-0.0008,-0.0012,-0.0011,0.0016,-0.00428,-0.00074,-0.0026,-0.0944,9.8226
1771240779.84212,1055205.5272,6125690.2223,1424218.7384,0.503835,0.367256,0.565914,-0.539458,-0.0008,-0.0012,-0.0011,0.00089,-0.00052,0.00015,0.0035,-0.1021,9.8127
1771240779.892741,1055205.5272,6125690.2223,1424218.7384,0.503835,0.367256,0.565914,-0.539458,-0.0008,-0.0012,-0.0011,-0.0012,0.0018,0.0001,0.0045,-0.0968,9.7993
1771240779.9463372,1055205.5272,6125690.2223,1424218.7384,0.503835,0.367256,0.565914,-0.539458,-0.0008,-0.0012,-0.0011,4e-05,0.00162,0.0,0.0013,-0.0922,9.8049
1771240779.992661,1055205.5272,6125690.2223,1424218.7384,0.503835,0.367256,0.565914,-0.539458,-0.0008,-0.0012,-0.0011,0.00018,-0.0004,-0.00066,-0.0007,-0.0893,9.8176
1771240780.0422544,1055205.5273,6125690.2219,1424218.7383,0.503804,0.367226,0.565951,-0.539468,-0.0012,-0.0011,-0.0011,0.00073,0.00061,-0.00012,-0.0006,-0.0756,9.8112
1771240780.0920196,1055205.5273,6125690.2219,1424218.7383,0.503804,0.367226,0.565951,-0.539468,-0.0012,-0.0011,-0.0011,0.00119,-0.00359,-0.00062,0.004,-0.1055,9.8058
