Topic:,/fixposition/odometry_enu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z
1771240778.492864,22.2799,21.6129,-1.9596,0.002818,0.003587,-0.75142,-0.659809,-0.0002,-0.0006,-0.0005,0.00032,0.00127,0.00025
1771240778.550518,22.2799,21.6129,-1.9596,0.002818,0.003587,-0.75142,-0.659809,-0.0002,-0.0006,-0.0005,0.00192,-0.00264,-0.0001
1771240778.5933306,22.2799,21.6129,-1.9596,0.002818,0.003587,-0.75142,-0.659809,-0.0002,-0.0006,-0.0005,-0.00062,-4e-05,-0.00047
1771240778.6461399,22.2799,21.6129,-1.9596,0.002818,0.003587,-0.75142,-0.659809,-0.0002,-0.0006,-0.0005,-0.00043,0.00153,-0.00036
1771240778.693511,22.2799,21.6129,-1.9596,0.002818,0.003587,-0.75142,-0.659809,-0.0002,-0.0006,-0.0005,0.00071,0.00039,-7e-05
1771240778.7474535,22.2801,21.613,-1.9597,0.00278,0.003608,-0.751414,-0.659815,-0.0006,-0.0006,-0.0005,-0.00188,0.00328,0.0002
1771240778.7942421,22.2801,21.613,-1.9597,0.00278,0.003608,-0.751414,-0.659815,-0.0006,-0.0006,-0.0005,0.00071,-0.00072,-3e-05
1771240778.8526385,22.2801,21.613,-1.9597,0.00278,0.003608,-0.751414,-0.659815,-0.0006,-0.0006,-0.0005,0.00181,-0.00187,1e-05
1771240778.8930035,22.2801,21.613,-1.9597,0.00278,0.003608,-0.751414,-0.659815,-0.0006,-0.0006,-0.0005,0.00037,0.0019,0.00021
1771240778.9536462,22.2801,21.613,-1.9597,0.00278,0.003608,-0.751414,-0.659815,-0.0006,-0.0006,-0.0005,-0.00116,0.002,-0.00028
1771240778.9965715,22.2797,21.6131,-1.9607,0.002751,0.003611,-0.751409,-0.659821,-0.0002,-0.0008,-0.0011,0.00084,-0.00493,-0.00056
1771240779.0457006,22.2797,21.6131,-1.9607,0.002751,0.003611,-0.751409,-0.659821,-0.0002,-0.0008,-0.0011,0.0006,-0.00124,6e-05
1771240779.093384,22.2797,21.6131,-1.9607,0.002751,0.003611,-0.751409,-0.659821,-0.0002,-0.0008,-0.0011,0.00042,-0.00053,-0.00048
1771240779.1426508,22.2797,21.6131,-1.9607,0.002751,0.003611,-0.751409,-0.659821,-0.0002,-0.0008,-0.0011,-0.00039,-0.00061,-0.00013
1771240779.1935217,22.2797,21.6131,-1.9607,0.002751,0.003611,-0.751409,-0.659821,-0.0002,-0.0008,-0.0011,0.00081,-0.00361,-0.00017
1771240779.2430878,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,2e-05,-0.0015,-0.0003
1771240779.29263,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,-0.00052,-0.00334,-0.00056
1771240779.341947,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,0.00071,-0.0016,-0.00058
1771240779.3931952,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,-0.00013,0.0006,0.00025
1771240779.4474566,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,-0.00016,-0.00069,0.00047
1771240779.4977021,22.2796,21.6134,-1.9612,0.00262,0.003628,-0.751411,-0.65982,-0.0007,-0.0002,-0.0015,0.00075,-0.00185,-9e-05
1771240779.5448737,22.2796,21.6136,-1.9616,0.002494,0.00371,-0.751401,-0.659831,-0.0005,-0.0014,-0.0014,0.00079,-0.00022,-0.0004
1771240779.5946398,22.2796,21.6136,-1.9616,0.002494,0.00371,-0.751401,-0.659831,-0.0005,-0.0014,-0.0014,0.00037,-0.00109,0.00016
1771240779.6433392,22.2796,21.6136,-1.9616,0.002494,0.00371,-0.751401,-0.659831,-0.0005,-0.0014,-0.0014,0.00069,0.00011,0.00039
1771240779.7207425,22.2796,21.6136,-1.9616,0.002494,0.00371,-0.751401,-0.659831,-0.0005,-0.0014,-0.0014,-0.00056,0.0004,-0.0004
