Topic:,/fixposition/odometry_smooth
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z
1771240778.444837,1055205.0625,6125690.5115,1424218.6318,0.503605,0.366976,0.566708,-0.539029,0.0033,0.0442,-0.0196,-0.00085,0.00434,0.00061
1771240778.4926298,1055205.0625,6125690.5115,1424218.6318,0.503605,0.366976,0.566708,-0.539029,0.0033,0.0442,-0.0196,0.00032,0.00127,0.00025
1771240778.550698,1055205.0625,6125690.5115,1424218.6318,0.503605,0.366976,0.566708,-0.539029,0.0033,0.0442,-0.0196,0.00192,-0.00264,-0.0001
1771240778.5952744,1055205.0625,6125690.5115,1424218.6318,0.503605,0.366976,0.566708,-0.539029,0.0033,0.0442,-0.0196,-0.00062,-4e-05,-0.00047
1771240778.6467855,1055205.0625,6125690.5115,1424218.6318,0.503605,0.366976,0.566708,-0.539029,0.0033,0.0442,-0.0196,-0.00043,0.00153,-0.00036
1771240778.6935966,1055205.0625,6125690.5115,1424218.6318,0.503605,0.366976,0.566708,-0.539029,0.0033,0.0442,-0.0196,0.00071,0.00039,-7e-05
1771240778.7484798,1055205.0625,6125690.5115,1424218.6318,0.503605,0.366976,0.566708,-0.539029,0.0033,0.0442,-0.0196,-0.00188,0.00328,0.0002
1771240778.793381,1055205.0625,6125690.5115,1424218.6318,0.503605,0.366976,0.566708,-0.539029,0.0033,0.0442,-0.0196,0.00071,-0.00072,-3e-05
1771240778.8518815,1055205.0625,6125690.5115,1424218.6318,0.503605,0.366976,0.566708,-0.539029,0.0033,0.0442,-0.0196,0.00181,-0.00187,1e-05
1771240778.893361,1055205.0625,6125690.5115,1424218.6318,0.503605,0.366976,0.566708,-0.539029,0.0033,0.0442,-0.0196,0.00037,0.0019,0.00021
1771240778.9538295,1055205.0625,6125690.5115,1424218.6318,0.503605,0.366976,0.566708,-0.539029,0.0033,0.0442,-0.0196,-0.00116,0.002,-0.00028
