Topic:,/fixposition/poiimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1771240778.4436543,-0.00085,0.00434,0.00061,0.0048,-0.089,9.8083
1771240778.4924994,0.00032,0.00127,0.00025,0.0176,-0.0833,9.8076
1771240778.5503845,0.00192,-0.00264,-0.0001,-0.0069,-0.0951,9.7963
1771240778.5964136,-0.00062,-4e-05,-0.00047,-0.0052,-0.1043,9.8028
1771240778.6462698,-0.00043,0.00153,-0.00036,0.011,-0.1025,9.8073
1771240778.6925936,0.00071,0.00039,-7e-05,0.009,-0.0895,9.799
1771240778.7479277,-0.00188,0.00328,0.0002,-0.0034,-0.0828,9.8106
1771240778.793208,0.00071,-0.00072,-3e-05,-0.0004,-0.0863,9.8102
1771240778.8504558,0.00181,-0.00187,1e-05,0.0005,-0.0864,9.8041
1771240778.893135,0.00037,0.0019,0.00021,0.0118,-0.0974,9.8021
1771240778.9552372,-0.00116,0.002,-0.00028,-0.0001,-0.089,9.8108
1771240778.996469,0.00084,-0.00493,-0.00056,0.0004,-0.077,9.7986
1771240779.0450714,0.0006,-0.00124,6e-05,0.0032,-0.0969,9.8156
1771240779.0937061,0.00042,-0.00053,-0.00048,-0.0017,-0.0943,9.8116
1771240779.143192,-0.00039,-0.00061,-0.00013,0.0024,-0.1093,9.8059
1771240779.1928582,0.00081,-0.00361,-0.00017,0.0047,-0.0832,9.8045
1771240779.2425833,2e-05,-0.0015,-0.0003,0.01,-0.0958,9.8181
1771240779.2934213,-0.00052,-0.00334,-0.00056,0.0073,-0.0909,9.8113
1771240779.3420582,0.00071,-0.0016,-0.00058,-0.0028,-0.0958,9.8109
1771240779.3926406,-0.00013,0.0006,0.00025,0.0102,-0.0923,9.8012
1771240779.4472222,-0.00016,-0.00069,0.00047,-0.0004,-0.0965,9.8095
1771240779.4967947,0.00075,-0.00185,-9e-05,0.0054,-0.0916,9.8067
1771240779.5426736,0.00079,-0.00022,-0.0004,0.0076,-0.0996,9.8101
1771240779.5935445,0.00037,-0.00109,0.00016,-0.0112,-0.0955,9.806
1771240779.642797,0.00069,0.00011,0.00039,-0.001,-0.0977,9.8038
1771240779.720865,-0.00056,0.0004,-0.0004,0.0129,-0.0828,9.8162
1771240779.744095,0.00013,0.0027,-0.0002,-0.0004,-0.093,9.8007
1771240779.7960129,0.0016,-0.00428,-0.00074,-0.0026,-0.0944,9.8226
1771240779.8422525,0.00089,-0.00052,0.00015,0.0035,-0.1021,9.8127
1771240779.8932414,-0.0012,0.0018,0.0001,0.0045,-0.0968,9.7993
1771240779.9447534,4e-05,0.00162,0.0,0.0013,-0.0922,9.8049
1771240779.9922004,0.00018,-0.0004,-0.00066,-0.0007,-0.0893,9.8176
1771240780.042789,0.00073,0.00061,-0.00012,-0.0006,-0.0756,9.8112
1771240780.0929172,0.00119,-0.00359,-0.00062,0.004,-0.1055,9.8058
1771240780.1422262,-0.00044,-0.00046,-0.00022,0.0033,-0.1069,9.81
1771240780.1924114,0.00129,-0.00145,-0.00015,0.0054,-0.0972,9.805
1771240780.2423618,0.00084,-0.00141,-0.00052,-0.0003,-0.1043,9.8103
1771240780.291901,-0.00013,-0.00076,-0.0005,0.0034,-0.0788,9.8037
1771240780.3425984,-0.00243,0.0036,0.0003,0.0158,-0.1039,9.8118
1771240780.3955023,0.00048,-0.00087,3e-05,0.0039,-0.119,9.8088
1771240780.4421096,-0.00033,-9e-05,-0.00031,0.0119,-0.0997,9.8118
1771240780.5000927,0.00113,0.0002,0.00017,0.01,-0.0969,9.7974
1771240780.5475597,-0.00087,0.00238,0.00025,-0.0023,-0.078,9.8117
1771240780.6038597,0.00078,0.00058,0.0002,-0.0128,-0.0891,9.8078
1771240780.641972,0.0021,-0.00343,-0.00053,-0.0019,-0.095,9.8057
1771240780.6999373,0.00063,-0.00259,-0.00058,0.0052,-0.0797,9.8271
1771240780.7429342,0.00078,-0.00154,-0.00022,0.0247,-0.1086,9.8079
1771240780.7976122,-0.00021,0.00206,-3e-05,0.0046,-0.0903,9.7854
1771240780.8439353,0.00448,-0.00244,0.00058,-0.0094,-0.1025,9.7711
1771240780.903693,-0.00141,0.00773,0.0008,-0.0084,-0.0998,9.8117
1771240780.944608,6e-05,-0.00146,-0.00017,0.005,-0.0649,9.8311
1771240780.9995825,0.0003,-0.00152,-0.00013,-0.0014,-0.0996,9.8167
1771240781.0475132,0.00095,0.00133,3e-05,0.0484,-0.0745,9.8001
1771240781.1092014,-0.00018,-0.00015,-0.00048,-0.0155,-0.0993,9.8249
1771240781.141844,0.0005,-0.00426,-0.00106,-0.0082,-0.104,9.8121
1771240781.192832,0.00045,-0.00395,-0.00069,-0.0004,-0.1159,9.8156
1771240781.2418172,0.00085,0.00193,-0.00013,0.0255,-0.0876,9.8078
1771240781.2938232,0.00078,-0.00084,0.00013,-0.0085,-0.073,9.8099
1771240781.3432372,-2e-05,-0.00023,-0.00108,-0.0018,-0.106,9.816
1771240781.3924205,-0.0004,0.00105,-3e-05,-0.0214,-0.0543,9.8244
1771240781.4426823,-0.00267,0.00472,0.00106,0.0037,-0.0895,9.8072
1771240781.5023823,0.00117,-4e-05,0.00049,0.025,-0.1569,9.7598
1771240781.5426056,-9e-05,0.00031,1e-05,-0.037,0.0096,9.8298
1771240781.5923793,-0.00186,0.00079,0.00056,0.0039,-0.1029,9.8295
1771240781.6436505,0.00189,0.00271,-0.00012,-0.0011,-0.1116,9.7854
1771240781.6939628,-2e-05,-0.00208,-0.00021,-0.0027,-0.056,9.7907
1771240781.742483,-0.00012,0.00077,0.0001,0.0611,-0.1124,9.8167
1771240781.79916,0.00109,-0.00029,-0.00011,-0.0081,-0.0738,9.8383
1771240781.846933,-0.00086,0.001,0.00033,-0.0144,-0.111,9.7922
1771240781.8956473,0.00042,-0.00032,-0.00082,-0.0035,-0.0973,9.7894
1771240781.9425566,-0.00082,-0.00091,0.00095,0.0093,-0.0811,9.8161
1771240781.9926307,0.00113,0.00123,-0.0004,0.0223,-0.1125,9.8219
1771240782.0438333,6e-05,0.00086,0.0003,-0.0276,-0.0628,9.8059
1771240782.0917964,-0.00135,0.00211,-7e-05,-0.0013,-0.0893,9.7899
1771240782.1432893,0.00061,-0.00057,-0.00017,0.0207,-0.0924,9.811
1771240782.198749,0.00237,-0.00499,-0.00033,0.0151,-0.1062,9.8104
1771240782.2433705,0.0017,0.0033,0.00051,-0.0054,-0.0833,9.8046
1771240782.293123,-0.00074,-0.00106,-0.00049,-0.0029,-0.0962,9.8072
1771240782.3426886,-0.00169,0.00189,-0.00049,0.0065,-0.0779,9.8115
1771240782.392085,-0.00125,0.00173,0.00058,0.0048,-0.0954,9.8101
1771240782.442348,0.00162,-0.00237,-0.00032,0.0013,-0.1107,9.8068
1771240782.497369,0.0012,-0.00177,-1e-05,-0.0033,-0.0779,9.8163
1771240782.5448046,0.00096,0.00071,0.00015,0.0114,-0.1134,9.811
1771240782.5926833,0.00058,0.00089,8e-05,0.0004,-0.0752,9.795
